Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 1",0012,227,133,360,716,50.28%,167,64,231
"City of Baytown, Proposition No. 1",0013,1133,439,1572,2808,55.98%,848,300,1148
"City of Baytown, Proposition No. 1",0028,1436,459,1895,2768,68.46%,1041,275,1316
"City of Baytown, Proposition No. 1",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 1",0099,568,311,879,2040,43.09%,438,157,595
"City of Baytown, Proposition No. 1",0100,427,324,751,1754,42.82%,347,153,500
"City of Baytown, Proposition No. 1",0102,493,267,760,1910,39.79%,318,114,432
"City of Baytown, Proposition No. 1",0103,287,82,369,664,55.57%,190,57,247
"City of Baytown, Proposition No. 1",0248,408,405,813,2122,38.31%,331,122,453
"City of Baytown, Proposition No. 1",0249,1011,477,1488,2636,56.45%,808,264,1072
"City of Baytown, Proposition No. 1",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 1",0386,599,186,785,1249,62.85%,412,152,564
"City of Baytown, Proposition No. 1",0387,2,17,19,7,271.43%,8,3,11
"City of Baytown, Proposition No. 1",0414,1407,577,1984,3360,59.05%,1052,351,1403
"City of Baytown, Proposition No. 1",0456,1168,556,1724,3091,55.77%,858,272,1130
"City of Baytown, Proposition No. 1",0532,452,184,636,1039,61.21%,339,108,447
"City of Baytown, Proposition No. 1",0533,317,207,524,1069,49.02%,264,81,345
"City of Baytown, Proposition No. 1",0739,905,448,1353,2526,53.56%,667,218,885
"City of Baytown, Proposition No. 1",0740,43,39,82,148,55.41%,25,14,39
"City of Baytown, Proposition No. 1",Totals:,10884,5111,15995,29907,8113,2705,10818
