"City of Baytown, Proposition No. 12",0012,227,133,360,716,50.28%,151,63,214
"City of Baytown, Proposition No. 12",0013,1133,439,1572,2808,55.98%,776,279,1055
"City of Baytown, Proposition No. 12",0028,1436,459,1895,2768,68.46%,966,256,1222
"City of Baytown, Proposition No. 12",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 12",0099,568,311,879,2040,43.09%,402,137,539
"City of Baytown, Proposition No. 12",0100,427,324,751,1754,42.82%,290,176,466
"City of Baytown, Proposition No. 12",0102,493,267,760,1910,39.79%,276,117,393
"City of Baytown, Proposition No. 12",0103,287,82,369,664,55.57%,170,52,222
"City of Baytown, Proposition No. 12",0248,408,405,813,2122,38.31%,274,145,419
"City of Baytown, Proposition No. 12",0249,1011,477,1488,2636,56.45%,736,267,1003
"City of Baytown, Proposition No. 12",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 12",0386,599,186,785,1249,62.85%,373,140,513
"City of Baytown, Proposition No. 12",0387,2,17,19,7,271.43%,5,4,9
"City of Baytown, Proposition No. 12",0414,1407,577,1984,3360,59.05%,993,303,1296
"City of Baytown, Proposition No. 12",0456,1168,556,1724,3091,55.77%,793,267,1060
"City of Baytown, Proposition No. 12",0532,452,184,636,1039,61.21%,293,123,416
"City of Baytown, Proposition No. 12",0533,317,207,524,1069,49.02%,220,102,322
"City of Baytown, Proposition No. 12",0739,905,448,1353,2526,53.56%,565,254,819
"City of Baytown, Proposition No. 12",0740,43,39,82,148,55.41%,26,13,39
"City of Baytown, Proposition No. 12",Totals:,10884,5111,15995,29907,,7309,2698,10007
