Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 14",0012,227,133,360,716,50.28%,145,70,215
"City of Baytown, Proposition No. 14",0013,1133,439,1572,2808,55.98%,738,331,1069
"City of Baytown, Proposition No. 14",0028,1436,459,1895,2768,68.46%,901,318,1219
"City of Baytown, Proposition No. 14",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 14",0099,568,311,879,2040,43.09%,397,140,537
"City of Baytown, Proposition No. 14",0100,427,324,751,1754,42.82%,306,167,473
"City of Baytown, Proposition No. 14",0102,493,267,760,1910,39.79%,283,115,398
"City of Baytown, Proposition No. 14",0103,287,82,369,664,55.57%,160,62,222
"City of Baytown, Proposition No. 14",0248,408,405,813,2122,38.31%,291,135,426
"City of Baytown, Proposition No. 14",0249,1011,477,1488,2636,56.45%,721,284,1005
"City of Baytown, Proposition No. 14",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 14",0386,599,186,785,1249,62.85%,363,155,518
"City of Baytown, Proposition No. 14",0387,2,17,19,7,271.43%,7,3,10
"City of Baytown, Proposition No. 14",0414,1407,577,1984,3360,59.05%,893,415,1308
"City of Baytown, Proposition No. 14",0456,1168,556,1724,3091,55.77%,754,309,1063
"City of Baytown, Proposition No. 14",0532,452,184,636,1039,61.21%,291,124,415
"City of Baytown, Proposition No. 14",0533,317,207,524,1069,49.02%,222,106,328
"City of Baytown, Proposition No. 14",0739,905,448,1353,2526,53.56%,588,240,828
"City of Baytown, Proposition No. 14",0740,43,39,82,148,55.41%,26,14,40
"City of Baytown, Proposition No. 14",Totals:,10884,5111,15995,29907,,7086,2988,10074
