Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 2",0012,227,133,360,716,50.28%,95,142,237
"City of Baytown, Proposition No. 2",0013,1133,439,1572,2808,55.98%,525,663,1188
"City of Baytown, Proposition No. 2",0028,1436,459,1895,2768,68.46%,630,738,1368
"City of Baytown, Proposition No. 2",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 2",0099,568,311,879,2040,43.09%,250,351,601
"City of Baytown, Proposition No. 2",0100,427,324,751,1754,42.82%,192,319,511
"City of Baytown, Proposition No. 2",0102,493,267,760,1910,39.79%,176,266,442
"City of Baytown, Proposition No. 2",0103,287,82,369,664,55.57%,98,155,253
"City of Baytown, Proposition No. 2",0248,408,405,813,2122,38.31%,201,263,464
"City of Baytown, Proposition No. 2",0249,1011,477,1488,2636,56.45%,431,673,1104
"City of Baytown, Proposition No. 2",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 2",0386,599,186,785,1249,62.85%,251,333,584
"City of Baytown, Proposition No. 2",0387,2,17,19,7,271.43%,5,6,11
"City of Baytown, Proposition No. 2",0414,1407,577,1984,3360,59.05%,629,844,1473
"City of Baytown, Proposition No. 2",0456,1168,556,1724,3091,55.77%,547,621,1168
"City of Baytown, Proposition No. 2",0532,452,184,636,1039,61.21%,197,263,460
"City of Baytown, Proposition No. 2",0533,317,207,524,1069,49.02%,149,212,361
"City of Baytown, Proposition No. 2",0739,905,448,1353,2526,53.56%,397,502,899
"City of Baytown, Proposition No. 2",0740,43,39,82,148,55.41%,15,26,41
"City of Baytown, Proposition No. 2",Totals:,10884,5111,15995,29907,4788,6377,11165
