Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0260,420,290,710,1187,59.81%,361,317,678
"County School Trustee, Position 3, At Large",0261,176,133,309,749,41.26%,90,201,291
"County School Trustee, Position 3, At Large",0262,1470,906,2376,4232,56.14%,1305,888,2193
"County School Trustee, Position 3, At Large",0263,1785,719,2504,3319,75.44%,1816,575,2391
"County School Trustee, Position 3, At Large",0264,936,639,1575,2939,53.59%,805,655,1460
"County School Trustee, Position 3, At Large",0265,1936,674,2610,3617,72.16%,1813,598,2411
"County School Trustee, Position 3, At Large",0266,552,542,1094,2119,51.63%,482,548,1030
"County School Trustee, Position 3, At Large",0267,294,305,599,1346,44.50%,253,300,553
"County School Trustee, Position 3, At Large",0268,931,810,1741,2387,72.94%,967,591,1558
"County School Trustee, Position 3, At Large",0269,1143,444,1587,1981,80.11%,1166,291,1457
"County School Trustee, Position 3, At Large",0270,1401,870,2271,3517,64.57%,1210,901,2111
"County School Trustee, Position 3, At Large",0271,1303,371,1674,2469,67.80%,18,1615,1633
"County School Trustee, Position 3, At Large",0272,610,484,1094,2112,51.80%,393,638,1031
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0273,1139,634,1773,2426,73.08%,1351,313,1664
"County School Trustee, Position 3, At Large",0274,1049,364,1413,2063,68.49%,892,429,1321
"County School Trustee, Position 3, At Large",0275,567,410,977,1730,56.47%,155,784,939
"County School Trustee, Position 3, At Large",0276,1139,404,1543,2532,60.94%,13,1496,1509
"County School Trustee, Position 3, At Large",0277,342,305,647,1473,43.92%,269,350,619
"County School Trustee, Position 3, At Large",0278,756,607,1363,2405,56.67%,681,605,1286
"County School Trustee, Position 3, At Large",0279,548,383,931,1899,49.03%,545,340,885
"County School Trustee, Position 3, At Large",0280,303,360,663,1515,43.76%,222,395,617
"County School Trustee, Position 3, At Large",0281,1087,903,1990,2610,76.25%,879,891,1770
"County School Trustee, Position 3, At Large",0282,690,591,1281,1988,64.44%,720,499,1219
"County School Trustee, Position 3, At Large",0283,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0284,1135,595,1730,3262,53.03%,614,1031,1645
"County School Trustee, Position 3, At Large",0285,988,509,1497,2505,59.76%,100,1346,1446
"County School Trustee, Position 3, At Large",0286,2657,1053,3710,5719,64.87%,302,3254,3556
"County School Trustee, Position 3, At Large",0287,647,542,1189,1616,73.58%,581,522,1103
"County School Trustee, Position 3, At Large",0288,1036,380,1416,2259,62.68%,22,1349,1371
"County School Trustee, Position 3, At Large",0289,374,397,771,1510,51.06%,294,422,716
"County School Trustee, Position 3, At Large",0290,577,429,1006,1567,64.20%,751,217,968
"County School Trustee, Position 3, At Large",0291,541,298,839,1203,69.74%,381,404,785
"County School Trustee, Position 3, At Large",0292,477,236,713,1272,56.05%,93,594,687
"County School Trustee, Position 3, At Large",0293,620,557,1177,1733,67.92%,508,587,1095
"County School Trustee, Position 3, At Large",0294,989,298,1287,2107,61.08%,13,1236,1249
"County School Trustee, Position 3, At Large",0295,314,189,503,862,58.35%,6,485,491
"County School Trustee, Position 3, At Large",0296,602,432,1034,1693,61.08%,574,373,947
"County School Trustee, Position 3, At Large",0297,576,445,1021,1978,51.62%,358,583,941
"County School Trustee, Position 3, At Large",0298,847,475,1322,2083,63.47%,705,528,1233
"County School Trustee, Position 3, At Large",0299,328,213,541,1231,43.95%,164,342,506
"County School Trustee, Position 3, At Large",0300,3013,922,3935,5040,78.08%,2926,781,3707
"County School Trustee, Position 3, At Large",0301,450,655,1105,2397,46.10%,390,657,1047
"County School Trustee, Position 3, At Large",0302,713,635,1348,2724,49.49%,699,569,1268
"County School Trustee, Position 3, At Large",0303,1772,755,2527,3172,79.67%,1891,453,2344
"County School Trustee, Position 3, At Large",0304,970,648,1618,2266,71.40%,836,656,1492
"County School Trustee, Position 3, At Large",0305,1319,858,2177,3621,60.12%,778,1304,2082
"County School Trustee, Position 3, At Large",0306,1013,323,1336,1847,72.33%,918,337,1255
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0307,1242,876,2118,2931,72.26%,1388,610,1998
"County School Trustee, Position 3, At Large",0308,444,238,682,1266,53.87%,178,465,643
"County School Trustee, Position 3, At Large",0309,1385,612,1997,2529,78.96%,1503,365,1868
"County School Trustee, Position 3, At Large",0310,517,348,965,1437,67.15%,605,291,896
"County School Trustee, Position 3, At Large",0311,862,699,1561,2997,52.09%,645,760,1405
"County School Trustee, Position 3, At Large",0312,1600,718,2318,3669,63.18%,1201,973,2174
"County School Trustee, Position 3, At Large",0313,22,1,23,60,38.33%,11,9,20
"County School Trustee, Position 3, At Large",0314,2494,1221,3715,5225,71.10%,2180,1372,3552
"County School Trustee, Position 3, At Large",0315,711,479,1190,1618,73.55%,649,454,1103
"County School Trustee, Position 3, At Large",0316,682,411,1093,1522,71.81%,546,461,1007
"County School Trustee, Position 3, At Large",0317,551,336,887,1469,60.38%,243,603,846
"County School Trustee, Position 3, At Large",0318,1708,611,2319,3531,65.68%,81,2148,2229
"County School Trustee, Position 3, At Large",0319,965,290,1255,2081,60.31%,73,1135,1208
"County School Trustee, Position 3, At Large",0320,464,300,764,1505,50.76%,329,387,716
"County School Trustee, Position 3, At Large",0321,442,305,748,2029,36.87%,241,464,705
"County School Trustee, Position 3, At Large",0322,397,237,634,1322,47.96%,158,461,619
"County School Trustee, Position 3, At Large",0323,482,332,814,1719,47.35%,318,433,751
"County School Trustee, Position 3, At Large",0324,967,718,1685,2339,72.04%,1033,515,1548
"County School Trustee, Position 3, At Large",0325,656,397,1053,2251,46.78%,219,784,1003
"County School Trustee, Position 3, At Large",0326,202,128,330,678,48.67%,126,173,299
"County School Trustee, Position 3, At Large",0327,725,244,970,1751,55.40%,11,924,935
"County School Trustee, Position 3, At Large",0328,344,270,614,1361,45.11%,215,371,586
"County School Trustee, Position 3, At Large",0329,405,307,712,1367,52.08%,206,455,661
"County School Trustee, Position 3, At Large",0330,590,376,966,1849,52.24%,425,473,898
"County School Trustee, Position 3, At Large",0331,0,1,1,0,0.00%,1,0,1
"County School Trustee, Position 3, At Large",0332,23,4,27,128,21.09%,10,15,25
"County School Trustee, Position 3, At Large",0333,1018,939,1957,2901,67.46%,1351,504,1855
"County School Trustee, Position 3, At Large",0334,255,114,369,755,48.87%,72,282,354
"County School Trustee, Position 3, At Large",0335,285,246,531,1227,43.28%,145,329,474
"County School Trustee, Position 3, At Large",0336,1818,588,2406,3161,76.12%,204,2122,2326
"County School Trustee, Position 3, At Large",0337,309,207,516,951,54.26%,80,416,496
"County School Trustee, Position 3, At Large",0338,1540,824,2364,4673,50.59%,637,1590,2227
"County School Trustee, Position 3, At Large",0339,369,373,742,1716,43.24%,143,535,678
"County School Trustee, Position 3, At Large",0340,1778,833,2611,3717,70.24%,1836,637,2473
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0341,246,316,562,1248,45.03%,128,408,536
"County School Trustee, Position 3, At Large",0342,2029,1113,3142,5718,54.95%,425,2618,3043
"County School Trustee, Position 3, At Large",0343,436,483,919,1904,48.27%,208,624,832
"County School Trustee, Position 3, At Large",0344,395,245,640,1207,53.02%,19,594,613
"County School Trustee, Position 3, At Large",0345,428,357,785,1708,45.96%,157,584,741
"County School Trustee, Position 3, At Large",0346,1,2,3,1,300.00%,3,0,3
"County School Trustee, Position 3, At Large",0347,1250,614,1864,3299,56.50%,1131,649,1780
"County School Trustee, Position 3, At Large",0348,751,280,1031,1740,59.25%,708,270,978
"County School Trustee, Position 3, At Large",0349,405,407,812,1315,61.75%,459,305,764
"County School Trustee, Position 3, At Large",0350,1112,780,1892,2906,65.11%,716,1024,1740
"County School Trustee, Position 3, At Large",0351,2495,793,3288,4537,72.47%,2488,689,3177
"County School Trustee, Position 3, At Large",0352,1151,583,1734,3193,54.31%,1160,496,1656
"County School Trustee, Position 3, At Large",0353,1544,703,2247,3697,60.78%,363,1797,2160
"County School Trustee, Position 3, At Large",0354,1476,517,1993,3193,62.42%,420,1478,1898
"County School Trustee, Position 3, At Large",0355,700,286,986,1384,71.24%,86,866,952
"County School Trustee, Position 3, At Large",0356,1382,618,2000,2836,70.52%,1106,762,1868
"County School Trustee, Position 3, At Large",0357,1633,709,2342,3371,69.47%,1632,590,2222
"County School Trustee, Position 3, At Large",0358,740,464,1204,2297,52.42%,90,1074,1164
"County School Trustee, Position 3, At Large",0359,706,482,1188,3008,39.49%,88,1060,1148
"County School Trustee, Position 3, At Large",0360,969,515,1484,2190,67.76%,745,591,1336
"County School Trustee, Position 3, At Large",0361,135,691,826,1585,52.11%,138,570,708
"County School Trustee, Position 3, At Large",0362,2131,1200,3331,4952,67.27%,2354,808,3162
"County School Trustee, Position 3, At Large",0363,1346,687,2033,3291,61.77%,862,1099,1961
"County School Trustee, Position 3, At Large",0364,912,602,1514,2539,59.63%,737,701,1438
"County School Trustee, Position 3, At Large",0365,734,245,979,1302,75.19%,80,868,948
"County School Trustee, Position 3, At Large",0366,638,466,1104,2089,52.85%,231,835,1066
"County School Trustee, Position 3, At Large",0367,328,212,540,1019,52.99%,90,432,522
"County School Trustee, Position 3, At Large",0368,418,143,561,929,60.39%,145,399,544
"County School Trustee, Position 3, At Large",0369,107,53,160,490,32.65%,57,97,154
"County School Trustee, Position 3, At Large",0370,3143,1178,4321,5781,74.74%,3183,947,4130
"County School Trustee, Position 3, At Large",0371,226,69,295,475,62.11%,7,281,288
"County School Trustee, Position 3, At Large",0372,498,231,729,1215,60.00%,75,621,696
"County School Trustee, Position 3, At Large",0373,61,16,77,159,48.43%,1,74,75
"County School Trustee, Position 3, At Large",0374,139,187,326,748,43.58%,90,215,305
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0375,577,524,1101,2607,42.23%,435,603,1038
"County School Trustee, Position 3, At Large",0376,629,334,963,1916,50.26%,383,517,900
"County School Trustee, Position 3, At Large",0377,1055,707,1762,2871,61.37%,1255,399,1654
"County School Trustee, Position 3, At Large",0378,559,521,1080,1777,60.78%,659,377,1036
"County School Trustee, Position 3, At Large",0379,800,338,1138,2017,56.42%,80,1015,1095
"County School Trustee, Position 3, At Large",0380,2500,1183,3683,4753,77.49%,2005,1507,3512
"County School Trustee, Position 3, At Large",0381,957,424,1381,2715,50.87%,544,774,1318
"County School Trustee, Position 3, At Large",0382,276,231,507,841,60.29%,344,142,486
"County School Trustee, Position 3, At Large",0383,599,493,1092,2076,52.60%,323,718,1041
"County School Trustee, Position 3, At Large",0384,1172,505,1677,2596,64.60%,323,1290,1613
"County School Trustee, Position 3, At Large",0385,1099,621,1720,2175,79.08%,1211,373,1584
"County School Trustee, Position 3, At Large",0386,1464,460,1924,2872,66.99%,1351,498,1849
"County School Trustee, Position 3, At Large",0387,1369,802,2171,3727,58.25%,1429,638,2067
"County School Trustee, Position 3, At Large",0388,2780,1222,4002,5329,75.10%,2180,1665,3845
"County School Trustee, Position 3, At Large",0389,283,261,544,975,55.79%,83,415,498
"County School Trustee, Position 3, At Large",0390,644,368,1012,1565,64.66%,110,854,964
"County School Trustee, Position 3, At Large",0391,856,355,1211,1805,67.09%,737,410,1147
"County School Trustee, Position 3, At Large",0392,737,197,934,1441,64.82%,8,902,910
"County School Trustee, Position 3, At Large",0393,346,318,664,1206,55.06%,278,341,619
"County School Trustee, Position 3, At Large",0394,166,176,342,860,39.77%,132,189,321
"County School Trustee, Position 3, At Large",0395,830,491,1321,1820,72.58%,873,360,1233
"County School Trustee, Position 3, At Large",0396,1157,219,1376,2073,66.38%,12,1324,1336
"County School Trustee, Position 3, At Large",0397,163,148,311,750,41.47%,119,170,289
"County School Trustee, Position 3, At Large",0398,1438,840,2278,3816,59.70%,1074,1101,2175
"County School Trustee, Position 3, At Large",0399,896,593,1489,2542,58.58%,696,738,1434
"County School Trustee, Position 3, At Large",0400,1048,506,1554,2238,69.44%,1058,411,1469
"County School Trustee, Position 3, At Large",0401,723,284,1007,1876,53.68%,40,944,984
"County School Trustee, Position 3, At Large",0402,891,245,1136,1737,65.40%,49,1052,1101
"County School Trustee, Position 3, At Large",0403,791,527,1318,1703,77.39%,678,511,1189
"County School Trustee, Position 3, At Large",0404,778,552,1330,2589,51.37%,657,606,1263
"County School Trustee, Position 3, At Large",0405,0,1,1,0,0.00%,0,1,1
"County School Trustee, Position 3, At Large",0406,281,72,353,610,57.87%,3,333,336
"County School Trustee, Position 3, At Large",0407,1317,1000,2317,3652,63.44%,1397,765,2162
"County School Trustee, Position 3, At Large",0408,154,179,333,933,35.69%,136,180,316
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0409,277,289,566,1371,41.28%,163,368,531
"County School Trustee, Position 3, At Large",0410,337,102,439,849,51.71%,76,345,421
"County School Trustee, Position 3, At Large",0411,542,462,1004,2302,43.61%,278,660,938
"County School Trustee, Position 3, At Large",0412,193,74,267,433,61.66%,12,248,260
"County School Trustee, Position 3, At Large",0413,1493,525,2018,3023,66.75%,748,1154,1902
"County School Trustee, Position 3, At Large",0414,1452,593,2045,3457,59.16%,1409,500,1909
"County School Trustee, Position 3, At Large",0415,950,633,1583,2124,74.53%,1048,436,1484
"County School Trustee, Position 3, At Large",0416,1174,916,2090,3582,58.35%,1028,936,1964
"County School Trustee, Position 3, At Large",0417,777,619,1396,2465,56.63%,591,725,1316
"County School Trustee, Position 3, At Large",0418,1057,758,1815,3420,53.07%,657,1075,1732
"County School Trustee, Position 3, At Large",0419,1006,578,1584,2697,58.73%,978,533,1511
"County School Trustee, Position 3, At Large",0420,2174,1089,3263,4639,70.34%,2582,514,3096
"County School Trustee, Position 3, At Large",0421,124,92,216,467,46.25%,47,158,205
"County School Trustee, Position 3, At Large",0422,1456,585,2041,3345,61.02%,36,1950,1986
"County School Trustee, Position 3, At Large",0423,190,309,499,894,55.82%,192,276,468
"County School Trustee, Position 3, At Large",0424,435,1,57,592,888,66.67%,323,252,575
"County School Trustee, Position 3, At Large",0425,227,234,461,875,52.69%,143,290,433
"County School Trustee, Position 3, At Large",0426,415,283,698,1224,57.03%,363,279,642
"County School Trustee, Position 3, At Large",0427,325,249,574,1115,51.48%,200,331,531
"County School Trustee, Position 3, At Large",0428,1284,907,2191,4316,50.76%,618,1426,2044
"County School Trustee, Position 3, At Large",0429,1,1091,777,1868,3929,47.54%,334,1403,1737
"County School Trustee, Position 3, At Large",0430,403,335,738,1654,44.62%,145,536,681
"County School Trustee, Position 3, At Large",0431,819,403,1222,3188,38.33%,295,849,1144
"County School Trustee, Position 3, At Large",0432,311,271,582,1344,43.30%,153,397,550
"County School Trustee, Position 3, At Large",0433,139,106,245,573,42.76%,36,195,231
"County School Trustee, Position 3, At Large",0434,628,371,999,1386,72.08%,597,333,930
"County School Trustee, Position 3, At Large",0435,1534,768,2302,3097,74.33%,1452,680,2132
"County School Trustee, Position 3, At Large",0436,1334,709,2043,3012,67.83%,1140,740,1880
"County School Trustee, Position 3, At Large",0437,951,542,1493,2007,74.39%,986,410,1396
"County School Trustee, Position 3, At Large",0438,1046,387,1433,1802,79.52%,1009,307,1316
"County School Trustee, Position 3, At Large",0439,1526,905,2431,3416,71.17%,1639,603,2242
"County School Trustee, Position 3, At Large",0440,1326,876,2202,2867,76.81%,1618,405,2023
"County School Trustee, Position 3, At Large",0441,698,513,1211,1616,74.94%,851,277,1128
"County School Trustee, Position 3, At Large",0442,1366,513,1879,2504,75.04%,1488,295,1783
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0443,335,148,483,605,79.83%,324,118,442
"County School Trustee, Position 3, At Large",0444,1258,731,1989,3172,62.70%,1136,706,1842
"County School Trustee, Position 3, At Large",0445,860,443,1303,1938,67.23%,768,457,1225
"County School Trustee, Position 3, At Large",0446,70,52,122,268,45.52%,45,71,116
"County School Trustee, Position 3, At Large",0447,271,108,379,583,65.01%,122,230,352
"County School Trustee, Position 3, At Large",0448,1239,869,2108,3081,68.42%,1165,774,1939
"County School Trustee, Position 3, At Large",0449,62,37,99,164,60.37%,11,81,92
"County School Trustee, Position 3, At Large",0450,856,537,1393,2622,53.13%,328,1000,1328
"County School Trustee, Position 3, At Large",0451,1575,515,2090,2674,78.16%,1628,359,1987
"County School Trustee, Position 3, At Large",0452,1109,639,1748,2810,62.21%,1264,414,1678
"County School Trustee, Position 3, At Large",0453,559,475,1034,1885,54.85%,330,647,977
"County School Trustee, Position 3, At Large",0454,1226,311,1537,2571,59.78%,11,1484,1495
"County School Trustee, Position 3, At Large",0455,748,216,964,1679,57.42%,26,905,931
"County School Trustee, Position 3, At Large",0456,1266,593,1859,3350,55.49%,950,804,1754
"County School Trustee, Position 3, At Large",0457,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0458,908,271,1179,1893,62.28%,53,1088,1141
"County School Trustee, Position 3, At Large",0459,1637,476,2113,2950,71.63%,1583,437,2020
"County School Trustee, Position 3, At Large",0460,1250,402,1652,2346,70.42%,412,1170,1582
"County School Trustee, Position 3, At Large",0461,1958,828,2786,3733,74.63%,1718,850,2568
"County School Trustee, Position 3, At Large",0462,1318,865,2183,3367,64.84%,737,1308,2045
"County School Trustee, Position 3, At Large",0463,1124,656,1780,2962,60.09%,689,1010,1699
"County School Trustee, Position 3, At Large",0464,786,612,1398,2126,65.76%,923,397,1320
"County School Trustee, Position 3, At Large",0465,1465,702,2167,3343,64.82%,1093,1008,2101
"County School Trustee, Position 3, At Large",0466,2052,729,2781,4072,68.30%,1503,1170,2673
"County School Trustee, Position 3, At Large",0467,478,229,707,1230,57.48%,157,514,671
"County School Trustee, Position 3, At Large",0468,984,793,1777,3354,52.98%,483,1195,1678
"County School Trustee, Position 3, At Large",0469,2039,638,2677,3779,70.84%,1957,589,2546
"County School Trustee, Position 3, At Large",0470,443,323,766,1349,56.78%,519,206,725
"County School Trustee, Position 3, At Large",0471,792,597,1389,2349,59.13%,1033,298,1331
"County School Trustee, Position 3, At Large",0472,370,337,707,1027,68.84%,282,359,641
"County School Trustee, Position 3, At Large",0473,914,442,1356,1827,74.22%,891,380,1271
"County School Trustee, Position 3, At Large",0474,1146,766,1912,3006,63.61%,1260,549,1809
"County School Trustee, Position 3, At Large",0475,485,473,958,1651,58.03%,394,500,894
"County School Trustee, Position 3, At Large",0476,809,658,1467,2412,60.82%,807,588,1395
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0477,1441,742,2183,3195,68.33%,1582,505,2087
"County School Trustee, Position 3, At Large",0478,1959,898,2857,4150,68.84%,1800,899,2699
"County School Trustee, Position 3, At Large",0479,1298,588,1886,2648,71.22%,1328,472,1800
"County School Trustee, Position 3, At Large",0480,936,555,1491,2267,65.77%,1008,404,1412
"County School Trustee, Position 3, At Large",0481,1463,852,2315,3298,70.19%,1661,539,2200
"County School Trustee, Position 3, At Large",0482,1963,836,2799,4129,67.79%,1877,808,2685
"County School Trustee, Position 3, At Large",0483,1868,759,2627,4141,63.44%,1335,1148,2483
"County School Trustee, Position 3, At Large",0484,2236,1008,3244,4594,70.61%,2221,874,3095
"County School Trustee, Position 3, At Large",0485,2421,990,3411,4838,70.50%,2441,832,3273
"County School Trustee, Position 3, At Large",0486,1843,805,2648,3572,74.13%,1989,550,2539
"County School Trustee, Position 3, At Large",0487,1005,612,1617,3318,48.73%,437,1049,1486
"County School Trustee, Position 3, At Large",0488,580,440,1020,1713,59.54%,325,620,945
"County School Trustee, Position 3, At Large",0489,783,378,1161,1823,63.69%,307,785,1092
"County School Trustee, Position 3, At Large",0490,876,439,1315,1944,67.64%,448,796,1244
"County School Trustee, Position 3, At Large",0491,667,489,1156,1782,64.87%,624,448,1072
"County School Trustee, Position 3, At Large",0492,1069,504,1573,2351,66.91%,770,685,1455
"County School Trustee, Position 3, At Large",0493,858,400,1258,1804,69.73%,760,411,1171
"County School Trustee, Position 3, At Large",0494,760,431,1191,2176,54.73%,135,1020,1155
"County School Trustee, Position 3, At Large",0495,1120,494,1614,2284,70.67%,1094,419,1513
"County School Trustee, Position 3, At Large",0496,496,571,1067,2086,51.15%,379,626,1005
"County School Trustee, Position 3, At Large",0497,1123,303,1426,2226,64.06%,50,1321,1371
"County School Trustee, Position 3, At Large",0498,759,499,1258,2123,59.26%,495,697,1192
"County School Trustee, Position 3, At Large",0499,1301,517,1818,2304,78.91%,1254,449,1703
"County School Trustee, Position 3, At Large",0500,1507,746,2253,3175,70.96%,1471,673,2144
"County School Trustee, Position 3, At Large",0501,653,487,1140,1647,69.22%,409,633,1042
"County School Trustee, Position 3, At Large",0502,1150,332,1482,2364,62.69%,1095,312,1407
"County School Trustee, Position 3, At Large",0503,359,273,632,1363,46.37%,187,395,582
"County School Trustee, Position 3, At Large",0504,1129,538,1667,2197,75.88%,1039,529,1568
"County School Trustee, Position 3, At Large",0505,1209,829,2038,3654,55.77%,849,1057,1906
"County School Trustee, Position 3, At Large",0506,1470,801,2271,3380,67.19%,351,1835,2186
"County School Trustee, Position 3, At Large",0507,582,385,967,2435,39.71%,143,693,836
"County School Trustee, Position 3, At Large",0508,946,760,1706,3248,52.52%,527,1045,1572
"County School Trustee, Position 3, At Large",0509,1340,864,2204,3536,62.33%,1491,602,2093
"County School Trustee, Position 3, At Large",0510,1492,682,2174,3511,61.92%,932,1121,2053
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0511,0,8,8,0,0.00%,1,5,8
"County School Trustee, Position 3, At Large",0512,1558,1127,2885,4582,58.80%,1181,1397,2558
"County School Trustee, Position 3, At Large",0513,1805,507,2112,2752,78.74%,1530,477,2007
"County School Trustee, Position 3, At Large",0514,1988,880,2828,3941,71.71%,2000,898,2898
"County School Trustee, Position 3, At Large",0515,1892,708,2400,3173,75.84%,1854,428,2280
"County School Trustee, Position 3, At Large",0518,2179,1088,3245,4934,85.77%,1529,1538,3087
"County School Trustee, Position 3, At Large",0517,1208,853,1881,3320,58.05%,931,828,1759
"County School Trustee, Position 3, At Large",0518,1478,919,2397,3755,83.83%,1450,808,2258
