Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0517,1208,653,1861,3320,56.05%,988,303,104,1395
"Railroad Commissioner, Unexpired Term",0518,1479,919,2398,3755,63.86%,1522,268,130,1920
"Railroad Commissioner, Unexpired Term",0519,1235,645,1880,2951,63.71%,1361,159,115,1635
"Railroad Commissioner, Unexpired Term",0520,1546,857,2403,4064,59.13%,457,433,164,1054
"Railroad Commissioner, Unexpired Term",0521,1014,694,1708,2725,62.68%,917,252,93,1262
"Railroad Commissioner, Unexpired Term",0522,1173,658,1831,2682,68.27%,1378,142,96,1616
"Railroad Commissioner, Unexpired Term",0523,1340,689,2029,3060,66.31%,1356,187,140,1683
"Railroad Commissioner, Unexpired Term",0524,1242,675,1917,3292,58.23%,629,352,149,1130
"Railroad Commissioner, Unexpired Term",0525,1383,610,1993,2947,67.63%,449,339,209,997
"Railroad Commissioner, Unexpired Term",0526,167,171,338,731,46.24%,92,63,27,182
"Railroad Commissioner, Unexpired Term",0527,80,24,104,569,18.28%,51,8,3,62
"Railroad Commissioner, Unexpired Term",0528,36,12,48,92,52.17%,3,6,1,10
"Railroad Commissioner, Unexpired Term",0529,1989,441,2430,3616,67.20%,2021,106,75,2202
"Railroad Commissioner, Unexpired Term",0530,259,235,494,1196,41.30%,113,125,20,258
"Railroad Commissioner, Unexpired Term",0531,672,113,785,1094,71.76%,623,42,16,681
"Railroad Commissioner, Unexpired Term",0532,452,184,636,1039,61.21%,452,56,25,533
"Railroad Commissioner, Unexpired Term",0533,317,207,524,1069,49.02%,269,67,27,363
"Railroad Commissioner, Unexpired Term",0534,1660,675,2335,3795,61.53%,1706,190,83,1979
"Railroad Commissioner, Unexpired Term",0535,80,94,174,421,41.33%,61,33,6,100
"Railroad Commissioner, Unexpired Term",0536,1335,1195,2530,4576,55.29%,982,517,141,1640
"Railroad Commissioner, Unexpired Term",0537,1455,823,2278,2971,76.67%,1717,143,74,1934
"Railroad Commissioner, Unexpired Term",0538,433,237,670,1282,52.26%,34,98,43,175
"Railroad Commissioner, Unexpired Term",0539,26,209,235,71,330.99%,56,51,24,131
"Railroad Commissioner, Unexpired Term",0540,666,380,1046,1491,70.15%,497,129,155,781
"Railroad Commissioner, Unexpired Term",0541,1836,779,2615,4183,62.51%,464,629,323,1416
"Railroad Commissioner, Unexpired Term",0542,997,501,1498,2525,59.33%,123,340,121,584
"Railroad Commissioner, Unexpired Term",0543,287,378,665,1528,43.52%,227,173,37,437
"Railroad Commissioner, Unexpired Term",0544,93,53,146,318,45.91%,15,27,9,51
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0545,1314,857,2171,3339,65.02%,1069,356,99,1524
"Railroad Commissioner, Unexpired Term",0546,4,4,8,30,26.67%,3,3,0,6
"Railroad Commissioner, Unexpired Term",0547,877,647,1524,2408,63.29%,1055,152,70,1277
"Railroad Commissioner, Unexpired Term",0548,720,476,1196,2129,56.18%,560,206,86,852
"Railroad Commissioner, Unexpired Term",0549,944,586,1530,2530,60.47%,247,267,99,613
"Railroad Commissioner, Unexpired Term",0550,1134,629,1763,2847,61.92%,895,251,114,1260
"Railroad Commissioner, Unexpired Term",0551,3092,1527,4619,6135,75.29%,3390,397,204,3991
"Railroad Commissioner, Unexpired Term",0552,1521,844,2465,3241,76.06%,2034,117,84,2235
"Railroad Commissioner, Unexpired Term",0553,1465,951,2416,4355,55.48%,1087,463,155,1705
"Railroad Commissioner, Unexpired Term",0554,562,340,902,1731,52.11%,168,153,74,395
"Railroad Commissioner, Unexpired Term",0555,598,447,1045,2119,49.32%,210,201,93,504
"Railroad Commissioner, Unexpired Term",0556,585,421,1006,2249,44.73%,241,203,70,514
"Railroad Commissioner, Unexpired Term",0557,822,556,1378,2726,50.55%,473,241,77,791
"Railroad Commissioner, Unexpired Term",0558,1592,824,2416,4084,59.16%,835,449,250,1534
"Railroad Commissioner, Unexpired Term",0559,1794,899,2693,4633,58.13%,729,629,324,1682
"Railroad Commissioner, Unexpired Term",0560,172,289,461,1176,39.20%,93,112,16,221
"Railroad Commissioner, Unexpired Term",0561,837,759,1596,3033,52.62%,881,158,56,1095
"Railroad Commissioner, Unexpired Term",0562,201,146,347,645,53.80%,37,57,18,112
"Railroad Commissioner, Unexpired Term",0563,1700,415,2115,2969,71.24%,1638,140,92,1870
"Railroad Commissioner, Unexpired Term",0564,1159,713,1872,3096,60.47%,548,454,291,1293
"Railroad Commissioner, Unexpired Term",0565,31,e,194,510,1373,37.14%,106,85,41,232
"Railroad Commissioner, Unexpired Term",0566,1126,478,1604,2950,54.37%,466,357,216,1039
"Railroad Commissioner, Unexpired Term",0567,673,394,1067,2198,48.54%,305,160,88,553
"Railroad Commissioner, Unexpired Term",0568,1630,837,2467,3487,70.75%,1626,244,152,2022
"Railroad Commissioner, Unexpired Term",0569,1295,865,2160,3249,66.48%,1205,334,194,1733
"Railroad Commissioner, Unexpired Term",0570,527,409,936,1473,63.54%,450,167,115,732
"Railroad Commissioner, Unexpired Term",0571,334,312,646,1758,36.75%,211,119,28,358
"Railroad Commissioner, Unexpired Term",0572,1288,574,1862,2998,62.11%,908,293,176,1377
"Railroad Commissioner, Unexpired Term",0573,578,368,946,1618,58.47%,35,131,49,215
"Railroad Commissioner, Unexpired Term",0574,98,79,177,391,45.27%,20,34,9,63
"Railroad Commissioner, Unexpired Term",0575,27,9,36,79,45.57%,32,2,1,35
"Railroad Commissioner, Unexpired Term",0576,1051,552,1603,2671,60.01%,87,208,107,402
"Railroad Commissioner, Unexpired Term",0577,231,113,344,573,60.03%,206,51,30,287
"Railroad Commissioner, Unexpired Term",0578,745,553,1298,1689,76.85%,832,126,126,1084
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0579,489,351,840,1806,46.51%,224,152,64,440
"Railroad Commissioner, Unexpired Term",0580,430,146,576,1027,56.09%,31,93,30,154
"Railroad Commissioner, Unexpired Term",0581,510,162,672,1041,64.55%,31,92,49,172
"Railroad Commissioner, Unexpired Term",0582,615,256,871,1613,54.00%,70,106,59,235
"Railroad Commissioner, Unexpired Term",0583,544,127,671,1248,53.77%,22,77,31,130
"Railroad Commissioner, Unexpired Term",0584,393,139,532,971,54.79%,39,70,25,134
"Railroad Commissioner, Unexpired Term",0585,934,304,1238,2403,51.52%,56,175,76,307
"Railroad Commissioner, Unexpired Term",0586,1307,1189,2496,4230,59.01%,1509,301,158,1968
"Railroad Commissioner, Unexpired Term",0587,934,465,1399,2174,64.35%,529,192,93,814
"Railroad Commissioner, Unexpired Term",0588,1539,871,2410,3468,69.49%,1689,237,142,2068
"Railroad Commissioner, Unexpired Term",0589,1034,738,1772,3130,56.61%,962,287,117,1366
"Railroad Commissioner, Unexpired Term",0590,1158,463,1621,2136,75.89%,1268,106,78,1452
"Railroad Commissioner, Unexpired Term",0591,420,449,869,2114,41.11%,234,191,22,447
"Railroad Commissioner, Unexpired Term",0592,370,288,658,1258,52.31%,154,107,42,303
"Railroad Commissioner, Unexpired Term",0593,1149,999,2148,4059,52.92%,1006,376,121,1503
"Railroad Commissioner, Unexpired Term",0594,1032,535,1567,2361,66.37%,482,255,115,852
"Railroad Commissioner, Unexpired Term",0595,497,380,877,1647,53.25%,158,143,67,368
"Railroad Commissioner, Unexpired Term",0596,947,690,1637,2848,57.48%,868,232,110,1210
"Railroad Commissioner, Unexpired Term",0597,1067,719,1786,3267,54.67%,673,325,130,1128
"Railroad Commissioner, Unexpired Term",0598,335,103,438,724,60.50%,336,23,16,375
"Railroad Commissioner, Unexpired Term",0599,1895,855,2761,4135,66.77%,994,517,210,1721
"Railroad Commissioner, Unexpired Term",0600,1383,869,2252,3820,58.95%,837,378,168,1383
"Railroad Commissioner, Unexpired Term",0601,2028,858,2886,3990,72.33%,2191,203,149,2543
"Railroad Commissioner, Unexpired Term",0602,563,296,859,1237,69.44%,611,71,43,725
"Railroad Commissioner, Unexpired Term",0603,1438,1163,2601,3917,66.40%,1587,314,125,2026
"Railroad Commissioner, Unexpired Term",0604,1446,528,1974,2910,67.84%,1633,124,49,1806
"Railroad Commissioner, Unexpired Term",0605,2228,889,3117,5251,59.36%,857,563,224,1644
"Railroad Commissioner, Unexpired Term",0606,420,122,542,1053,51.47%,21,65,29,115
"Railroad Commissioner, Unexpired Term",0607,194,118,312,731,42.68%,25,38,22,85
"Railroad Commissioner, Unexpired Term",0608,245,290,535,1256,42.60%,235,90,32,357
"Railroad Commissioner, Unexpired Term",0609,1365,844,2209,3261,67.74%,1411,256,150,1817
"Railroad Commissioner, Unexpired Term",0610,403,398,801,1825,43.89%,376,149,40,565
"Railroad Commissioner, Unexpired Term",0611,1122,301,1423,2450,58.08%,62,143,85,290
"Railroad Commissioner, Unexpired Term",0612,1702,579,2281,3272,69.71%,1742,173,130,2045
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0613,495,309,804,1450,55.45%,141,150,44,335
"Railroad Commissioner, Unexpired Term",0614,1632,812,2444,3932,62.16%,889,353,147,1389
"Railroad Commissioner, Unexpired Term",0615,931,404,1335,1926,69.31%,815,136,65,1016
"Railroad Commissioner, Unexpired Term",0616,1353,970,2323,3378,68.77%,1618,230,138,1986
"Railroad Commissioner, Unexpired Term",0617,1322,849,2171,3546,61.22%,832,446,156,1434
"Railroad Commissioner, Unexpired Term",0618,1924,1021,2945,5344,55.11%,1355,434,164,1953
"Railroad Commissioner, Unexpired Term",0619,2134,857,2991,4266,70.11%,2253,233,139,2625
"Railroad Commissioner, Unexpired Term",0620,2387,856,3243,5271,61.53%,1669,439,246,2354
"Railroad Commissioner, Unexpired Term",0621,398,203,601,1173,51.24%,306,113,54,473
"Railroad Commissioner, Unexpired Term",0622,1724,829,2553,4305,59.30%,1507,342,160,2009
"Railroad Commissioner, Unexpired Term",0623,1709,626,2335,3481,67.08%,1506,249,128,1883
"Railroad Commissioner, Unexpired Term",0624,9,0,9,16,56.25%,5,1,0,6
"Railroad Commissioner, Unexpired Term",0625,865,454,1319,1796,73.44%,795,158,122,1075
"Railroad Commissioner, Unexpired Term",0626,1150,655,1805,2838,63.60%,950,261,146,1357
"Railroad Commissioner, Unexpired Term",0627,795,547,1442,2964,48.65%,449,243,109,801
"Railroad Commissioner, Unexpired Term",0628,292,456,748,1600,46.75%,338,133,48,519
"Railroad Commissioner, Unexpired Term",0629,177,127,304,629,48.33%,39,69,18,126
"Railroad Commissioner, Unexpired Term",0630,2023,535,2558,3190,80.19%,324,694,282,1300
"Railroad Commissioner, Unexpired Term",0631,1490,392,1882,2733,68.86%,1362,151,94,1607
"Railroad Commissioner, Unexpired Term",0632,12,9,21,231,9.09%,6,5,3,14
"Railroad Commissioner, Unexpired Term",0633,1783,578,2461,3257,75.56%,1823,199,125,2147
"Railroad Commissioner, Unexpired Term",0634,1022,734,1756,2922,60.10%,1091,248,80,1419
"Railroad Commissioner, Unexpired Term",0635,1328,706,2034,3280,62.01%,1539,173,107,1819
"Railroad Commissioner, Unexpired Term",0636,1793,974,2767,3881,71.30%,2345,140,71,2556
"Railroad Commissioner, Unexpired Term",0637,740,509,1249,2471,50.55%,320,291,99,710
"Railroad Commissioner, Unexpired Term",0638,741,684,1425,2078,68.58%,144,272,134,550
"Railroad Commissioner, Unexpired Term",0639,833,711,1544,2501,61.74%,1209,84,56,1349
"Railroad Commissioner, Unexpired Term",0640,1385,723,2108,3548,59.41%,1221,283,134,1638
"Railroad Commissioner, Unexpired Term",0641,1265,878,2143,3375,63.50%,1335,246,101,1682
"Railroad Commissioner, Unexpired Term",0642,873,447,1320,1779,74.20%,1088,72,39,1199
"Railroad Commissioner, Unexpired Term",0643,2160,994,3154,5310,59.40%,1298,585,255,2138
"Railroad Commissioner, Unexpired Term",0644,2125,1204,3329,5261,63.28%,2128,396,197,2721
"Railroad Commissioner, Unexpired Term",0645,1648,895,2543,4035,63.02%,1251,413,233,1897
"Railroad Commissioner, Unexpired Term",0646,708,456,1164,2163,53.81%,378,211,76,665
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0647,1771,1020,2791,5593,49.90%,786,402,219,1407
"Railroad Commissioner, Unexpired Term",0648,1591,668,2259,3197,70.66%,1616,208,100,1924
"Railroad Commissioner, Unexpired Term",0649,1390,854,2244,4426,50.70%,688,429,175,1292
"Railroad Commissioner, Unexpired Term",0650,1329,939,2268,3151,71.98%,1690,203,93,1986
"Railroad Commissioner, Unexpired Term",0651,2087,1070,3157,4931,64.02%,2027,391,148,2566
"Railroad Commissioner, Unexpired Term",0652,1054,653,1707,2633,64.83%,364,324,168,856
"Railroad Commissioner, Unexpired Term",0653,0,8,8,0,0.00%,2,2,2,6
"Railroad Commissioner, Unexpired Term",0654,2106,1344,3450,5765,59.84%,1826,558,176,2560
"Railroad Commissioner, Unexpired Term",0655,2614,1451,4065,6304,64.48%,2531,449,229,3209
"Railroad Commissioner, Unexpired Term",0656,1199,421,1620,2622,61.78%,89,186,90,365
"Railroad Commissioner, Unexpired Term",0657,491,268,759,1200,63.25%,311,133,36,480
"Railroad Commissioner, Unexpired Term",0658,986,708,1694,2824,59.99%,1047,216,95,1358
"Railroad Commissioner, Unexpired Term",0659,2143,1091,3234,4588,70.49%,2307,304,149,2760
"Railroad Commissioner, Unexpired Term",0660,2461,932,3393,5048,67.21%,442,645,250,1337
"Railroad Commissioner, Unexpired Term",0661,1515,1012,2628,4179,62.89%,1456,380,180,2016
"Railroad Commissioner, Unexpired Term",0662,2477,999,3476,4807,72.31%,2793,193,92,3078
"Railroad Commissioner, Unexpired Term",0663,1304,913,2217,3232,68.60%,1267,263,237,1767
"Railroad Commissioner, Unexpired Term",0664,681,607,1288,2801,45.98%,318,202,73,593
"Railroad Commissioner, Unexpired Term",0665,951,394,1345,2007,67.02%,1091,73,34,1198
"Railroad Commissioner, Unexpired Term",0666,0,1,1,0,0.00%,0,1,0,1
"Railroad Commissioner, Unexpired Term",0667,990,547,1537,2181,70.47%,1201,100,54,1355
"Railroad Commissioner, Unexpired Term",0668,928,655,1583,2458,64.40%,998,196,85,1279
"Railroad Commissioner, Unexpired Term",0669,1609,823,2432,3243,74.99%,1749,224,132,2105
"Railroad Commissioner, Unexpired Term",0670,1567,518,2085,2952,70.63%,1638,129,111,1878
"Railroad Commissioner, Unexpired Term",0671,1091,773,1864,2942,63.36%,1097,264,106,1467
"Railroad Commissioner, Unexpired Term",0672,2303,1078,3381,4710,71.78%,2241,325,140,2706
"Railroad Commissioner, Unexpired Term",0673,1377,543,2020,2988,67.60%,1592,103,61,1756
"Railroad Commissioner, Unexpired Term",0674,2092,813,2905,4055,71.64%,2173,240,112,2525
"Railroad Commissioner, Unexpired Term",0675,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0676,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0677,220,239,459,954,48.11%,140,114,26,280
"Railroad Commissioner, Unexpired Term",0678,297,164,461,756,60.98%,319,50,18,387
"Railroad Commissioner, Unexpired Term",0679,1469,661,2130,3331,63.94%,1571,185,53,1809
"Railroad Commissioner, Unexpired Term",0680,57,22,79,181,43.65%,39,17,9,65
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0681,1,0,1,5,20.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0682,1674,912,2586,4134,62.55%,1852,201,102,2155
"Railroad Commissioner, Unexpired Term",0683,48,50,98,261,37.55%,21,30,6,57
"Railroad Commissioner, Unexpired Term",0684,73,24,97,187,51.87%,59,13,9,81
"Railroad Commissioner, Unexpired Term",0685,167,29,196,326,60.12%,92,12,22,126
"Railroad Commissioner, Unexpired Term",0686,46,34,80,196,40.82%,18,12,9,39
"Railroad Commissioner, Unexpired Term",0687,1088,641,1729,2497,69.24%,1182,165,103,1450
"Railroad Commissioner, Unexpired Term",0688,1818,673,2491,3266,76.27%,2015,129,100,2244
"Railroad Commissioner, Unexpired Term",0689,506,651,1157,2276,50.83%,555,184,71,810
"Railroad Commissioner, Unexpired Term",0690,1959,1115,3085,4184,73.73%,2401,226,101,2728
"Railroad Commissioner, Unexpired Term",0691,10,2,12,34,35.29%,4,2,1,7
"Railroad Commissioner, Unexpired Term",0692,1001,717,1718,2626,65.42%,1264,130,85,1479
"Railroad Commissioner, Unexpired Term",0693,303,116,419,651,64.36%,111,81,56,248
"Railroad Commissioner, Unexpired Term",0694,420,137,557,817,68.18%,387,49,40,476
"Railroad Commissioner, Unexpired Term",0695,455,320,775,1646,47.08%,488,94,33,615
"Railroad Commissioner, Unexpired Term",0696,600,373,973,2098,46.38%,601,100,47,748
"Railroad Commissioner, Unexpired Term",0697,1517,941,2458,4307,57.07%,600,410,163,1173
"Railroad Commissioner, Unexpired Term",0698,1137,659,1796,2948,60.92%,223,269,108,600
"Railroad Commissioner, Unexpired Term",0699,1032,566,1598,2288,69.84%,1071,144,95,1310
"Railroad Commissioner, Unexpired Term",0700,531,287,818,1313,62.30%,673,47,25,745
"Railroad Commissioner, Unexpired Term",0701,142,115,257,554,46.39%,140,43,12,195
"Railroad Commissioner, Unexpired Term",0702,150,123,273,549,49.73%,39,52,13,104
"Railroad Commissioner, Unexpired Term",0703,743,616,1359,1845,73.66%,1012,88,69,1169
"Railroad Commissioner, Unexpired Term",0704,1336,701,2037,2882,70.68%,1616,124,58,1798
"Railroad Commissioner, Unexpired Term",0705,358,238,596,1520,39.21%,70,71,34,175
"Railroad Commissioner, Unexpired Term",0706,222,135,357,529,67.49%,175,65,27,267
"Railroad Commissioner, Unexpired Term",0707,284,135,420,707,59.41%,258,53,37,348
"Railroad Commissioner, Unexpired Term",0708,109,95,204,568,35.92%,95,48,6,149
"Railroad Commissioner, Unexpired Term",0709,2997,1297,4294,6239,68.83%,2635,582,235,3452
"Railroad Commissioner, Unexpired Term",0710,881,602,1483,2023,73.31%,909,171,166,1246
"Railroad Commissioner, Unexpired Term",0711,1493,701,2194,3351,65.47%,1364,263,152,1779
"Railroad Commissioner, Unexpired Term",0712,1205,858,2063,3348,61.62%,889,408,144,1441
"Railroad Commissioner, Unexpired Term",0713,666,436,1102,1827,60.32%,590,149,61,800
"Railroad Commissioner, Unexpired Term",0714,77,3,80,304,26.32%,50,9,4,63
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0715,405,326,731,1380,52.97%,361,122,55,538
"Railroad Commissioner, Unexpired Term",0716,977,522,1599,2670,59.89%,1125,107,69,1301
"Railroad Commissioner, Unexpired Term",0717,826,362,1188,1927,61.65%,189,184,82,455
"Railroad Commissioner, Unexpired Term",0718,1844,1019,2863,4050,70.69%,1984,215,155,2354
"Railroad Commissioner, Unexpired Term",0719,508,260,768,1617,47.50%,427,111,24,562
"Railroad Commissioner, Unexpired Term",0720,1575,1044,2619,3903,67.10%,1897,231,96,2224
"Railroad Commissioner, Unexpired Term",0721,1335,637,1972,2842,69.39%,1338,190,142,1670
"Railroad Commissioner, Unexpired Term",0722,1895,542,2537,4357,58.23%,228,542,258,1028
"Railroad Commissioner, Unexpired Term",0723,749,329,1078,1760,61.25%,259,167,65,491
"Railroad Commissioner, Unexpired Term",0724,325,170,495,716,69.13%,350,40,24,414
"Railroad Commissioner, Unexpired Term",0725,953,329,1282,2124,60.36%,552,143,76,771
"Railroad Commissioner, Unexpired Term",0726,1141,304,1445,1987,72.72%,1246,56,31,1333
"Railroad Commissioner, Unexpired Term",0727,935,466,1401,2488,56.31%,403,299,148,850
"Railroad Commissioner, Unexpired Term",0728,343,208,551,881,62.54%,328,64,61,453
"Railroad Commissioner, Unexpired Term",0729,208,93,301,446,67.49%,180,35,15,230
"Railroad Commissioner, Unexpired Term",0730,808,437,1245,1630,76.38%,886,96,64,1046
"Railroad Commissioner, Unexpired Term",0731,122,36,158,373,42.36%,39,33,17,89
"Railroad Commissioner, Unexpired Term",0732,701,543,1244,1895,65.65%,757,148,110,1015
"Railroad Commissioner, Unexpired Term",0733,25,62,87,172,50.58%,31,13,3,47
"Railroad Commissioner, Unexpired Term",0734,3213,1114,4327,5952,72.70%,2951,446,170,3567
"Railroad Commissioner, Unexpired Term",0735,9,0,9,23,39.13%,8,0,1,9
"Railroad Commissioner, Unexpired Term",0736,6,1,7,21,33.33%,0,1,0,1
"Railroad Commissioner, Unexpired Term",0737,25,5,30,53,56.60%,25,0,2,27
"Railroad Commissioner, Unexpired Term",0738,470,219,689,1294,53.25%,93,104,48,245
"Railroad Commissioner, Unexpired Term",0739,1006,490,1496,2872,52.09%,677,206,73,956
"Railroad Commissioner, Unexpired Term",0740,233,205,438,935,46.84%,234,42,23,299
"Railroad Commissioner, Unexpired Term",0741,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0742,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0743,27,4,31,199,15.58%,14,6,1,21
"Railroad Commissioner, Unexpired Term",0744,848,509,1357,2024,67.05%,894,132,83,1109
"Railroad Commissioner, Unexpired Term",0745,1068,542,1610,2396,67.20%,1033,166,112,1311
"Railroad Commissioner, Unexpired Term",0746,230,151,381,707,53.89%,194,45,30,269
"Railroad Commissioner, Unexpired Term",0747,1200,873,2073,3490,59.40%,989,316,151,1456
"Railroad Commissioner, Unexpired Term",0748,421,307,728,1319,55.19%,336,127,65,528
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0749,99,57,156,359,43.45%,33,23,13,69
"Railroad Commissioner, Unexpired Term",0750,264,147,411,720,57.08%,237,58,26,321
"Railroad Commissioner, Unexpired Term",0751,1668,1254,2922,4451,65.65%,1960,291,147,2398
"Railroad Commissioner, Unexpired Term",0752,572,277,849,1511,56.19%,605,84,30,719
"Railroad Commissioner, Unexpired Term",0753,106,61,167,260,64.23%,113,14,14,141
"Railroad Commissioner, Unexpired Term",0754,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0755,1050,896,1946,3569,54.53%,754,429,125,1308
"Railroad Commissioner, Unexpired Term",0756,582,300,882,1539,57.31%,321,116,45,482
"Railroad Commissioner, Unexpired Term",0757,1417,690,2107,3498,60.23%,396,407,156,959
"Railroad Commissioner, Unexpired Term",0758,1996,783,2779,3781,73.50%,2233,151,108,2492
"Railroad Commissioner, Unexpired Term",0759,1112,590,1702,2625,64.84%,1050,211,108,1369
"Railroad Commissioner, Unexpired Term",0760,2347,647,2994,4154,72.08%,2497,158,96,2751
"Railroad Commissioner, Unexpired Term",0761,917,219,1136,1464,77.60%,841,85,71,997
"Railroad Commissioner, Unexpired Term",0762,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0763,255,308,564,1184,47.64%,200,127,27,354
"Railroad Commissioner, Unexpired Term",0764,2274,1050,3324,4931,67.41%,2131,364,175,2670
"Railroad Commissioner, Unexpired Term",0765,1393,815,2208,3967,55.66%,833,405,215,1453
"Railroad Commissioner, Unexpired Term",0766,72,92,164,383,42.82%,37,50,9,96
"Railroad Commissioner, Unexpired Term",0767,20,15,35,90,38.89%,22,4,0,26
"Railroad Commissioner, Unexpired Term",0768,2855,1159,4014,5364,74.83%,3154,258,158,3570
"Railroad Commissioner, Unexpired Term",0769,117,5,122,161,75.78%,5,11,9,25
"Railroad Commissioner, Unexpired Term",0770,58,48,106,262,40.46%,43,20,8,71
"Railroad Commissioner, Unexpired Term",0771,703,537,1240,2378,52.14%,651,180,91,922
"Railroad Commissioner, Unexpired Term",0772,2932,1002,3934,5617,70.04%,3042,248,184,3474
"Railroad Commissioner, Unexpired Term",0773,892,550,1442,2648,54.46%,408,257,107,772
"Railroad Commissioner, Unexpired Term",0774,117,74,191,301,63.46%,46,39,17,102
"Railroad Commissioner, Unexpired Term",0775,33,1,34,83,40.96%,2,0,0,2
"Railroad Commissioner, Unexpired Term",0776,1115,741,1856,2855,65.01%,1113,226,116,1455
"Railroad Commissioner, Unexpired Term",0777,83,123,206,642,32.09%,55,38,15,108
"Railroad Commissioner, Unexpired Term",0778,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0779,295,221,516,1146,45.03%,177,108,27,312
