Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0780,136,114,250,579,43.18%,112,39,13,164
"Railroad Commissioner, Unexpired Term",0781,1152,655,1807,3716,48.63%,729,319,100,1148
"Railroad Commissioner, Unexpired Term",0782,851,532,1383,2188,63.21%,863,165,82,1110
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0783,103,43,146,265,55.09%,80,14,11,105
"Railroad Commissioner, Unexpired Term",0784,430,156,586,1071,54.72%,26,56,29,111
"Railroad Commissioner, Unexpired Term",0785,66,55,121,310,39.03%,68,19,3,90
"Railroad Commissioner, Unexpired Term",0786,193,277,470,1297,36.24%,139,91,28,258
"Railroad Commissioner, Unexpired Term",0787,154,76,230,487,47.23%,79,41,15,135
"Railroad Commissioner, Unexpired Term",0788,156,58,214,481,44.49%,74,45,26,145
"Railroad Commissioner, Unexpired Term",0789,3,1,4,4,100.00%,0,1,2,3
"Railroad Commissioner, Unexpired Term",0790,1,0,1,4,25.00%,0,0,1,1
"Railroad Commissioner, Unexpired Term",0791,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0792,549,409,958,1834,52.24%,244,152,53,449
"Railroad Commissioner, Unexpired Term",0793,890,338,1228,2437,50.39%,705,167,49,921
"Railroad Commissioner, Unexpired Term",0794,575,484,1059,2602,40.70%,112,195,73,380
"Railroad Commissioner, Unexpired Term",0795,265,255,520,1207,43.08%,164,116,37,317
"Railroad Commissioner, Unexpired Term",0796,145,92,237,485,48.87%,119,45,8,172
"Railroad Commissioner, Unexpired Term",0797,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0798,176,263,439,496,88.51%,145,81,52,278
"Railroad Commissioner, Unexpired Term",0799,65,12,77,146,52.74%,16,18,6,40
"Railroad Commissioner, Unexpired Term",0800,1188,795,1983,2817,70.39%,1356,204,139,1699
"Railroad Commissioner, Unexpired Term",0801,68,55,123,253,48.62%,35,38,9,82
"Railroad Commissioner, Unexpired Term",0802,98,58,156,299,52.17%,42,29,48,119
"Railroad Commissioner, Unexpired Term",0803,1305,530,1935,2718,71.19%,1437,153,79,1669
"Railroad Commissioner, Unexpired Term",0804,1810,960,2770,4348,63.71%,1683,367,147,2197
"Railroad Commissioner, Unexpired Term",0805,1509,529,2038,2812,72.48%,1635,131,75,1841
"Railroad Commissioner, Unexpired Term",0806,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0807,653,402,1055,2001,52.72%,197,284,139,620
"Railroad Commissioner, Unexpired Term",0808,42,26,68,84,80.95%,29,13,9,51
"Railroad Commissioner, Unexpired Term",0809,21,e,27,86,31.40%,10,3,1,14
"Railroad Commissioner, Unexpired Term",0810,30,48,78,215,36.28%,17,17,6,40
"Railroad Commissioner, Unexpired Term",0811,39,106,145,271,53.51%,33,46,7,86
"Railroad Commissioner, Unexpired Term",0812,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0813,1969,1258,3227,5423,59.51%,1604,482,154,2240
"Railroad Commissioner, Unexpired Term",0814,1774,955,2729,4503,60.60%,702,542,249,1493
"Railroad Commissioner, Unexpired Term",0815,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0816,20,13,33,76,43.42%,7,14,0,21
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0817,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0818,134,101,235,527,44.59%,54,37,24,115
"Railroad Commissioner, Unexpired Term",0819,97,45,142,238,59.88%,91,7,14,112
"Railroad Commissioner, Unexpired Term",0820,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0821,354,203,557,1208,48.19%,84,93,40,197
"Railroad Commissioner, Unexpired Term",0822,584,282,888,1544,58.09%,52,123,43,218
"Railroad Commissioner, Unexpired Term",0823,1854,1015,2889,4710,80.91%,1589,404,200,2173
"Railroad Commissioner, Unexpired Term",0824,985,471,1458,2729,53.35%,353,251,107,711
"Railroad Commissioner, Unexpired Term",0825,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0828,153,89,242,342,70.78%,149,28,25,202
"Railroad Commissioner, Unexpired Term",0827,189,188,355,997,35.81%,129,84,18,211
"Railroad Commissioner, Unexpired Term",0828,1074,343,1417,1875,75.57%,1184,79,51,1294
"Railroad Commissioner, Unexpired Term",0829,107,58,183,288,81.28%,39,27,19,85
"Railroad Commissioner, Unexpired Term",0830,0,0,0,1,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0831,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0832,109,48,155,351,44.18%,51,18,11,80
"Railroad Commissioner, Unexpired Term",0833,8,1,9,20,45.00%,0,0,1,1
"Railroad Commissioner, Unexpired Term",0834,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0835,87,53,140,292,47.95%,45,33,10,88
"Railroad Commissioner, Unexpired Term",0838,8,3,11,19,57.89%,2,2,1,5
"Railroad Commissioner, Unexpired Term",0837,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0838,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0839,355,240,595,1122,53.03%,135,125,89,349
"Railroad Commissioner, Unexpired Term",0840,712,251,983,1821,59.41%,349,138,47,534
"Railroad Commissioner, Unexpired Term",0841,0,2,2,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0842,989,715,1704,3091,55.13%,794,301,123,1218
"Railroad Commissioner, Unexpired Term",0843,0,2,2,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0844,2,4,8,13,48.15%,1,1,0,2
"Railroad Commissioner, Unexpired Term",0845,88,10,98,100,98.00%,81,9,3,73
"Railroad Commissioner, Unexpired Term",0848,70,29,99,210,47.14%,8,18,8,32
"Railroad Commissioner, Unexpired Term",0847,797,321,1118,1804,81.97%,318,197,77,592
"Railroad Commissioner, Unexpired Term",0848,782,431,1213,1873,84.78%,417,179,113,709
"Railroad Commissioner, Unexpired Term",0849,553,514,1087,2073,51.47%,358,255,70,883
"Railroad Commissioner, Unexpired Term",0850,87,38,125,205,80.98%,53,21,8,82
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0851,2194,816,3010,4317,69.72%,1959,282,184,2425
"Railroad Commissioner, Unexpired Term",0852,0,4,4,2,200.00%,0,1,0,1
"Railroad Commissioner, Unexpired Term",0853,1414,605,2019,2773,72.81%,1572,131,92,1795
"Railroad Commissioner, Unexpired Term",0854,41,30,71,175,40.57%,4,14,2,20
"Railroad Commissioner, Unexpired Term",0855,4,13,17,18,94.44%,8,1,1,10
"Railroad Commissioner, Unexpired Term",0856,0,4,4,0,0.00%,2,1,0,3
"Railroad Commissioner, Unexpired Term",0857,0,0,0,1,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0858,132,18,150,372,40.32%,6,20,7,33
"Railroad Commissioner, Unexpired Term",0859,309,201,510,860,59.30%,112,91,31,234
"Railroad Commissioner, Unexpired Term",0860,0,1,1,0,0.00%,1,0,0,1
"Railroad Commissioner, Unexpired Term",0861,705,319,1024,1786,57.33%,214,145,70,429
"Railroad Commissioner, Unexpired Term",0862,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0863,210,69,279,620,45.00%,18,42,23,83
"Railroad Commissioner, Unexpired Term",0864,497,609,1106,2464,44.89%,294,183,47,524
"Railroad Commissioner, Unexpired Term",0865,9,2,11,23,47.83%,1,1,1,3
"Railroad Commissioner, Unexpired Term",0866,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0867,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0868,573,586,1159,2292,50.57%,365,167,69,601
"Railroad Commissioner, Unexpired Term",0869,153,76,229,473,48.41%,43,40,16,99
"Railroad Commissioner, Unexpired Term",0870,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0871,3,0,3,4,75.00%,0,2,1,3
"Railroad Commissioner, Unexpired Term",0872,13,5,18,66,27.27%,8,1,3,12
"Railroad Commissioner, Unexpired Term",0873,253,125,378,701,53.92%,106,74,19,199
"Railroad Commissioner, Unexpired Term",0874,1535,748,2283,3107,73.48%,1769,159,96,2024
"Railroad Commissioner, Unexpired Term",0875,1721,927,2648,4031,65.69%,1333,453,176,1962
"Railroad Commissioner, Unexpired Term",0876,1630,639,2269,3013,75.31%,1663,195,84,1942
"Railroad Commissioner, Unexpired Term",0877,1032,542,1674,2480,67.50%,741,324,136,1201
"Railroad Commissioner, Unexpired Term",0878,853,350,1203,1641,73.31%,1011,65,35,1111
"Railroad Commissioner, Unexpired Term",0879,890,527,1417,2334,60.71%,683,263,85,1031
"Railroad Commissioner, Unexpired Term",0880,1070,472,1542,2007,76.83%,1202,115,46,1363
"Railroad Commissioner, Unexpired Term",0881,1511,877,2388,3619,65.99%,836,494,197,1527
"Railroad Commissioner, Unexpired Term",0882,941,457,1398,2328,60.05%,802,196,94,1092
"Railroad Commissioner, Unexpired Term",0883,1920,1042,2962,4651,63.69%,594,586,196,1376
"Railroad Commissioner, Unexpired Term",0884,119,37,156,330,47.27%,21,17,5,43
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0885,1222,541,1763,2466,71.49%,1078,210,76,1364
"Railroad Commissioner, Unexpired Term",0886,301,154,455,713,63.81%,245,74,44,363
"Railroad Commissioner, Unexpired Term",0887,142,83,225,313,71.88%,126,36,14,176
"Railroad Commissioner, Unexpired Term",0888,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0889,22,0,22,61,36.07%,13,3,1,17
"Railroad Commissioner, Unexpired Term",0890,325,118,443,994,44.57%,173,71,64,308
"Railroad Commissioner, Unexpired Term",0891,540,392,932,1413,65.96%,425,126,126,677
"Railroad Commissioner, Unexpired Term",0892,195,130,325,696,46.70%,101,57,29,187
"Railroad Commissioner, Unexpired Term",0893,1,0,1,5,20.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0894,0,31,31,0,0.00%,6,6,10,22
"Railroad Commissioner, Unexpired Term",0895,337,325,662,784,84.44%,328,69,127,524
"Railroad Commissioner, Unexpired Term",0896,670,303,973,1437,67.71%,416,129,210,755
"Railroad Commissioner, Unexpired Term",0897,742,375,1117,1624,68.78%,622,119,70,811
"Railroad Commissioner, Unexpired Term",0898,0,0,0,2,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0899,4,0,4,8,50.00%,0,0,1,1
"Railroad Commissioner, Unexpired Term",0900,5,0,5,12,41.67%,1,2,0,3
"Railroad Commissioner, Unexpired Term",0901,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0902,868,621,1489,2065,72.11%,883,212,147,1242
"Railroad Commissioner, Unexpired Term",0903,10,1,11,41,26.83%,5,2,2,9
"Railroad Commissioner, Unexpired Term",0904,0,1,1,1,100.00%,0,0,1,1
"Railroad Commissioner, Unexpired Term",0905,290,158,458,908,50.44%,183,108,16,307
"Railroad Commissioner, Unexpired Term",0906,12,6,18,26,69.23%,12,0,4,16
"Railroad Commissioner, Unexpired Term",0907,61,43,104,134,77.61%,22,29,10,61
"Railroad Commissioner, Unexpired Term",0908,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0909,5,7,1,2,1,9,63.1,6%,5,4,0,9
"Railroad Commissioner, Unexpired Term",0910,55,34,89,226,39.38%,36,17,5,58
"Railroad Commissioner, Unexpired Term",0911,227,79,306,570,53.68%,204,32,15,251
"Railroad Commissioner, Unexpired Term",0912,677,221,898,1235,72.71%,558,94,51,703
"Railroad Commissioner, Unexpired Term",0913,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0914,173,67,240,221,108.60%,191,15,9,215
"Railroad Commissioner, Unexpired Term",0915,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0916,505,182,787,1045,75.31%,642,40,22,704
"Railroad Commissioner, Unexpired Term",0917,282,137,419,481,87.11%,306,37,30,373
"Railroad Commissioner, Unexpired Term",0918,489,135,624,883,70.67%,499,30,32,561
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0919,0,3,3,3,100.00%,1,2,0,3
"Railroad Commissioner, Unexpired Term",0920,6,0,6,13,46.15%,6,0,0,6
"Railroad Commissioner, Unexpired Term",0921,71,9,80,87,91.95%,64,6,5,75
"Railroad Commissioner, Unexpired Term",0922,0,2,2,0,0.00%,1,0,1,2
"Railroad Commissioner, Unexpired Term",0923,666,87,753,826,91.16%,589,49,21,659
"Railroad Commissioner, Unexpired Term",0924,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0925,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0926,351,120,481,621,77.46%,367,29,22,418
"Railroad Commissioner, Unexpired Term",0927,84,74,158,262,60.31%,77,26,13,116
"Railroad Commissioner, Unexpired Term",0928,4,2,6,9,66.67%,0,2,0,2
"Railroad Commissioner, Unexpired Term",0929,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0930,200,77,277,567,48.85%,12,42,13,67
"Railroad Commissioner, Unexpired Term",0931,48,53,101,122,82.79%,62,8,13,83
"Railroad Commissioner, Unexpired Term",0932,0,5,5,0,0.00%,3,0,2,5
"Railroad Commissioner, Unexpired Term",0933,235,121,357,566,63.07%,116,73,49,238
"Railroad Commissioner, Unexpired Term",0934,12,1,13,41,31.71%,5,5,1,11
"Railroad Commissioner, Unexpired Term",0935,8,17,25,65,38.46%,12,8,1,21
"Railroad Commissioner, Unexpired Term",0936,12,10,22,70,31.43%,7,2,0,9
"Railroad Commissioner, Unexpired Term",0937,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0938,73,14,87,256,33.98%,28,18,8,54
"Railroad Commissioner, Unexpired Term",0939,1,0,1,1,100.00%,0,1,0,1
"Railroad Commissioner, Unexpired Term",0940,1,0,1,13,7.69%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0941,13,9,22,25,88.00%,21,1,0,22
"Railroad Commissioner, Unexpired Term",0942,68,24,92,159,57.86%,75,2,4,81
"Railroad Commissioner, Unexpired Term",0943,297,63,360,536,67.16%,277,15,12,304
"Railroad Commissioner, Unexpired Term",0944,30,6,36,39,92.31%,32,2,0,34
"Railroad Commissioner, Unexpired Term",0945,4,7,11,16,68.75%,1,3,0,4
"Railroad Commissioner, Unexpired Term",0946,3,3,6,14,42.86%,1,1,1,3
"Railroad Commissioner, Unexpired Term",0947,320,292,612,822,74.45%,333,78,73,484
"Railroad Commissioner, Unexpired Term",0948,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0949,59,37,96,201,47.76%,47,10,18,75
"Railroad Commissioner, Unexpired Term",0950,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0951,79,44,123,218,56.42%,31,30,15,76
"Railroad Commissioner, Unexpired Term",0952,24,16,40,70,57.14%,23,4,7,34
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0953,59,52,111,420,26.43%,10,22,14,46
"Railroad Commissioner, Unexpired Term",0954,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0955,5,20,25,18,138.89%,14,6,1,21
"Railroad Commissioner, Unexpired Term",0956,5,2,7,12,58.33%,4,1,2,7
"Railroad Commissioner, Unexpired Term",0957,261,115,376,551,68.24%,69,69,21,159
"Railroad Commissioner, Unexpired Term",0958,289,266,555,989,56.12%,121,92,31,244
"Railroad Commissioner, Unexpired Term",0959,0,4,4,0,0.00%,0,1,0,1
"Railroad Commissioner, Unexpired Term",0960,364,143,507,586,86.52%,154,81,47,282
"Railroad Commissioner, Unexpired Term",0961,23,11,34,53,64.15%,9,5,2,16
"Railroad Commissioner, Unexpired Term",0962,24,13,37,73,50.68%,9,8,8,25
"Railroad Commissioner, Unexpired Term",0963,130,69,199,353,56.37%,113,20,9,142
"Railroad Commissioner, Unexpired Term",0964,950,447,1397,1571,88.92%,884,160,79,1123
"Railroad Commissioner, Unexpired Term",0965,93,27,120,355,33.80%,81,10,6,97
"Railroad Commissioner, Unexpired Term",0966,305,160,465,1073,43.34%,137,85,37,259
"Railroad Commissioner, Unexpired Term",0967,48,15,63,98,64.29%,27,14,2,43
"Railroad Commissioner, Unexpired Term",0968,243,83,326,517,63.06%,74,70,34,178
"Railroad Commissioner, Unexpired Term",0969,335,82,417,584,71.40%,7,68,45,120
"Railroad Commissioner, Unexpired Term",0970,212,76,288,704,40.91%,39,38,19,96
"Railroad Commissioner, Unexpired Term",0971,27,21,48,129,37.21%,3,8,6,17
"Railroad Commissioner, Unexpired Term",0972,10,7,17,29,58.62%,11,2,1,14
"Railroad Commissioner, Unexpired Term",0973,49,24,73,107,68.22%,42,11,11,64
"Railroad Commissioner, Unexpired Term",0974,101,71,172,299,57.53%,115,22,16,153
"Railroad Commissioner, Unexpired Term",0975,72,41,113,170,66.47%,58,10,19,87
"Railroad Commissioner, Unexpired Term",0976,159,131,290,684,42.40%,178,33,10,221
"Railroad Commissioner, Unexpired Term",0977,105,83,188,535,35.14%,73,20,11,104
"Railroad Commissioner, Unexpired Term",0978,201,102,303,506,59.88%,62,62,23,147
"Railroad Commissioner, Unexpired Term",0979,5,e,11,26,42.31%,11,0,0,11
"Railroad Commissioner, Unexpired Term",0980,596,356,952,1323,71.96%,714,72,41,827
"Railroad Commissioner, Unexpired Term",0981,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0982,534,218,752,1021,73.65%,583,54,24,661
"Railroad Commissioner, Unexpired Term",0983,41,28,69,165,41.82%,41,13,6,60
"Railroad Commissioner, Unexpired Term",0984,43,49,92,198,46.46%,8,20,15,43
"Railroad Commissioner, Unexpired Term",0985,172,67,239,336,71.13%,138,28,21,187
"Railroad Commissioner, Unexpired Term",0986,129,86,215,404,53.22%,27,44,16,87
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0987,465,191,656,1138,57.64%,75,94,35,204
"Railroad Commissioner, Unexpired Term",0988,44,21,65,111,58.56%,56,2,0,58
"Railroad Commissioner, Unexpired Term",0989,18,8,26,36,72.22%,12,5,1,18
"Railroad Commissioner, Unexpired Term",0990,37,15,52,154,33.77%,20,9,2,31
"Railroad Commissioner, Unexpired Term",0991,0,0,0,1,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0992,310,202,512,1015,50.44%,298,60,31,389
"Railroad Commissioner, Unexpired Term",0993,272,91,363,551,65.88%,284,21,20,325
"Railroad Commissioner, Unexpired Term",0994,6,5,11,8,137.50%,2,0,4,6
"Railroad Commissioner, Unexpired Term",0995,598,190,788,1269,62.10%,71,145,66,282
"Railroad Commissioner, Unexpired Term",0996,297,125,422,699,60.37%,240,58,18,316
"Railroad Commissioner, Unexpired Term",0997,432,328,760,1439,52.81%,159,149,64,372
"Railroad Commissioner, Unexpired Term",0998,15,9,24,35,68.57%,20,1,2,23
"Railroad Commissioner, Unexpired Term",0999,30,16,46,65,70.77%,36,2,0,38
"Railroad Commissioner, Unexpired Term",1000,105,0,105,458,22.93%,20,25,10,55
"Railroad Commissioner, Unexpired Term",1001,496,294,790,1566,50.45%,186,141,59,386
"Railroad Commissioner, Unexpired Term",1002,465,314,779,1738,44.82%,108,169,69,346
"Railroad Commissioner, Unexpired Term",1003,0,0,0,1,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1004,225,153,378,656,57.62%,197,60,31,288
"Railroad Commissioner, Unexpired Term",1005,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1006,3,0,3,5,60.00%,3,0,0,3
"Railroad Commissioner, Unexpired Term",1007,556,295,851,1371,62.07%,224,191,54,469
"Railroad Commissioner, Unexpired Term",1008,86,21,107,150,71.33%,84,6,7,97
"Railroad Commissioner, Unexpired Term",1009,3,1,4,8,50.00%,4,0,0,4
"Railroad Commissioner, Unexpired Term",1010,125,74,199,317,62.78%,35,58,22,115
"Railroad Commissioner, Unexpired Term",1011,12,3,15,29,51.72%,8,0,1,9
"Railroad Commissioner, Unexpired Term",1012,395,318,713,1235,57.73%,212,107,28,347
"Railroad Commissioner, Unexpired Term",1013,8,14,22,60,36.67%,16,1,0,17
"Railroad Commissioner, Unexpired Term",1,014,9,7,1,6,36,44.44%,4,2,0,6
"Railroad Commissioner, Unexpired Term",1015,11,7,18,29,62.07%,5,1,2,8
"Railroad Commissioner, Unexpired Term",1016,593,364,957,1626,58.86%,447,171,71,689
"Railroad Commissioner, Unexpired Term",1017,127,50,177,232,76.29%,57,34,13,104
"Railroad Commissioner, Unexpired Term",1018,209,92,301,468,64.32%,146,43,14,203
"Railroad Commissioner, Unexpired Term",1019,427,4,431,1518,28.39%,24,87,37,148
"Railroad Commissioner, Unexpired Term",1020,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",1021,1,0,1,2,50.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1022,190,30,220,426,51.64%,176,12,4,192
"Railroad Commissioner, Unexpired Term",1023,898,401,1299,1964,66.14%,875,145,72,1092
"Railroad Commissioner, Unexpired Term",1024,113,77,190,259,73.36%,105,27,22,154
"Railroad Commissioner, Unexpired Term",1025,4,0,4,18,22.22%,1,0,0,1
"Railroad Commissioner, Unexpired Term",1026,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1027,0,1,1,1,100.00%,1,0,0,1
"Railroad Commissioner, Unexpired Term",1028,0,1,1,0,0.00%,1,0,0,1
"Railroad Commissioner, Unexpired Term",1029,1023,641,1664,1802,92.34%,1298,106,66,1470
"Railroad Commissioner, Unexpired Term",1030,398,105,503,655,76.79%,439,18,15,472
"Railroad Commissioner, Unexpired Term",1031,3,3,6,6,100.00%,5,0,0,5
"Railroad Commissioner, Unexpired Term",1032,59,80,139,241,57.68%,102,7,7,116
"Railroad Commissioner, Unexpired Term",1033,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1034,0,0,0,1,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1035,24,13,37,139,26.62%,6,8,2,16
"Railroad Commissioner, Unexpired Term",1036,144,46,190,433,43.88%,149,9,4,162
"Railroad Commissioner, Unexpired Term",1037,27,16,43,73,58.90%,23,7,0,30
"Railroad Commissioner, Unexpired Term",1038,133,43,176,266,66.17%,13,10,14,37
"Railroad Commissioner, Unexpired Term",1039,3,5,8,20,40.00%,1,4,0,5
"Railroad Commissioner, Unexpired Term",1040,195,146,341,607,56.18%,182,56,22,260
"Railroad Commissioner, Unexpired Term",1041,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1042,228,50,278,498,55.82%,88,41,26,155
"Railroad Commissioner, Unexpired Term",1043,12,2,14,31,45.16%,3,2,1,6
"Railroad Commissioner, Unexpired Term",1044,29,5,34,59,57.63%,9,5,1,15
"Railroad Commissioner, Unexpired Term",1045,615,321,936,1439,65.05%,151,218,76,445
"Railroad Commissioner, Unexpired Term",1046,19,18,37,54,68.52%,7,8,2,17
"Railroad Commissioner, Unexpired Term",1047,554,288,852,1242,68.60%,297,185,60,542
"Railroad Commissioner, Unexpired Term",1048,3,1,4,18,22.22%,2,0,0,2
"Railroad Commissioner, Unexpired Term",1049,57,71,128,266,48.12%,41,30,8,79
"Railroad Commissioner, Unexpired Term",1050,148,153,301,506,59.49%,76,60,21,157
"Railroad Commissioner, Unexpired Term",1,051,0,1,2,1,2,0,0.00%,8,3,0,1,1
"Railroad Commissioner, Unexpired Term",1052,0,2,2,0,0.00%,1,0,0,1
"Railroad Commissioner, Unexpired Term",1053,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1054,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",1055,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",1056,4,0,4,6,66.67%,2,1,0,3
"Railroad Commissioner, Unexpired Term",1057,34,7,41,115,35.65%,3,7,2,12
"Railroad Commissioner, Unexpired Term",1058,540,246,786,1190,66.05%,146,155,45,346
"Railroad Commissioner, Unexpired Term",1059,7,3,10,23,43.48%,2,1,1,4
"Railroad Commissioner, Unexpired Term",1060,13,4,17,49,34.69%,11,3,0,14
"Railroad Commissioner, Unexpired Term",1061,666,300,966,1613,59.89%,548,128,49,725
"Railroad Commissioner, Unexpired Term",1062,59,25,85,168,50.60%,22,21,6,49
"Railroad Commissioner, Unexpired Term",1063,226,63,289,792,36.49%,33,43,21,97
"Railroad Commissioner, Unexpired Term",1064,45,1,46,120,38.33%,33,8,1,42
"Railroad Commissioner, Unexpired Term",Totals:,775751,427100,1202851,1942566,603038,158144,83364,844546
