Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Keith NonNood,Shane Schultz,Totals
"Sheldon I.S.D., Trustee Position 1",0045,2434,1138,3572,6029,59.25%,1293,502,1795
"Sheldon I.S.D., Trustee Position 1",0220,92,17,109,190,57.37%,46,11,57
"Sheldon I.S.D., Trustee Position 1",0376,357,224,581,1175,49.45%,198,119,317
"Sheldon I.S.D., Trustee Position 1",0380,42,17,59,76,77.63%,19,9,28
"Sheldon I.S.D., Trustee Position 1",0382,276,231,507,841,60.29%,175,99,274
"Sheldon I.S.D., Trustee Position 1",0460,362,119,481,741,64.91%,173,89,262
"Sheldon I.S.D., Trustee Position 1",0742,0,0,0,0,0.00%,0,0,0
"Sheldon I.S.D., Trustee Position 1",0834,0,0,0,0,0.00%,0,0,0
"Sheldon I.S.D., Trustee Position 1",0963,129,69,198,353,56.09%,71,28,99
"Sheldon I.S.D., Trustee Position 1",0965,93,27,120,355,33.80%,44,27,71
"Sheldon I.S.D., Trustee Position 1",0976,159,131,290,684,42.40%,90,68,158
"Sheldon I.S.D., Trustee Position 1",Totals:,3944,1973,5917,10444,,2109,952,3061
