Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP R. W. Bray,"DEM Mario V. Gallegos, Jr.",Totals
"State Senator, District 6",0001,806,516,1322,2155,61.35%,422,826,1248
"State Senator, District 6",0002,753,407,1160,1890,61.38%,547,555,1102
"State Senator, District 6",0009,472,382,854,1736,49.19%,173,629,802
"State Senator, District 6",0010,499,245,744,1722,43.21%,145,551,696
"State Senator, District 6",0011,418,335,753,1830,41.15%,112,601,713
"State Senator, District 6",0012,227,133,360,716,50.28%,182,166,348
"State Senator, District 6",0013,1140,443,1583,2823,56.08%,1041,472,1513
"State Senator, District 6",0023,99,65,164,512,32.03%,34,120,154
"State Senator, District 6",0026,463,486,949,1843,51.49%,214,688,902
"State Senator, District 6",0027,821,695,1516,3005,50.45%,321,1122,1443
"State Senator, District 6",0029,418,577,995,2659,37.42%,290,661,951
"State Senator, District 6",0036,993,479,1472,2868,51.32%,363,1033,1396
"State Senator, District 6",0044,492,314,806,1976,40.79%,144,613,757
"State Senator, District 6",0045,2434,1138,3572,6031,59.23%,559,2873,3432
"State Senator, District 6",0046,538,433,971,2468,39.34%,131,804,935
"State Senator, District 6",0061,435,528,963,2250,42.80%,226,691,917
"State Senator, District 6",0062,419,528,947,2190,43.24%,158,730,888
"State Senator, District 6",0064,410,420,830,2090,39.71%,120,668,788
"State Senator, District 6",0065,404,532,936,2178,42.98%,132,759,891
"State Senator, District 6",0066,172,279,451,1090,41.38%,55,371,426
"State Senator, District 6",0067,664,574,1238,2742,45.15%,223,928,1151
"State Senator, District 6",0069,218,284,502,1303,38.53%,61,410,471
"State Senator, District 6",0072,441,562,1003,1882,53.29%,207,742,949
"State Senator, District 6",0077,168,81,249,565,44.07%,51,183,234
"State Senator, District 6",0078,359,344,703,1479,47.53%,173,484,657
"State Senator, District 6",0079,511,717,1228,2959,41.50%,181,985,1166
"State Senator, District 6",0081,540,309,849,1839,46.17%,236,580,816
"State Senator, District 6",0083,2625,1181,3806,5598,67.99%,1738,1933,3671
"State Senator, District 6",0093,782,643,1425,3295,43.25%,470,869,1339
"State Senator, District 6",0094,148,104,252,537,46.93%,46,192,238
"State Senator, District 6",0099,568,311,879,2040,43.09%,382,458,840
"State Senator, District 6",0100,427,324,751,1754,42.82%,306,410,716
"State Senator, District 6",0101,203,186,389,941,41.34%,85,291,376
"State Senator, District 6",0102,493,268,761,1910,39.84%,175,558,733
"State Senator, District 6",0105,462,453,915,2153,42.50%,191,663,854
"State Senator, District 6",0106,49,37,86,284,30.28%,41,41,82
"State Senator, District 6",0107,412,441,853,1905,44.78%,119,698,817
"State Senator, District 6",0115,598,305,903,1764,51.19%,90,783,873
"State Senator, District 6",0134,419,392,811,1444,56.16%,337,434,771
"State Senator, District 6",0141,181,143,324,872,37.16%,190,116,306
"State Senator, District 6",0142,212,171,383,870,44.02%,83,284,367
"State Senator, District 6",0150,539,207,746,1212,61.55%,15,709,724
"State Senator, District 6",0152,483,602,1085,2701,40.17%,200,838,1038
"State Senator, District 6",0153,328,437,765,1755,43.59%,165,564,729
"State Senator, District 6",0154,593,360,953,2133,44.68%,169,716,885
"State Senator, District 6",0162,232,262,494,1249,39.55%,121,324,445
"State Senator, District 6",0163,778,635,1413,3054,46.27%,356,944,1300
"State Senator, District 6",0166,281,311,592,1016,58.27%,182,378,560
"State Senator, District 6",0167,5,2,7,23,30.43%,0,7,7
"State Senator, District 6",0170,481,353,834,1887,44.20%,380,400,780
"State Senator, District 6",0171,514,294,808,1613,50.09%,24,752,776
"State Senator, District 6",0172,161,147,308,600,51.33%,83,208,291
"State Senator, District 6",0181,416,514,930,1968,47.26%,228,660,888
"State Senator, District 6",0184,214,256,470,969,48.50%,127,317,444
"State Senator, District 6",0185,592,494,1086,1910,56.86%,321,712,1033
"State Senator, District 6",0187,48,65,113,309,36.57%,21,87,108
"State Senator, District 6",0188,307,378,685,1616,42.39%,231,433,664
"State Senator, District 6",0190,275,401,676,1720,39.30%,203,431,634
"State Senator, District 6",0191,196,313,509,1391,36.59%,160,327,487
"State Senator, District 6",0196,121,55,176,323,54.49%,8,162,170
"State Senator, District 6",0203,266,156,422,900,46.89%,74,335,409
"State Senator, District 6",0206,651,659,1310,2662,49.21%,358,896,1254
"State Senator, District 6",0207,409,310,719,1144,62.85%,213,468,681
"State Senator, District 6",0208,806,364,1170,2201,53.16%,250,869,1119
"State Senator, District 6",0211,710,686,1396,2797,49.91%,438,881,1319
"State Senator, District 6",0212,218,314,532,1266,42.02%,85,414,499
"State Senator, District 6",0218,690,608,1298,2274,57.08%,335,900,1235
"State Senator, District 6",0221,699,611,1310,2489,52.63%,478,752,1230
"State Senator, District 6",0226,529,545,1074,2393,44.88%,183,817,1000
"State Senator, District 6",0231,562,471,1033,2219,46.55%,217,778,995
"State Senator, District 6",0241,494,479,973,2296,42.38%,346,584,930
"State Senator, District 6",0248,408,405,813,2122,38.31%,173,593,766
"State Senator, District 6",0249,1028,481,1509,2676,56.39%,974,473,1447
"State Senator, District 6",0254,220,282,502,1476,34.01%,103,368,471
"State Senator, District 6",0257,553,571,1124,2403,46.77%,246,838,1084
"State Senator, District 6",0261,176,133,309,749,41.26%,83,209,292
"State Senator, District 6",0266,552,542,1094,2119,51.63%,464,581,1045
"State Senator, District 6",0267,294,305,599,1346,44.50%,242,316,558
"State Senator, District 6",0275,567,410,977,1730,56.47%,141,803,944
"State Senator, District 6",0277,342,305,647,1473,43.92%,258,368,626
"State Senator, District 6",0278,756,607,1363,2405,56.67%,668,629,1297
"State Senator, District 6",0279,548,383,931,1899,49.03%,551,339,890
"State Senator, District 6",0280,303,360,663,1515,43.76%,206,424,630
"State Senator, District 6",0285,988,509,1497,2505,59.76%,102,1346,1448
"State Senator, District 6",0289,374,397,771,1510,51.06%,294,427,721
"State Senator, District 6",0301,450,655,1105,2397,46.10%,382,679,1061
"State Senator, District 6",0302,713,635,1348,2724,49.49%,683,592,1275
"State Senator, District 6",0308,444,238,682,1266,53.87%,171,480,651
"State Senator, District 6",0320,464,300,764,1505,50.76%,316,408,724
"State Senator, District 6",0321,442,306,748,2029,36.87%,236,479,715
"State Senator, District 6",0325,656,397,1053,2251,46.78%,223,786,1009
"State Senator, District 6",0326,202,128,330,678,48.67%,126,178,304
"State Senator, District 6",0328,344,270,614,1361,45.11%,216,378,594
"State Senator, District 6",0329,405,307,712,1367,52.08%,203,475,678
"State Senator, District 6",0339,369,373,742,1716,43.24%,135,559,694
"State Senator, District 6",0341,246,316,562,1248,45.03%,118,421,539
"State Senator, District 6",0343,436,483,919,1904,48.27%,195,656,851
"State Senator, District 6",0344,395,245,640,1207,53.02%,18,593,611
"State Senator, District 6",0358,740,464,1204,2297,52.42%,84,1081,1165
"State Senator, District 6",0371,226,69,295,475,62.11%,4,284,288
"State Senator, District 6",0373,61,16,77,159,48.43%,1,71,72
"State Senator, District 6",0374,139,187,326,748,43.58%,79,237,316
"State Senator, District 6",0375,577,524,1101,2607,42.23%,417,629,1046
"State Senator, District 6",0379,800,338,1138,2017,56.42%,77,1013,1090
"State Senator, District 6",0381,957,424,1381,2715,50.87%,536,782,1318
"State Senator, District 6",0394,166,176,342,860,39.77%,127,200,327
"State Senator, District 6",0397,163,148,311,750,41.47%,116,174,290
"State Senator, District 6",0404,778,552,1330,2589,51.37%,653,621,1274
"State Senator, District 6",0408,154,179,333,933,35.69%,127,193,320
"State Senator, District 6",0409,277,289,566,1371,41.28%,159,376,535
"State Senator, District 6",0411,542,462,1004,2302,43.61%,261,693,954
"State Senator, District 6",0417,777,619,1396,2465,56.63%,586,744,1330
"State Senator, District 6",0418,1057,758,1815,3420,53.07%,639,1105,1744
"State Senator, District 6",0423,190,309,499,894,55.82%,195,274,469
"State Senator, District 6",0475,485,473,958,1651,58.03%,393,515,908
"State Senator, District 6",0497,1123,303,1426,2226,64.06%,48,1329,1377
"State Senator, District 6",0526,167,171,338,731,46.24%,81,240,321
"State Senator, District 6",0527,80,24,104,569,18.28%,46,55,101
"State Senator, District 6",0530,259,235,494,1196,41.30%,91,375,466
"State Senator, District 6",0533,317,207,524,1069,49.02%,255,241,496
"State Senator, District 6",0535,80,94,174,421,41.33%,52,113,165
"State Senator, District 6",0536,1332,1195,2527,4576,55.22%,865,1560,2425
"State Senator, District 6",0543,287,378,665,1528,43.52%,178,462,640
"State Senator, District 6",0544,92,53,145,318,45.60%,14,127,141
"State Senator, District 6",0560,172,289,461,1176,39.20%,76,357,433
"State Senator, District 6",0571,333,312,645,1758,36.69%,173,435,608
"State Senator, District 6",0579,487,351,838,1806,46.40%,184,612,796
"State Senator, District 6",0591,420,449,869,2114,41.11%,203,626,829
"State Senator, District 6",0595,497,380,877,1647,53.25%,127,726,853
"State Senator, District 6",0605,2227,889,3116,5251,59.34%,682,2324,3006
"State Senator, District 6",0608,245,290,535,1256,42.60%,192,316,508
"State Senator, District 6",0637,739,509,1248,2471,50.51%,255,922,1177
"State Senator, District 6",0664,681,607,1288,2801,45.98%,256,972,1228
"State Senator, District 6",0676,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0677,220,239,459,954,48.11%,112,330,442
"State Senator, District 6",0681,1,0,1,5,20.00%,0,1,1
"State Senator, District 6",0683,48,50,98,261,37.55%,15,77,92
"State Senator, District 6",0702,150,123,273,549,49.73%,24,236,260
"State Senator, District 6",0708,109,95,204,568,35.92%,90,105,195
"State Senator, District 6",0714,77,3,80,304,26.32%,52,25,77
"State Senator, District 6",0719,508,260,768,1617,47.50%,407,325,732
"State Senator, District 6",0733,25,62,87,172,50.58%,29,52,81
"State Senator, District 6",0736,6,1,7,21,33.33%,1,5,6
"State Senator, District 6",0740,233,205,438,935,46.84%,226,201,427
"State Senator, District 6",0742,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0743,27,4,31,199,15.58%,12,17,29
"State Senator, District 6",0749,99,57,156,359,43.45%,27,118,145
"State Senator, District 6",0754,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0755,1048,896,1944,3569,54.47%,661,1205,1866
"State Senator, District 6",0762,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0763,255,308,563,1184,47.55%,170,366,536
"State Senator, District 6",0766,71,92,163,383,42.56%,33,115,148
"State Senator, District 6",0770,58,48,106,262,40.46%,41,60,101
"State Senator, District 6",0774,116,74,190,301,63.12%,42,142,184
"State Senator, District 6",0775,33,1,34,83,40.96%,1,32,33
"State Senator, District 6",0777,83,123,206,642,32.09%,51,151,202
"State Senator, District 6",0778,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0779,295,221,516,1146,45.03%,147,340,487
"State Senator, District 6",0780,136,114,250,579,43.18%,103,129,232
"State Senator, District 6",0785,66,55,121,310,39.03%,58,63,121
"State Senator, District 6",0786,193,277,470,1297,36.24%,122,329,451
"State Senator, District 6",0787,154,76,230,487,47.23%,66,151,217
"State Senator, District 6",0790,1,0,1,4,25.00%,0,1,1
"State Senator, District 6",0792,549,409,958,1834,52.24%,202,723,925
"State Senator, District 6",0794,575,484,1059,2602,40.70%,73,951,1024
"State Senator, District 6",0795,265,255,520,1207,43.08%,138,350,488
"State Senator, District 6",0796,145,92,237,485,48.87%,114,112,226
"State Senator, District 6",0797,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0798,176,263,439,496,88.51%,122,289,411
"State Senator, District 6",0801,58,55,123,253,48.62%,35,83,118
"State Senator, District 6",0806,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0810,30,48,78,215,36.28%,18,52,70
"State Senator, District 6",0811,39,106,145,271,53.51%,21,121,142
"State Senator, District 6",0812,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0816,20,13,33,76,43.42%,5,26,31
"State Senator, District 6",0817,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0821,354,203,557,1206,46.19%,50,485,535
"State Senator, District 6",0824,984,471,1455,2729,53.32%,285,1119,1404
"State Senator, District 6",0827,169,186,355,997,35.61%,123,212,335
"State Senator, District 6",0832,109,46,155,351,44.16%,42,105,147
"State Senator, District 6",0833,8,1,9,20,45.00%,0,9,9
"State Senator, District 6",0838,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0842,987,715,1702,3091,55.06%,700,937,1637
"State Senator, District 6",0844,2,4,6,1,3,46.1,5%,1,4,5
"State Senator, District 6",0846,70,29,99,210,47.14%,5,92,97
"State Senator, District 6",0849,553,514,1067,2073,51.47%,293,726,1019
"State Senator, District 6",0850,87,38,125,205,60.98%,44,76,120
"State Senator, District 6",0852,0,4,4,2,200.00%,0,4,4
"State Senator, District 6",0857,0,0,0,1,0.00%,0,0,0
"State Senator, District 6",0860,0,1,1,0,0.00%,1,0,1
"State Senator, District 6",0862,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0864,497,609,1106,2464,44.89%,240,811,1051
"State Senator, District 6",0871,3,0,3,4,75.00%,0,3,3
"State Senator, District 6",0872,13,5,18,66,27.27%,9,7,16
"State Senator, District 6",0889,22,0,22,61,36.07%,14,8,22
"State Senator, District 6",0899,4,0,4,8,50.00%,1,3,4
"State Senator, District 6",0908,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0909,5,7,12,19,63.16%,6,6,12
"State Senator, District 6",0910,55,34,89,226,39.38%,28,56,84
"State Senator, District 6",0924,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0925,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0928,4,2,6,9,66.67%,0,6,6
"State Senator, District 6",0930,200,77,277,567,48.85%,7,265,272
"State Senator, District 6",0936,12,10,22,70,31.43%,7,15,22
"State Senator, District 6",0937,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0945,4,7,11,1,6,68.75%,0,9,9
"State Senator, District 6",0946,3,3,6,14,42.86%,0,4,4
"State Senator, District 6",0950,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",0957,261,115,376,551,68.24%,57,311,368
"State Senator, District 6",0958,289,266,555,989,56.12%,107,423,530
"State Senator, District 6",0959,0,4,4,0,0.00%,0,4,4
"State Senator, District 6",0970,212,76,288,704,40.91%,29,239,268
"State Senator, District 6",0996,297,125,422,699,60.37%,220,183,403
"State Senator, District 6",1039,3,5,8,20,40.00%,1,7,8
"State Senator, District 6",1,041,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",1046,19,18,37,54,68.52%,4,32,36
"State Senator, District 6",1,048,3,1,4,1,8,22.22%,2,2,4
"State Senator, District 6",1049,57,71,128,266,48.12%,31,92,123
"State Senator, District 6",1050,148,153,301,506,59.49%,64,226,290
"State Senator, District 6",1053,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",1055,0,0,0,0,0.00%,0,0,0
"State Senator, District 6",1056,4,0,4,6,66.67%,0,4,4
"State Senator, District 6",1057,34,7,41,115,35.65%,1,37,38
"State Senator, District 6",1058,540,246,786,1190,66.05%,117,647,764
"State Senator, District 6",1059,7,3,10,23,43.48%,1,9,10
"State Senator, District 6",1060,13,4,17,49,34.69%,9,8,17
"State Senator, District 6",Totals:,77704,60289,137993,284248,,38201,93289,131490
