Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0690,926,1104,2030,5102,39.79%,1635,327,46,6,2014
Attorney General,0691,2,5,7,25,28.00%,3,4,0,0,7
Attorney General,0692,444,548,992,2847,34.84%,737,214,25,8,984
Attorney General,0693,167,91,258,666,38.74%,68,172,10,3,253
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0694,250,120,380,845,44.97%,248,114,9,1,372
Attorney General,0695,232,193,425,1724,24.65%,275,131,4,5,415
Attorney General,0696,251,207,468,1982,23.61%,294,153,14,1,462
Attorney General,0697,605,613,1218,4413,27.60%,312,858,12,16,1198
Attorney General,0698,448,489,937,3189,29.38%,99,800,12,8,919
Attorney General,0699,568,414,982,2343,41.91,%,639,306,13,4,962
Attorney General,0700,255,251,506,1371,36.91%,427,62,6,3,498
Attorney General,0701,56,43,99,588,16.84%,65,30,2,0,97
Attorney General,0702,54,70,134,539,24.86%,19,111,0,1,131
Attorney General,0703,372,490,862,1882,45.80%,611,212,21,7,851
Attorney General,0704,569,599,1168,3064,38.12%,942,195,17,3,1157
Attorney General,0705,114,113,227,1523,14.90%,34,183,2,3,222
Attorney General,0706,115,71,186,610,30.49%,95,85,2,2,184
Attorney General,0707,153,86,239,707,33.80%,149,76,6,2,233
Attorney General,0708,54,52,106,563,18.83%,52,47,2,2,103
Attorney General,0709,1375,947,2322,6848,33.91%,1392,855,46,11,2304
Attorney General,0710,371,462,833,2082,40.01%,440,346,23,4,813
Attorney General,0711,703,506,1209,3484,34.70%,725,436,28,10,1199
Attorney General,0712,491,463,954,3670,25.99%,407,511,16,10,944
Attorney General,0713,228,252,490,1907,25.69%,251,223,10,2,486
Attorney General,0714,35,19,55,296,18.58%,32,20,2,0,54
Attorney General,0715,175,187,363,1408,25.78%,212,139,4,2,357
Attorney General,0716,449,407,856,2680,31.94%,603,227,17,5,852
Attorney General,0717,373,250,623,2002,31.12%,82,524,3,6,515
Attorney General,0718,1017,806,1823,4229,43.11%,1261,483,43,2,1789
Attorney General,0719,247,137,384,1589,24.17%,230,140,5,3,378
Attorney General,0720,995,780,1775,4282,41.45%,1307,397,37,7,1748
Attorney General,0721,754,532,1286,2870,44.81%,833,413,19,4,1269
Attorney General,0722,873,494,1367,4479,30.52%,102,1215,11,11,1339
Attorney General,0723,401,202,603,1858,32.45%,131,449,6,4,590
Attorney General,0724,151,128,279,766,36.42%,213,60,2,1,276
Attorney General,0725,423,237,660,2237,29.50%,310,328,7,6,651
Attorney General,0726,592,402,994,2087,47.63%,858,109,17,2,986
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0727,338,290,628,2488,25.24%,201,381,20,8,610
Attorney General,0728,209,151,360,880,40.91%,218,124,9,2,353
Attorney General,0729,136,59,195,464,42.03%,119,73,2,1,195
Attorney General,0730,428,359,787,1747,45.05%,502,253,10,4,769
Attorney General,0731,58,27,85,352,24.15%,25,59,1,0,85
Attorney General,0732,441,324,765,1924,39.76%,467,252,27,6,752
Attorney General,0733,13,7,20,215,9.30%,8,10,1,0,19
Attorney General,0734,1558,962,2520,7005,35.97%,1727,712,44,14,2497
Attorney General,0735,8,0,8,18,33.33%,6,0,0,0,6
Attorney General,0736,3,1,4,22,18.18%,0,3,0,1,4
Attorney General,0737,11,7,18,51,35.29%,13,4,0,1,18
Attorney General,0738,139,100,239,1361,17.56%,46,178,5,1,230
Attorney General,0739,353,301,654,2955,22.13%,340,276,16,6,638
Attorney General,0740,96,98,194,939,20.66%,128,55,2,4,189
Attorney General,0741,0,1,1,0,0.00%,0,1,0,0,1
Attorney General,0742,0,11,11,0,0.00%,6,5,0,0,11
Attorney General,0743,15,18,33,210,15.71%,17,10,2,1,30
Attorney General,0744,456,392,848,2027,41.84%,522,290,18,4,834
Attorney General,0745,683,372,1055,2494,42.30%,633,380,19,5,1037
Attorney General,0746,114,77,191,691,27.64%,88,93,3,5,189
Attorney General,0747,551,467,1018,3743,27.20%,473,481,36,14,1004
Attorney General,0748,172,140,312,1403,22.24%,160,136,12,2,310
Attorney General,0749,30,17,47,377,12.47%,8,38,0,0,46
Attorney General,0750,111,96,207,767,26.99%,123,74,6,3,206
Attorney General,0751,925,964,1889,5084,37.16%,1244,556,48,14,1862
Attorney General,0752,286,200,486,1483,32.77%,367,101,10,1,479
Attorney General,0753,55,73,128,259,49.42%,79,41,5,0,125
Attorney General,0754,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0755,442,584,1026,4294,23.89%,452,525,24,7,1008
Attorney General,0756,251,177,428,1600,26.75%,171,243,8,1,423
Attorney General,0757,520,508,1028,4035,25.48%,182,810,7,14,1013
Attorney General,0758,1114,692,1806,4096,44.09%,1405,332,38,10,1785
Attorney General,0759,465,413,878,2730,32.16%,550,291,19,6,866
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0760,1432,639,2071,4367,47.42%,1706,314,27,6,2053
Attorney General,0761,548,253,801,1550,51.68%,545,224,18,2,789
Attorney General,0762,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0763,108,146,254,1212,20.96%,100,133,10,2,245
Attorney General,0764,1133,774,1907,5217,36.55%,1187,667,27,8,1889
Attorney General,0765,848,426,1074,4055,26.49%,435,569,35,12,1051
Attorney General,0766,40,25,65,392,16.58%,14,47,1,0,62
Attorney General,0767,10,2,12,86,13.95%,6,6,0,0,12
Attorney General,0768,1359,1015,2374,5857,40.53%,1923,389,36,6,2354
Attorney General,0769,54,16,70,183,38.25%,4,63,0,0,67
Attorney General,0770,31,25,56,323,17.34%,27,26,1,0,54
Attorney General,0771,324,254,578,2426,23.83%,323,220,16,8,567
Attorney General,0772,1792,851,2643,5709,46.30%,1991,556,54,6,2607
Attorney General,0773,473,312,785,2918,26.90%,223,495,11,8,737
Attorney General,0774,30,41,71,378,18.78%,15,53,2,0,70
Attorney General,0775,18,3,21,92,22.83%,1,19,1,0,21
Attorney General,0776,551,496,1047,3053,34.29%,613,378,34,6,1031
Attorney General,0777,48,40,86,652,13.19%,33,50,2,0,85
Attorney General,0778,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0779,64,51,115,940,12.23%,41,68,1,1,111
Attorney General,0780,83,59,122,595,20.50%,71,48,1,2,122
Attorney General,0781,666,273,939,3603,26.06%,407,432,18,9,866
Attorney General,0782,368,370,738,2236,33.01%,456,252,18,3,729
Attorney General,0783,49,13,62,294,21.09%,46,14,0,1,61
Attorney General,0784,208,128,336,1079,31.14%,8,315,1,2,326
Attorney General,0785,28,25,53,296,17.91%,28,23,1,1,53
Attorney General,0786,100,98,198,1251,15.83%,71,116,5,1,193
Attorney General,0787,48,52,98,488,20.08%,34,58,3,0,95
Attorney General,0788,74,32,106,454,23.35%,47,54,3,2,106
Attorney General,0789,0,3,3,3,100.00%,0,3,0,0,3
Attorney General,0790,0,0,0,3,0.00%,0,0,0,0,0
Attorney General,0791,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0792,269,239,508,1865,27.24%,129,355,5,5,494
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0793,448,247,695,2484,27.98%,409,249,23,4,685
Attorney General,0794,124,144,268,2710,9.89%,31,222,5,2,260
Attorney General,0795,90,125,215,1217,17.67%,78,123,5,1,207
Attorney General,0796,83,51,134,476,28.15%,76,54,0,1,131
Attorney General,0797,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0798,99,111,210,500,42.00%,79,118,2,5,204
Attorney General,0799,28,15,43,161,26.71%,9,33,1,0,43
Attorney General,0800,588,642,1230,2932,41.95%,834,358,15,4,1211
Attorney General,0801,32,14,46,258,17.83%,15,29,0,1,45
Attorney General,0802,51,27,78,312,25.00%,15,55,4,3,77
Attorney General,0803,725,511,1236,2893,42.72%,898,293,23,7,1221
Attorney General,0804,933,591,1524,4768,31.96%,949,508,38,12,1507
Attorney General,0805,765,533,1298,2866,45.29%,1038,219,23,6,1286
Attorney General,0806,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0807,211,204,415,2028,20.46%,101,289,14,5,409
Attorney General,0808,12,17,29,131,22.14%,7,21,0,1,29
Attorney General,0809,7,6,13,92,14.13%,6,6,0,0,12
Attorney General,0810,9,16,25,211,11.85%,8,16,0,0,24
Attorney General,0811,29,50,79,270,29.26%,25,48,3,0,76
Attorney General,0812,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0813,938,761,1699,5807,29.26%,826,801,40,13,1680
Attorney General,0814,673,533,1206,5102,23.64%,295,846,25,13,1179
Attorney General,0815,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0816,10,0,10,73,13.70%,3,7,0,0,10
Attorney General,0817,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0818,86,39,125,616,20.29%,31,89,0,3,123
Attorney General,0819,64,30,94,240,39.17%,50,35,3,1,89
Attorney General,0820,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0821,124,120,244,1242,19.65%,32,200,1,4,237
Attorney General,0822,332,167,499,1535,32.51%,19,469,2,2,492
Attorney General,0823,821,564,1385,5087,27.23%,788,552,24,9,1373
Attorney General,0824,428,282,710,2700,26.30%,157,525,11,4,697
Attorney General,0825,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0826,73,50,123,358,34.36%,60,61,1,0,122
Attorney General,0827,60,98,158,979,16.14%,65,81,6,4,156
Attorney General,0828,541,388,929,1916,48.49%,745,157,19,3,924
Attorney General,0829,54,22,76,264,28.79%,17,55,3,1,76
Attorney General,0830,0,0,0,2,0.00%,0,0,0,0,0
Attorney General,0831,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0832,34,28,62,352,17.61%,17,42,1,1,61
Attorney General,0833,0,1,1,20,5.00%,0,1,0,0,1
Attorney General,0834,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0835,38,19,57,290,19.66%,14,40,0,0,54
Attorney General,0836,3,0,3,19,15.79%,2,1,0,0,3
Attorney General,0837,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0838,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0839,136,118,254,1128,22.52%,45,186,19,1,251
Attorney General,0840,381,174,555,1705,32.55%,200,339,7,2,548
Attorney General,0841,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0842,421,434,855,3259,26.24%,398,419,12,9,838
Attorney General,0843,0,1,1,0,0.00%,0,1,0,0,1
Attorney General,0844,1,0,1,11,9.09%,0,1,0,0,1
Attorney General,0845,54,9,63,134,47.01%,40,21,0,0,61
Attorney General,0846,23,24,47,229,20.52%,3,43,1,0,47
Attorney General,0847,306,211,517,2015,25.66%,139,354,10,5,508
Attorney General,0848,489,266,755,1856,40.68%,224,504,6,4,738
Attorney General,0849,201,291,492,2124,23.16%,185,271,19,5,480
Attorney General,0850,45,41,87,210,41.43%,33,49,0,2,84
Attorney General,0851,1029,657,1686,4709,35.80%,1129,487,29,13,1658
Attorney General,0852,0,0,0,1,0.00%,0,0,0,0,0
Attorney General,0853,575,620,1296,2882,44.97%,984,273,15,6,1278
Attorney General,0854,15,26,41,172,23.84%,7,32,1,0,40
Attorney General,0855,5,9,14,16,87.50%,3,10,0,1,14
Attorney General,0856,0,1,1,0,0.00%,0,1,0,0,1
Attorney General,0857,0,0,0,1,0.00%,0,0,0,0,0
Attorney General,0858,63,34,97,343,28.28%,5,91,0,0,96
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0859,157,106,263,890,29.55%,67,185,6,1,259
Attorney General,0860,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0861,315,199,514,1842,27.90%,86,417,6,1,510
Attorney General,0862,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0863,101,54,155,584,26.54%,8,146,0,0,154
Attorney General,0864,193,299,492,2569,19.15%,140,327,8,4,479
Attorney General,0865,2,3,5,21,23.81,%,0,5,0,0,5
Attorney General,0866,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0867,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0868,236,271,507,2326,21.80%,165,317,9,2,493
Attorney General,0869,53,39,92,470,19.57%,19,69,2,0,90
Attorney General,0870,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0871,1,0,1,3,33.33%,0,1,0,0,1
Attorney General,0872,5,3,8,59,13.56%,4,4,0,0,8
Attorney General,0873,98,75,173,737,23.4,7%,41,125,4,0,170
Attorney General,0874,764,707,1471,3223,45.64%,1092,321,34,8,1455
Attorney General,0875,905,527,1432,5147,27.82%,701,680,27,7,1415
Attorney General,0876,698,641,1339,3265,41.01%,1013,295,15,8,1331
Attorney General,0877,476,382,858,3032,28.30%,346,475,20,5,846
Attorney General,0878,428,354,782,1666,46.94%,637,114,16,7,774
Attorney General,0879,407,294,701,2667,26.28%,350,310,19,5,684
Attorney General,0880,543,447,990,2352,42.09%,793,165,14,7,979
Attorney General,0881,596,540,1136,4479,25.36%,391,701,21,8,1121
Attorney General,0882,426,291,717,2422,29.60%,426,258,18,5,707
Attorney General,0883,643,702,1345,5408,24.87%,240,1053,19,16,1328
Attorney General,0884,57,25,82,377,21.75%,9,70,0,1,80
Attorney General,0885,552,368,930,2619,35.51%,544,355,19,7,925
Attorney General,0886,128,108,236,675,34.96%,123,104,7,1,235
Attorney General,0887,51,67,118,418,28.23%,59,54,5,0,118
Attorney General,0888,0,3,3,0,0.00%,2,1,0,0,3
Attorney General,0889,14,0,14,57,24.56%,5,9,0,0,14
Attorney General,0890,164,103,267,1095,24.38%,75,174,12,1,262
Attorney General,0891,319,243,562,1331,42.22%,195,339,11,2,547
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0892,115,86,201,808,24.88%,65,121,12,2,200
Attorney General,0893,0,2,2,6,33.33%,0,2,0,0,2
Attorney General,0894,0,3,3,0,0.00%,2,1,0,0,3
Attorney General,0895,156,286,442,793,55.74%,143,273,7,4,427
Attorney General,0896,370,297,667,1459,45.72%,217,409,19,8,653
Attorney General,0897,253,297,550,1701,32.33%,312,219,11,3,545
Attorney General,0898,0,0,0,3,0.00%,0,0,0,0,0
Attorney General,0899,2,0,2,8,25.00%,0,2,0,0,2
Attorney General,0900,0,2,2,10,20.00%,1,1,0,0,2
Attorney General,0901,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0902,396,486,882,2139,41.23%,455,369,32,8,864
Attorney General,0903,3,7,10,50,20.00%,3,4,2,0,9
Attorney General,0904,1,0,1,7,14.29%,0,1,0,0,1
Attorney General,0905,123,100,223,904,24.67%,98,114,4,1,217
Attorney General,0906,8,6,14,25,56.00%,6,8,0,0,14
Attorney General,0907,12,19,31,181,17.13%,7,24,0,0,31
Attorney General,0908,0,1,1,0,0.00%,0,1,0,0,1
Attorney General,0909,2,1,3,18,16.67%,0,3,0,0,3
Attorney General,0910,25,24,49,217,22.58%,17,24,3,1,45
Attorney General,0911,118,60,178,551,32.30%,119,54,3,1,177
Attorney General,0912,316,201,517,1273,40.61%,338,155,14,1,508
Attorney General,0913,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0914,169,179,348,701,49.64%,274,59,11,1,345
Attorney General,0915,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0916,417,240,657,1491,44.06%,521,113,8,3,645
Attorney General,0917,177,62,239,483,49.48%,157,69,10,1,237
Attorney General,0918,304,168,472,883,53.45%,350,114,4,2,470
Attorney General,0919,0,0,0,3,0.00%,0,0,0,0,0
Attorney General,0920,22,12,34,71,47.89%,24,9,1,0,34
Attorney General,0921,32,15,47,119,39.50%,33,11,3,0,47
Attorney General,0922,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0923,470,137,607,1511,40.17%,455,142,6,0,603
Attorney General,0924,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0925,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0926,171,128,299,796,37.56%,222,72,4,1,299
Attorney General,0927,44,30,74,270,27.41%,31,41,2,0,74
Attorney General,0928,3,0,3,8,37.50%,0,3,0,0,3
Attorney General,0929,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0930,109,54,163,584,27.91%,6,154,1,2,163
Attorney General,0931,30,40,70,130,53.85%,33,33,2,0,68
Attorney General,0932,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0933,115,85,200,627,31.90%,51,135,6,6,198
Attorney General,0934,2,0,2,63,3.17%,1,1,0,0,2
Attorney General,0935,3,2,5,54,9.26%,2,2,0,1,5
Attorney General,0936,8,2,10,81,12.35%,3,6,0,0,9
Attorney General,0937,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0938,30,14,44,231,19.05%,12,29,1,0,42
Attorney General,0939,0,0,0,2,0.00%,0,0,0,0,0
Attorney General,0940,0,0,0,10,0.00%,0,0,0,0,0
Attorney General,0941,9,10,19,25,76.00%,16,3,0,0,19
Attorney General,0942,53,27,80,156,51.28%,58,16,3,2,79
Attorney General,0943,166,80,246,547,44.97%,154,85,2,0,241
Attorney General,0944,20,4,24,45,53.33%,21,2,0,0,23
Attorney General,0945,1,2,3,17,17.65%,1,2,0,0,3
Attorney General,0946,0,1,1,13,7.69%,0,1,0,0,1
Attorney General,0947,177,246,423,799,52.94%,206,196,11,6,419
Attorney General,0948,0,14,14,1,1400.00%,10,2,0,0,12
Attorney General,0949,34,27,61,193,31.61%,31,28,1,1,61
Attorney General,0950,0,0,0,1,0.00%,0,0,0,0,0
Attorney General,0951,33,30,63,277,22.74%,15,48,0,0,63
Attorney General,0952,18,15,33,71,46.48%,16,14,2,0,32
Attorney General,0953,18,9,27,275,9.82%,5,21,1,0,27
Attorney General,0954,0,0,0,1,0.00%,0,0,0,0,0
Attorney General,0955,3,2,5,19,26.32%,4,1,0,0,5
Attorney General,0956,2,4,6,11,54.55%,2,4,0,0,6
Attorney General,0957,97,95,192,562,34.16%,23,166,2,0,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0958,81,129,210,1081,19.43%,50,152,4,0,206
Attorney General,0959,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0960,196,157,353,976,36.17%,70,267,9,3,349
Attorney General,0961,16,0,16,56,28.57%,0,15,1,0,16
Attorney General,0962,10,17,27,88,30.68%,3,22,2,0,27
Attorney General,0963,64,41,105,426,24.65%,57,43,1,3,104
Attorney General,0964,568,437,1005,2372,42.37%,617,360,13,5,995
Attorney General,0965,31,21,52,343,15.16%,27,21,1,3,52
Attorney General,0966,129,83,212,1148,18.47%,75,128,5,1,209
Attorney General,0967,15,48,63,165,38.18%,17,44,1,0,62
Attorney General,0968,119,30,149,692,21.53%,29,115,2,1,147
Attorney General,0969,156,73,229,604,37.91%,1,219,4,1,225
Attorney General,0970,83,36,119,731,16.28%,18,98,0,1,117
Attorney General,0971,11,8,19,147,12.93%,1,15,1,0,17
Attorney General,0972,6,8,14,31,45.16%,12,1,1,0,14
Attorney General,0973,24,19,43,111,38.74%,19,22,0,0,41
Attorney General,0974,57,36,93,299,31.10%,56,36,1,0,93
Attorney General,0975,55,30,85,193,44.04%,41,41,2,1,85
Attorney General,0976,68,62,130,683,19.03%,83,44,3,0,130
Attorney General,0977,50,43,93,572,16.26%,38,50,1,3,92
Attorney General,0978,77,79,156,546,28.57%,31,120,1,2,154
Attorney General,0979,2,6,8,27,29.63%,6,2,0,0,8
Attorney General,0980,280,321,601,1389,43.27%,449,137,6,1,593
Attorney General,0981,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0982,312,312,624,1567,39.82%,506,100,9,4,619
Attorney General,0983,12,21,33,161,20.50%,20,12,1,0,33
Attorney General,0984,18,9,27,192,14.06%,4,22,0,0,26
Attorney General,0985,117,63,180,351,51.28%,87,83,6,1,177
Attorney General,0986,43,30,73,463,15.77%,11,59,2,0,72
Attorney General,0987,231,90,321,1155,27.79%,29,281,2,4,316
Attorney General,0988,24,12,36,123,29.27%,33,3,0,0,36
Attorney General,0989,6,6,12,43,27.91%,7,4,1,0,12
Attorney General,0990,16,1,17,140,12.14%,7,8,1,0,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0991,0,0,0,1,0.00%,0,0,0,0,0
Attorney General,0992,157,107,264,1048,25.19%,142,103,10,3,258
Attorney General,0993,159,101,270,568,47.54%,221,39,5,3,268
Attorney General,0994,e,5,11,25,44.00%,2,9,0,0,11
Attorney General,0995,296,156,452,1393,32.45%,30,411,6,0,447
Attorney General,0996,136,140,276,694,39.77%,148,111,6,4,269
Attorney General,0997,101,163,264,1656,15.94%,56,198,7,3,264
Attorney General,0998,5,1,6,57,10.53%,3,3,0,0,6
Attorney General,0999,17,10,27,68,39.71%,22,4,0,0,26
Attorney General,1000,42,6,48,405,11.85%,12,33,0,0,45
Attorney General,1001,228,136,364,1565,23.26%,91,248,5,5,349
Attorney General,1002,170,139,309,1744,17.72%,49,237,9,5,300
Attorney General,1003,1,0,1,0,0.00%,0,1,0,0,1
Attorney General,1004,111,139,250,654,38.23%,113,119,16,0,248
Attorney General,1005,0,8,8,0,0.00%,3,4,1,0,8
Attorney General,1006,1,0,1,5,20.00%,1,0,0,0,1
Attorney General,1007,208,188,396,1547,25.60%,93,288,8,3,392
Attorney General,1008,32,12,44,151,29.14%,33,10,0,0,43
Attorney General,1009,0,0,0,9,0.00%,0,0,0,0,0
Attorney General,1010,59,35,94,459,20.48%,18,75,0,0,93
Attorney General,1011,8,1,9,26,34.62%,4,5,0,0,9
Attorney General,1012,134,201,335,1365,24.54%,108,218,0,3,329
Attorney General,1013,0,6,6,58,10.34%,2,4,0,0,6
Attorney General,1014,4,6,10,31,32.26%,1,9,0,0,10
Attorney General,1015,5,4,9,25,36.00%,3,5,1,0,9
Attorney General,1016,252,212,464,1691,27.44%,227,214,11,2,454
Attorney General,1017,61,44,105,330,31.82%,30,70,2,1,103
Attorney General,1018,93,64,157,494,31.78%,70,83,2,0,155
Attorney General,1019,130,107,237,1456,16.28%,9,218,3,4,234
Attorney General,1020,0,0,0,1,0.00%,0,0,0,0,0
Attorney General,1021,0,0,0,2,0.00%,0,0,0,0,0
Attorney General,1022,97,79,176,441,39.91%,137,32,4,0,173
Attorney General,1023,430,315,745,2026,36.77%,527,195,11,5,738
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,1024,55,61,116,249,46.59%,60,50,3,1,114
Attorney General,1025,0,1,1,14,7.14%,1,0,0,0,1
Attorney General,1026,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1027,1,0,1,8,12.50%,0,1,0,0,1
Attorney General,1028,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1029,538,719,1257,2927,42.94%,983,233,19,6,1241
Attorney General,1030,231,151,382,785,48.66%,331,40,5,2,378
Attorney General,1031,59,71,130,792,16.41%,35,83,3,2,123
Attorney General,1032,31,25,56,244,22.95%,35,17,0,1,53
Attorney General,1033,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1034,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1035,2,4,6,138,4.35%,2,4,0,0,6
Attorney General,1036,55,24,89,449,19.82%,72,15,1,0,88
Attorney General,1037,19,11,30,76,39.47%,18,10,1,0,29
Attorney General,1038,52,6,68,327,20.80%,9,57,0,0,66
Attorney General,1039,2,0,2,25,8.00%,0,2,0,0,2
Attorney General,1040,91,66,157,771,20.36%,68,81,5,1,155
Attorney General,1041,0,2,2,0,0.00%,0,2,0,0,2
Attorney General,1042,105,67,172,521,33.01%,51,114,4,2,171
Attorney General,1043,6,e,12,33,36.36%,4,8,0,0,12
Attorney General,1044,15,6,22,55,40.00%,8,14,0,0,22
Attorney General,1045,197,173,370,1788,20.69%,53,305,2,2,362
Attorney General,1046,11,5,16,62,25.81%,1,15,0,0,16
Attorney General,1047,255,186,441,1568,28.13%,157,261,12,7,437
Attorney General,1048,1,0,1,17,5.88%,1,0,0,0,1
Attorney General,1049,14,45,59,290,20.34%,19,35,1,1,56
Attorney General,1050,60,63,123,537,22.91%,37,82,0,0,119
Attorney General,1051,0,31,31,0,0.00%,18,12,0,0,30
Attorney General,1052,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1053,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1054,0,0,0,1,0.00%,0,0,0,0,0
Attorney General,1055,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1056,4,2,6,8,75.00%,1,5,0,0,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,1057,7,9,16,118,13.56%,2,13,1,0,16
Attorney General,1058,241,285,526,1243,42.32%,104,403,5,4,516
Attorney General,1059,3,3,6,28,21.43%,1,5,0,0,6
Attorney General,1060,5,2,7,42,16.67%,5,2,0,0,7
Attorney General,1061,332,184,516,1716,30.07%,269,222,14,6,511
Attorney General,1062,17,6,23,201,11.44%,4,17,1,0,22
Attorney General,1063,66,59,125,857,14.59%,20,99,1,2,122
Attorney General,1064,25,11,36,119,30.25%,26,8,2,0,36
Attorney General,1065,1,0,1,28,3.57%,0,1,0,0,1
Attorney General,1066,72,0,72,229,31.44%,3,67,1,0,71
Attorney General,1067,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,1068,22,8,30,121,24.79%,12,16,0,0,28
Attorney General,1069,434,256,690,2580,26.74%,308,343,11,5,667
Attorney General,Totals:,379077,308736,687813,2044361,349023,309926,12689,4768,676406
