Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0343,189,271,460,1964,23.42%,134,304,6,1,0,445
Governor,0344,154,172,326,1160,28.10%,13,303,2,1,0,319
Governor,0345,156,165,321,1804,17.79%,95,209,7,4,0,315
Governor,0346,0,1,1,3,33.33%,1,0,0,0,0,1
Governor,0347,592,436,1028,3387,30.35%,677,316,14,4,0,1011
Governor,0348,438,208,646,1708,37.82%,497,140,4,3,0,644
Governor,0349,188,267,455,1349,33.73%,273,167,11,1,0,452
Governor,0350,525,526,1051,2909,36.13%,393,629,15,6,0,1043
Governor,0352,520,339,859,3205,26.80%,631,202,18,0,0,851
Governor,0353,665,451,1116,3862,28.90%,210,885,5,1,0,1101
Governor,0354,715,338,1053,3388,31.08%,267,766,4,4,0,1041
Governor,0355,301,264,565,1560,36.22%,51,508,0,0,0,559
Governor,0356,594,538,1132,2972,38.09%,713,392,14,3,0,1122
Governor,0357,837,575,1412,3517,40.15%,1009,362,23,4,0,1398
Governor,0358,213,254,467,2492,18.74%,50,402,6,1,0,459
Governor,0359,235,224,459,3061,15.00%,60,386,5,2,0,453
Governor,0360,524,380,904,2146,42.12%,443,444,7,2,0,896
Governor,0362,1138,887,2025,5086,39.82%,1460,498,37,5,0,2000
Governor,0363,620,412,1032,3677,28.07%,465,546,1,6,0,1018
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0364,489,405,894,2658,33.63%,514,363,8,2,0,887
Governor,0365,478,231,709,1305,54.33%,53,645,4,0,0,702
Governor,0366,252,270,522,2454,21.27%,135,377,2,2,0,516
Governor,0367,170,138,308,1130,27.26%,60,237,5,2,0,304
Governor,0368,178,88,266,958,27.77%,82,177,0,1,0,260
Governor,0369,32,29,61,559,10.91%,16,43,0,1,0,60
Governor,0370,1532,1105,2637,6593,40.00%,1987,617,18,4,0,2526
Governor,0371,122,52,174,502,34.66%,7,164,0,1,0,172
Governor,0372,221,170,391,1224,31.94%,56,331,0,0,0,387
Governor,0373,21,12,33,157,21.02%,1,29,2,0,0,32
Governor,0374,55,93,158,738,21.41,%,59,98,0,0,0,157
Governor,0375,254,220,474,2645,17.92%,256,199,4,3,0,462
Governor,0376,278,205,483,1910,25.29%,224,249,5,3,0,481
Governor,0377,526,583,1109,2920,37.98%,800,277,12,6,0,1095
Governor,0378,232,354,586,1829,32.04%,358,209,13,2,0,582
Governor,0379,432,289,721,2027,35.57%,81,631,1,0,0,713
Governor,0380,1303,995,2298,5666,40.56%,1216,1016,37,7,0,2276
Governor,0381,412,248,660,2855,23.12%,298,332,10,3,0,643
Governor,0382,132,157,289,922,31.34%,209,71,7,0,0,287
Governor,0383,289,263,552,2173,25.40%,219,314,4,2,0,539
Governor,0384,573,373,946,2657,35.60%,188,733,8,4,0,933
Governor,0385,583,670,1253,2207,56.77%,922,310,8,2,0,1242
Governor,0386,662,469,1131,2922,38.71%,835,279,5,2,0,1121
Governor,0387,555,672,1227,3935,31.18%,890,301,16,6,0,1213
Governor,0388,1432,1010,2442,6888,35.45%,1376,1010,33,4,0,2423
Governor,0389,91,208,299,1026,29.14%,37,251,10,0,0,298
Governor,0390,355,263,519,1480,41.82%,70,536,7,2,0,615
Governor,0391,508,260,768,1883,40.79%,470,276,8,6,0,760
Governor,0392,387,155,542,1446,37.48%,8,526,2,1,0,537
Governor,0393,165,185,350,1292,27.09%,155,185,7,2,0,349
Governor,0394,59,73,142,834,17.03%,72,63,3,0,0,138
Governor,0395,470,404,874,1846,47.35%,601,246,14,6,0,857
Governor,0396,623,216,839,2082,40.30%,22,810,0,0,0,832
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0397,86,78,164,760,21.58%,78,81,1,0,0,150
Governor,0398,615,521,1136,4022,28.24%,601,506,16,4,0,1127
Governor,0399,404,366,770,2791,27.59%,410,339,8,4,0,751
Governor,0400,520,359,979,2411,40.61%,705,248,8,5,1,957
Governor,0401,330,205,535,1913,27.97%,20,503,5,2,0,530
Governor,0402,466,266,732,1794,40.80%,48,670,3,2,0,723
Governor,0403,475,498,973,1715,56.73%,498,458,9,0,0,965
Governor,0404,419,330,749,2585,28.97%,425,295,11,6,0,737
Governor,0405,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0406,137,67,204,628,32.48%,4,197,0,0,0,201
Governor,0407,692,793,1485,3769,39.40%,987,460,18,2,0,1467
Governor,0408,146,153,299,1691,17.68%,145,143,3,5,0,296
Governor,0409,122,149,271,1459,18.57%,105,152,5,2,0,264
Governor,0410,132,80,212,899,23.58%,49,156,2,1,0,208
Governor,0411,235,200,435,2339,18.60%,163,255,6,1,0,425
Governor,0412,74,44,118,468,25.21%,10,105,1,0,0,116
Governor,0413,767,386,1153,2992,38.54%,459,676,8,0,0,1143
Governor,0414,654,480,1134,3453,32.84%,875,232,8,6,0,1121
Governor,0415,539,598,1137,2203,51.61%,748,365,13,3,0,1129
Governor,0416,538,558,1096,3791,28.91%,595,479,11,3,0,1088
Governor,0417,353,385,738,2448,30.15%,376,338,13,1,0,728
Governor,0418,404,469,873,3584,24.36%,365,478,13,6,0,862
Governor,0419,571,324,895,2658,33.67%,596,277,10,3,0,886
Governor,0420,1036,874,1910,4762,40.11%,1575,303,19,3,1,1901
Governor,0421,36,37,73,410,17.80%,25,45,1,1,0,72
Governor,0422,731,402,1133,3345,33.87%,30,1088,3,2,0,1123
Governor,0423,108,120,228,1376,16.57%,77,144,0,1,0,222
Governor,0424,240,111,351,967,36.30%,200,138,11,0,0,349
Governor,0425,107,123,230,883,26.05%,87,132,6,1,0,226
Governor,0426,260,183,443,1218,36.37%,256,169,3,4,0,432
Governor,0427,179,134,313,1092,28.66%,139,162,1,0,1,303
Governor,0428,619,421,1040,4538,22.92%,333,636,7,2,0,978
Governor,0429,445,314,759,3197,23.74%,206,521,3,1,0,731
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0430,161,133,294,1657,17.74%,85,192,4,5,0,286
Governor,0431,327,84,411,3417,12.03%,144,247,6,4,0,401
Governor,0432,123,157,280,1455,19.24%,97,166,15,2,0,280
Governor,0433,50,63,113,581,19.45%,22,85,2,0,0,109
Governor,0434,371,289,660,1503,43.91%,391,253,7,2,0,653
Governor,0435,856,636,1492,3252,45.88%,932,523,16,3,0,1474
Governor,0436,629,531,1160,2933,39.55%,702,439,6,3,0,1150
Governor,0437,521,512,1033,2033,50.81%,709,305,10,3,0,1027
Governor,0438,519,389,1008,1861,54.16%,736,257,7,0,0,1000
Governor,0439,710,884,1594,3554,44.85%,1110,443,21,2,0,1575
Governor,0440,664,858,1522,2930,51.95%,1201,299,16,0,0,1516
Governor,0441,345,420,765,1669,45.84%,565,187,7,0,0,759
Governor,0442,612,574,1186,2575,46.06%,978,196,7,5,0,1155
Governor,0443,227,138,365,646,56.50%,254,101,7,1,0,353
Governor,0444,587,583,1270,3262,38.93%,777,451,30,1,0,1259
Governor,0445,499,348,847,2026,41.81%,553,277,9,3,0,842
Governor,0446,31,22,53,291,18.21%,25,25,2,0,1,53
Governor,0447,93,86,179,637,28.10%,51,122,6,0,0,179
Governor,0448,590,778,1368,3138,43.59%,732,594,19,8,0,1353
Governor,0449,12,23,35,198,17.68%,3,32,0,0,0,35
Governor,0450,435,328,764,2635,28.99%,229,517,8,4,0,758
Governor,0451,1002,510,1512,2687,56.27%,1211,268,13,3,0,1495
Governor,0452,554,444,998,3048,32.74%,729,239,15,3,0,986
Governor,0453,231,262,493,1937,25.45%,197,276,2,1,0,475
Governor,0454,594,248,842,2561,32.88%,15,813,4,3,0,835
Governor,0455,367,165,532,1689,31.50%,19,503,2,2,0,525
Governor,0456,482,362,844,3513,24.03%,500,331,2,4,0,837
Governor,0457,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0458,471,237,708,1924,36.80%,40,648,6,8,0,702
Governor,0459,951,474,1425,3021,47.17%,1104,299,14,3,0,1420
Governor,0460,554,331,885,2837,31.19%,246,625,5,5,0,881
Governor,0461,1155,735,1900,3871,49.08%,1280,575,19,8,0,1552
Governor,0462,675,619,1294,3384,38.24%,475,797,5,4,0,1281
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0463,481,404,885,3326,26.61%,400,453,17,2,0,872
Governor,0464,356,430,786,2257,34.82%,537,223,20,3,0,783
Governor,0465,688,520,1208,3564,33.89%,674,514,11,1,0,1200
Governor,0466,1058,614,1672,4184,39.96%,954,693,8,5,0,1550
Governor,0467,213,189,402,1270,31.65%,99,291,2,3,0,395
Governor,0468,352,443,795,3598,22.10%,254,524,5,2,0,785
Governor,0469,1299,547,1846,3985,46.32%,1439,376,9,6,0,1830
Governor,0470,185,176,361,1326,27.22%,271,81,3,2,0,357
Governor,0471,375,380,755,2387,31.63%,601,128,15,6,0,750
Governor,0472,198,278,476,1081,44.03%,179,283,8,0,0,470
Governor,0473,603,391,994,1806,55.04%,680,296,9,3,0,988
Governor,0474,559,588,1147,3037,37.77%,774,333,29,3,0,1139
Governor,0475,189,267,456,1809,25.21%,222,216,6,2,0,446
Governor,0476,404,473,877,2430,36.09%,479,371,17,1,0,858
Governor,0477,737,567,1304,3505,37.20%,973,292,24,5,0,1294
Governor,0478,958,657,1615,4461,36.20%,1072,498,24,7,0,1501
Governor,0479,640,612,1252,2714,46.13%,897,310,25,5,0,1237
Governor,0480,493,450,943,2415,39.05%,674,239,16,5,0,934
Governor,0481,770,623,1393,3482,40.01%,1059,301,14,6,0,1380
Governor,0482,878,630,1508,4373,34.48%,1051,407,35,5,1,1499
Governor,0483,1043,478,1521,4308,35.31%,853,626,22,5,0,1506
Governor,0484,1107,930,2037,4979,40.91%,1434,533,40,10,0,2017
Governor,0485,1095,911,2006,5388,37.23%,1541,416,32,8,0,1997
Governor,0486,873,855,1728,3866,44.70%,1331,350,33,2,0,1715
Governor,0487,570,294,864,3860,22.38%,319,488,5,5,0,817
Governor,0488,268,254,522,1719,30.37%,194,300,8,3,0,505
Governor,0489,350,290,640,1893,33.81%,204,412,7,4,0,327
Governor,0490,444,368,812,1975,41.11%,277,515,6,3,0,801
Governor,0491,315,372,687,1888,36.39%,401,265,10,3,0,679
Governor,0492,556,410,966,2335,41.37%,580,373,5,2,0,960
Governor,0493,480,322,802,1853,43.28%,521,264,10,1,0,796
Governor,0494,381,247,628,2467,25.46%,78,536,5,2,0,621
Governor,0495,522,523,1045,2375,44.00%,758,258,12,4,0,1032
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0496,190,315,505,2160,23.38%,204,283,5,3,0,495
Governor,0497,526,243,769,2257,34.07%,29,729,2,0,0,750
Governor,0498,363,323,686,2297,29.87%,305,369,7,1,0,582
Governor,0499,751,518,1269,2326,54.56%,914,324,15,3,0,1255
Governor,0500,729,715,1444,3507,41.17%,993,421,15,3,0,1432
Governor,0501,341,417,758,1801,42.09%,249,481,15,5,0,750
Governor,0502,477,350,827,2501,33.07%,674,132,6,4,0,816
Governor,0503,174,116,290,1374,21.11%,113,162,4,1,0,280
Governor,0504,624,527,1151,2288,50.31%,713,414,17,3,0,1147
Governor,0505,531,562,1193,3773,31.62%,541,615,20,9,0,1185
Governor,0506,665,670,1335,3502,38.12%,234,1067,9,7,0,1317
Governor,0507,221,149,370,2452,15.09%,82,232,7,0,0,321
Governor,0508,492,412,904,3287,27.50%,343,500,17,3,0,863
Governor,0509,754,596,1350,3732,36.1,7%,924,384,23,3,0,1334
Governor,0510,689,514,1203,3590,33.51%,584,587,20,4,0,1195
Governor,0511,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0512,602,660,1262,5057,24.96%,577,644,20,4,0,1245
Governor,0513,1019,487,1506,2894,52.04%,1137,343,15,1,0,1496
Governor,0514,954,720,1674,4275,39.16%,1249,378,28,9,0,1664
Governor,0515,943,683,1626,3455,47.06%,1293,299,12,3,0,1507
Governor,0516,1001,800,1801,5356,33.63%,960,788,21,9,0,1778
Governor,0517,482,256,738,2954,24.98%,414,308,9,3,0,734
Governor,0518,635,693,1328,3943,33.68%,856,440,14,8,0,1318
Governor,0519,623,493,1116,2966,37.63%,815,268,14,8,0,1105
Governor,0520,474,457,931,4580,20.33%,167,743,10,0,0,920
Governor,0522,715,572,1288,2689,47.90%,964,289,23,3,0,1279
Governor,0523,751,415,1166,3052,38.20%,775,351,26,5,0,1157
Governor,0524,568,459,1027,3410,30.12%,349,649,6,1,0,1005
Governor,0525,707,482,1189,3091,38.47%,266,890,15,2,0,1173
Governor,0526,68,84,152,780,19.49%,49,94,3,1,0,147
Governor,0527,37,40,77,574,13.41%,40,32,1,1,0,74
Governor,0528,14,12,26,90,28.89%,1,25,0,0,0,2e
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0529,1043,491,1534,3710,41.35%,1299,200,17,8,0,1524
Governor,0530,114,107,221,1196,18.48%,59,147,2,0,0,208
Governor,0531,363,174,537,1145,46.90%,420,101,7,2,0,530
Governor,0532,205,146,351,1048,33.49%,251,91,3,3,0,348
Governor,0533,124,108,232,1119,20.73%,138,83,3,1,0,225
Governor,0534,783,524,1307,3837,34.06%,988,282,19,5,0,1294
Governor,0535,33,29,62,416,14.90%,30,29,2,0,0,e1
Governor,0536,554,780,1334,5139,25.96%,524,774,11,4,0,1313
Governor,0537,857,778,1635,3050,53.61%,1171,427,14,1,0,1513
Governor,0538,204,160,364,1303,27.94%,7,344,1,2,0,354
Governor,0539,15,241,256,64,400.00%,75,169,3,0,0,247
Governor,0540,378,316,694,1567,44.29%,243,436,8,1,0,688
Governor,0541,789,505,1294,4599,28.14%,192,1073,11,7,0,1283
Governor,0542,360,382,742,2557,29.02%,56,671,4,0,0,731
Governor,0543,141,213,354,1565,22.62%,116,221,5,5,0,347
Governor,0544,36,41,77,310,24.84%,12,64,0,0,0,76
Governor,0545,596,620,1216,3629,33.51%,621,570,9,3,0,1203
Governor,0546,2,2,4,37,10.81,%,3,1,0,0,0,4
Governor,0547,501,466,967,2406,40.19%,666,267,21,4,0,958
Governor,0548,286,293,579,2215,26.14%,295,264,5,3,0,557
Governor,0549,343,418,761,2663,28.58%,106,635,3,2,0,746
Governor,0550,501,431,932,3031,30.75%,513,395,14,2,0,924
Governor,0552,847,883,1730,3415,50.66%,1418,283,20,5,0,1726
Governor,0553,579,529,1108,4686,23.64%,502,569,12,3,0,1086
Governor,0554,261,199,460,1757,26.18%,100,335,4,1,0,440
Governor,0555,225,277,502,2219,22.62%,99,386,5,3,0,493
Governor,0557,455,183,638,2830,22.54%,270,307,4,4,0,585
Governor,0558,694,463,1157,4380,26.42%,399,711,16,9,0,1135
Governor,0559,641,494,1135,4969,22.84%,336,776,12,4,0,1128
Governor,0560,72,131,203,1120,18.13%,55,138,0,2,0,195
Governor,0561,362,436,798,3064,26.04%,481,292,14,5,0,792
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0562,113,68,181,694,26.08%,29,150,0,0,0,179
Governor,0563,1108,376,1484,3105,47.79%,1158,296,10,6,0,1470
Governor,0564,471,426,897,3155,28.43%,228,650,10,4,0,892
Governor,0565,108,78,186,1354,13.74%,44,129,4,1,0,178
Governor,0566,418,324,742,2882,25.75%,218,504,10,4,0,736
Governor,0567,301,193,494,2238,22.07%,163,297,4,2,0,466
Governor,0568,876,685,1561,3594,43.43%,1002,524,15,6,0,1547
Governor,0569,575,667,1242,3525,35.23%,648,559,14,6,0,1227
Governor,0570,239,210,449,1562,28.75%,160,280,4,1,0,445
Governor,0571,155,149,304,1827,16.64%,122,172,1,2,0,297
Governor,0572,556,375,931,3108,29.95%,462,446,15,0,0,923
Governor,0573,290,151,441,1619,27.24%,6,427,2,1,0,436
Governor,0574,31,42,73,402,18.16%,8,62,0,2,0,72
Governor,0575,13,11,24,74,32.43%,18,4,0,0,0,22
Governor,0576,486,318,804,2734,29.41%,24,762,4,1,0,791
Governor,0577,148,88,236,608,38.82%,138,97,0,0,0,235
Governor,0578,409,538,947,1799,52.64%,567,360,12,0,0,939
Governor,0579,76,101,177,1056,16.76%,34,133,4,0,0,171
Governor,0580,179,118,297,1031,28.81%,5,285,0,0,0,290
Governor,0581,212,174,386,1032,37.40%,8,369,3,1,0,381
Governor,0582,258,171,429,1588,27.02%,26,394,1,2,0,423
Governor,0583,225,131,356,1262,28.21%,11,335,1,2,0,349
Governor,0584,182,93,275,1014,27.12%,10,259,1,0,0,270
Governor,0585,417,172,589,2511,23.46%,17,565,2,0,0,584
Governor,0586,638,680,1318,4316,30.54%,792,484,19,6,0,1301
Governor,0587,439,284,723,2598,27.83%,288,419,7,0,0,714
Governor,0588,758,674,1432,3645,39.29%,1010,387,22,6,0,1425
Governor,0589,500,386,886,3420,25.91%,488,370,15,4,0,877
Governor,0590,773,399,1172,2162,54.21%,898,256,10,2,0,1166
Governor,0591,183,231,414,2121,19.52%,123,273,7,4,0,407
Governor,0592,133,157,290,1350,21.48%,76,199,2,4,0,281
Governor,0593,544,564,1108,4380,25.30%,545,527,15,6,0,1093
Governor,0594,551,325,887,2490,35.62%,249,617,9,3,0,878
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0595,201,178,379,1693,22.39%,68,294,3,2,0,357
Governor,0596,441,348,789,3007,26.24%,438,325,10,10,0,783
Governor,0597,367,394,761,3653,20.83%,331,419,6,1,0,757
Governor,0598,195,57,252,728,34.62%,198,42,4,2,0,245
Governor,0599,850,578,1428,4950,28.85%,512,877,12,8,0,1409
Governor,0600,667,429,1096,3957,27.70%,442,619,12,1,0,1074
Governor,0601,1074,756,1830,4057,45.11%,1365,419,26,4,0,1814
Governor,0602,293,235,528,1326,39.82%,380,137,5,3,0,525
Governor,0603,884,794,1678,4843,34.65%,1036,581,33,9,0,1559
Governor,0604,702,518,1220,3005,40.60%,1003,190,11,3,0,1207
Governor,0605,907,556,1463,5582,26.21%,366,1066,10,4,0,1446
Governor,0606,176,70,246,937,26.25%,7,234,0,1,0,242
Governor,0607,62,51,113,728,15.52%,13,96,0,0,0,109
Governor,0608,31,47,78,537,14.53%,40,34,0,0,0,74
Governor,0609,557,680,1347,3384,39.80%,834,480,17,1,0,1332
Governor,0610,231,188,419,1927,21.74%,213,187,5,1,0,406
Governor,0611,495,242,737,2488,29.62%,24,696,2,0,0,722
Governor,0612,996,497,1493,3307,45.15%,1104,349,21,4,0,1478
Governor,0613,186,204,390,1554,25.10%,69,312,3,1,0,385
Governor,0614,737,555,1303,4207,30.97%,484,789,10,4,0,1287
Governor,0615,480,299,779,1967,39.60%,487,273,8,1,0,759
Governor,0616,739,663,1402,3436,40.80%,972,401,17,0,0,1390
Governor,0617,541,393,934,3809,24.52%,381,535,9,3,0,928
Governor,0618,945,567,1513,6003,25.20%,746,723,22,7,1,1499
Governor,0619,1219,803,2022,4297,47.06%,1475,501,28,5,0,2009
Governor,0620,689,264,953,2897,32.90%,602,337,6,3,0,948
Governor,0621,154,101,255,1133,22.51%,134,112,3,4,0,253
Governor,0622,881,524,1405,4403,31.91,%,846,524,21,4,0,1395
Governor,0623,887,487,1374,3691,37.23%,936,405,16,3,0,1350
Governor,0624,1,1,2,3,66.67%,1,1,0,0,0,2
Governor,0625,477,362,839,1820,46.10%,469,344,15,2,0,830
Governor,0626,581,440,1021,2861,35.69%,554,429,18,4,0,1005
Governor,0627,345,322,668,3049,21.91%,237,407,10,1,0,555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0628,152,219,371,1675,22.15%,194,168,3,1,0,355
Governor,0629,37,53,90,696,12.93%,16,74,0,0,0,90
Governor,0630,975,600,1576,3905,40.36%,118,1429,10,6,0,1553
Governor,0631,822,404,1226,2846,43.08%,892,310,14,4,0,1220
Governor,0632,7,4,11,343,3.21%,3,7,0,0,0,10
Governor,0633,945,731,1575,3559,47.09%,1174,459,22,6,0,1551
Governor,0634,458,442,900,3029,29.71%,572,299,14,4,0,889
Governor,0635,743,485,1228,3393,36.19%,910,281,24,4,0,1219
Governor,0636,535,874,1710,4140,41.30%,1468,200,23,7,0,1698
Governor,0637,409,362,771,2512,30.69%,196,547,3,6,0,752
Governor,0638,304,245,549,2204,24.91%,43,487,5,3,0,538
Governor,0639,549,547,1096,2526,43.39%,855,203,21,3,1,1083
Governor,0640,641,459,1100,3733,29.47%,674,391,20,7,1,1093
Governor,0541,649,595,1245,3650,34.11%,821,399,10,4,0,1234
Governor,0642,472,394,855,1764,49.09%,694,154,13,0,0,861
Governor,0643,934,653,1587,5945,26.69%,617,933,14,5,0,1569
Governor,0644,1020,823,1843,5523,33.37%,1202,581,28,7,0,1818
Governor,0645,655,594,1249,4185,29.84%,646,563,25,4,0,1238
Governor,0646,354,287,651,2220,29.32%,207,409,5,5,0,525
Governor,0647,904,470,1374,6084,22.58%,388,881,8,6,0,1253
Governor,0648,535,579,1417,3367,42.08%,1001,386,19,1,0,1407
Governor,0649,687,434,1121,4576,24.50%,367,703,13,3,0,1086
Governor,0650,905,766,1672,3888,43.00%,1199,437,22,5,0,1553
Governor,0651,963,766,1729,5128,33.72%,1104,591,17,4,0,1716
Governor,0652,457,515,982,2815,34.88%,173,784,6,4,0,957
Governor,0653,0,4,4,0,0.00%,0,4,0,0,0,4
Governor,0654,950,1005,1955,6208,31.49%,1082,813,28,10,0,1933
Governor,0655,1115,1079,2195,6855,32.02%,1356,785,33,7,0,2181
Governor,0656,579,393,972,2674,36.35%,43,912,2,1,0,955
Governor,0657,247,172,419,1292,32.43%,169,241,4,2,0,416
Governor,0658,540,426,966,2807,34.41%,613,328,12,0,0,953
Governor,0659,1150,788,1938,4856,39.91%,1360,542,14,7,0,1923
Governor,0660,950,825,1775,5372,33.04%,165,1579,5,4,0,1753
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0661,675,765,1440,4567,31.53%,828,570,16,6,0,1420
Governor,0662,1148,890,2038,4874,41.81%,1626,367,22,6,0,2021
Governor,0663,719,797,1515,3346,45.31%,735,754,15,4,0,1505
Governor,0664,352,250,602,2869,20.98%,134,440,9,3,0,586
Governor,0665,484,348,832,2154,38.63%,698,103,19,8,0,828
Governor,0666,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0667,488,502,990,2149,46.07%,754,214,17,2,0,987
Governor,0668,399,509,908,2775,32.72%,571,304,21,6,0,902
Governor,0669,850,735,1555,3425,46.36%,1117,433,17,6,0,1573
Governor,0670,957,471,1428,2983,47.87%,1120,280,17,6,0,1423
Governor,0671,403,565,968,3037,31.87%,590,357,8,3,0,958
Governor,0672,960,862,1822,5706,31.93%,1239,543,20,4,0,1805
Governor,0673,729,516,1245,2995,41.57%,997,224,11,5,0,1237
Governor,0674,1071,618,1689,4091,41.29%,1243,403,19,8,0,1573
Governor,0675,0,1,1,0,0.00%,1,0,0,0,0,1
Governor,0676,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0677,127,127,254,1266,20.06%,97,143,7,1,0,248
Governor,0678,166,108,274,735,37.28%,166,99,6,2,0,273
Governor,0679,635,520,1155,3381,34.16%,878,248,11,1,1,1139
Governor,0680,21,14,35,162,21.60%,12,23,0,0,0,35
Governor,0681,1,0,1,5,20.00%,1,0,0,0,0,1
Governor,0682,711,654,1365,4216,32.38%,991,331,22,6,0,1350
Governor,0683,29,20,49,276,17.75%,14,35,0,0,0,49
Governor,0684,28,22,50,223,22.42%,26,22,1,0,0,49
Governor,0685,110,29,139,307,45.28%,64,72,2,1,0,139
Governor,0686,17,12,29,208,13.94%,10,17,2,0,0,29
Governor,0687,549,537,1086,2609,41.63%,736,322,16,2,0,1075
Governor,0688,999,617,1616,3504,46.12%,1281,311,14,4,0,1510
Governor,0689,211,387,598,2346,25.49%,297,273,11,2,0,583
Governor,0690,926,1104,2030,5102,39.79%,1638,355,19,5,0,2017
