Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0691,2,5,7,25,28.00%,3,4,0,0,0,7
Governor,0692,444,548,992,2847,34.84%,737,229,17,2,0,955
Governor,0693,167,91,258,666,38.74%,69,181,5,0,0,255
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0694,260,120,380,845,44.97%,253,121,5,0,0,379
Governor,0695,232,193,425,1724,24.65%,271,141,7,3,0,422
Governor,0696,261,207,468,1982,23.61%,290,155,12,5,0,462
Governor,0697,605,613,1218,4413,27.60%,294,887,7,9,0,1197
Governor,0698,448,489,937,3189,29.38%,105,811,3,1,1,921
Governor,0699,568,414,982,2343,41.91%,636,319,12,3,0,970
Governor,0700,255,251,506,1371,36.91%,427,67,3,3,0,500
Governor,0701,56,43,99,588,16.84%,62,33,2,0,0,97
Governor,0702,54,70,134,539,24.86%,22,112,0,0,0,134
Governor,0703,372,490,862,1882,45.80%,620,220,16,2,0,555
Governor,0704,569,599,1168,3064,38.12%,952,200,8,2,0,1152
Governor,0705,114,113,227,1523,14.90%,33,188,0,1,0,222
Governor,0706,115,71,186,610,30.49%,94,86,2,2,0,154
Governor,0707,153,86,239,707,33.80%,145,80,8,1,0,234
Governor,0708,54,52,106,563,18.83%,50,49,2,0,1,102
Governor,0709,1375,947,2322,6848,33.91%,1385,879,36,4,0,2304
Governor,0710,371,462,833,2082,40.01%,427,387,12,4,0,530
Governor,0711,703,506,1209,3484,34.70%,715,460,19,8,0,1202
Governor,0712,491,463,954,3670,25.99%,402,531,9,3,0,945
Governor,0713,228,262,490,1907,25.69%,244,231,11,1,0,457
Governor,0714,35,19,55,296,18.58%,35,20,0,0,0,55
Governor,0715,176,187,363,1408,25.78%,210,147,2,0,0,359
Governor,0716,449,407,856,2680,31.94%,587,245,15,4,0,551
Governor,0717,373,250,623,2002,31.12%,80,533,2,2,0,517
Governor,0718,1017,806,1823,4229,43.11%,1266,519,23,3,0,1511
Governor,0719,247,137,384,1589,24.17%,232,138,6,2,0,375
Governor,0720,995,780,1775,4282,41.45%,1307,416,27,8,0,1755
Governor,0721,754,532,1286,2870,44.81%,835,432,9,0,0,1275
Governor,0722,873,494,1367,4479,30.52%,104,1233,7,4,0,1345
Governor,0723,401,202,603,1858,32.45%,130,459,2,3,0,594
Governor,0724,151,128,279,766,36.42%,211,63,1,2,0,277
Governor,0725,423,237,660,2237,29.50%,307,339,4,2,0,552
Governor,0726,592,402,994,2087,47.63%,861,118,7,1,0,987
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0727,338,290,628,2488,25,24%,203,404,8,2,0,617
Governor,0728,209,151,360,880,40.91%,214,132,9,0,0,355
Governor,0729,135,59,195,464,42.03%,124,66,4,1,0,195
Governor,0730,428,359,787,1747,45.05%,498,265,8,3,0,774
Governor,0731,58,27,85,352,24.15%,25,59,0,1,0,85
Governor,0732,441,324,765,1924,39.76%,468,272,12,4,0,756
Governor,0733,13,7,20,215,9.30%,9,10,1,0,0,20
Governor,0734,1558,962,2520,7005,35.97%,1736,731,29,8,0,2504
Governor,0735,5,0,6,18,33.33%,6,0,0,0,0,6
Governor,0736,3,1,4,22,18.18%,0,3,0,1,0,4
Governor,0737,11,7,18,51,35.29%,13,5,0,0,0,18
Governor,0738,139,100,239,1361,17.56%,46,181,0,1,0,228
Governor,0739,353,301,654,2955,22.13%,339,287,7,5,0,638
Governor,0740,96,98,194,939,20.66%,131,56,2,2,0,191
Governor,0741,0,1,1,0,0.00%,0,1,0,0,0,1
Governor,0742,0,11,11,0,0.00%,5,6,0,0,0,11
Governor,0743,15,18,33,210,15.71%,16,14,0,1,0,31
Governor,0744,456,392,848,2027,41.84%,524,298,17,4,0,843
Governor,0745,683,372,1055,2494,42.30%,638,396,10,4,0,1048
Governor,0746,114,77,191,691,27.64%,85,101,2,2,0,190
Governor,0747,551,467,1018,3743,27.20%,478,498,22,6,0,1004
Governor,0748,172,140,312,1403,22.24%,161,140,9,0,0,310
Governor,0749,30,17,47,377,12.47%,9,36,1,0,0,46
Governor,0750,111,96,207,767,26.99%,129,73,1,2,0,205
Governor,0751,925,964,1889,5084,37.16%,1230,598,31,6,0,1865
Governor,0752,286,200,486,1483,32.77%,359,110,8,4,0,481
Governor,0753,55,73,128,259,49.42%,77,45,3,0,0,125
Governor,0754,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0755,442,584,1026,4294,23.89%,466,534,8,4,0,1012
Governor,0756,251,177,428,1600,26.75%,168,244,7,3,0,422
Governor,0757,520,508,1028,4035,25.48%,178,822,8,5,0,1013
Governor,0758,1114,692,1806,4096,44.09%,1428,339,20,8,0,1795
Governor,0759,465,413,878,2730,32.16%,554,304,13,1,0,872
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0760,1432,639,2071,4367,47.42%,1713,331,15,2,0,2061
Governor,0761,548,253,801,1550,51.68%,537,245,13,0,0,795
Governor,0762,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0763,108,146,254,1212,20.96%,101,139,5,2,0,247
Governor,0764,1133,774,1907,5217,36.55%,1200,681,17,2,0,1900
Governor,0765,648,426,1074,4055,26.49%,432,606,17,5,0,1060
Governor,0766,40,25,65,392,16.58%,16,46,2,0,0,84
Governor,0767,10,2,12,86,13.95%,6,6,0,0,0,12
Governor,0768,1359,1015,2374,5857,40.53%,1925,407,25,5,0,2362
Governor,0769,54,16,70,183,38.25%,2,66,1,0,0,89
Governor,0770,31,25,56,323,17.34%,27,29,0,0,0,58
Governor,0771,324,254,578,2426,23.83%,325,233,9,3,0,570
Governor,0772,1792,851,2643,5709,46.30%,1980,593,40,6,0,2819
Governor,0773,473,312,785,2918,26.90%,233,506,7,2,0,748
Governor,0774,30,41,71,378,18.78%,15,53,1,0,0,69
Governor,0775,18,3,21,92,22.83%,0,20,0,0,0,20
Governor,0776,551,496,1047,3053,34.29%,623,398,16,3,0,1040
Governor,0777,48,40,86,652,13.19%,31,53,0,0,0,84
Governor,0778,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0779,64,51,115,940,12.23%,41,71,1,0,0,113
Governor,0780,83,59,122,595,20.50%,71,49,1,0,0,121
Governor,0781,666,273,939,3603,26.06%,429,435,9,3,0,878
Governor,0782,368,370,738,2236,33.01%,452,274,10,2,0,738
Governor,0783,49,13,62,294,21.09%,44,15,1,1,0,81
Governor,0784,208,128,336,1079,31.14%,8,321,1,1,0,331
Governor,0785,28,25,53,296,17.91%,26,25,1,1,0,53
Governor,0786,100,98,198,1251,15.83%,82,116,0,0,0,198
Governor,0787,48,52,98,488,20.08%,36,62,0,0,0,98
Governor,0788,74,32,106,454,23.35%,50,52,2,1,0,105
Governor,0789,0,3,3,3,100.00%,1,2,0,0,0,3
Governor,0790,0,0,0,3,0.00%,0,0,0,0,0,0
Governor,0791,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0792,269,239,508,1865,27.24%,131,355,4,3,0,493
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0793,448,247,695,2484,27.98%,411,258,11,8,0,688
Governor,0794,124,144,268,2710,9.89%,32,227,3,0,0,262
Governor,0795,90,125,215,1217,17.67%,90,117,1,1,0,209
Governor,0796,83,51,134,476,28.15%,77,53,2,0,0,132
Governor,0797,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0798,99,111,210,500,42.00%,83,122,2,2,0,209
Governor,0799,28,15,43,161,26.71%,9,34,0,0,0,43
Governor,0800,588,642,1230,2932,41.95%,832,370,15,5,0,1222
Governor,0801,32,14,46,258,17.83%,16,30,0,0,0,46
Governor,0802,51,27,78,312,25.00%,14,61,1,2,0,78
Governor,0803,725,511,1236,2893,42.72%,889,314,18,5,0,1226
Governor,0804,933,591,1524,4768,31.96%,945,536,24,5,0,1510
Governor,0805,765,533,1298,2866,45.29%,1028,242,17,5,0,1292
Governor,0806,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0807,211,204,415,2028,20.46%,95,303,8,5,0,411
Governor,0808,12,17,29,131,22.14%,7,22,0,0,0,29
Governor,0809,7,6,13,92,14.13%,5,6,1,0,0,12
Governor,0810,9,16,25,211,11.85%,8,15,0,0,0,23
Governor,0811,29,50,79,270,29.26%,26,48,1,0,0,75
Governor,0812,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0813,938,761,1699,5807,29.26%,827,824,22,7,0,1680
Governor,0814,673,533,1206,5102,23.64%,302,872,15,3,0,1192
Governor,0815,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0816,10,0,10,73,13.70%,3,7,0,0,0,10
Governor,0817,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0818,86,39,125,616,20.29%,30,93,1,1,0,125
Governor,0819,64,30,94,240,39.17%,49,43,1,1,0,94
Governor,0820,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0821,124,120,244,1242,19.65%,34,205,1,0,0,240
Governor,0822,332,167,499,1535,32.51%,19,469,0,3,0,491
Governor,0823,821,564,1385,5087,27.23%,793,568,10,3,0,1374
Governor,0824,428,282,710,2700,26.30%,169,524,6,4,0,703
Governor,0825,0,0,0,0,0.00%,0,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0826,73,50,123,358,34.36%,58,63,1,0,0,122
Governor,0827,60,98,158,979,16.14%,64,85,2,4,0,155
Governor,0828,541,388,929,1916,48.49%,738,173,12,1,0,924
Governor,0829,54,22,76,264,28.79%,19,57,0,0,0,76
Governor,0830,0,0,0,2,0.00%,0,0,0,0,0,0
Governor,0831,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0832,34,28,62,352,17.61%,19,40,1,1,0,e1
Governor,0833,0,1,1,20,5.00%,0,1,0,0,0,1
Governor,0834,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0835,38,19,57,290,19.66%,10,45,0,1,0,56
Governor,0836,3,0,3,19,15.79%,1,2,0,0,0,3
Governor,0837,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0838,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0839,136,118,254,1128,22.52%,43,193,11,3,0,250
Governor,0840,381,174,555,1705,32.55%,195,343,6,4,0,548
Governor,0841,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0842,421,434,855,3259,26.24%,397,438,8,2,0,845
Governor,0843,0,1,1,0,0.00%,0,1,0,0,0,1
Governor,0844,1,0,1,11,9.09%,0,1,0,0,0,1
Governor,0845,54,9,63,134,47.01%,41,21,0,0,0,e2
Governor,0846,23,24,47,229,20.52%,2,43,1,0,0,45
Governor,0847,306,211,517,2015,25.66%,138,363,7,3,0,511
Governor,0848,489,266,755,1856,40.68%,222,515,3,3,0,743
Governor,0849,201,291,492,2124,23.16%,191,281,6,3,0,481
Governor,0850,46,41,87,210,41.43%,30,55,0,1,0,86
Governor,0851,1029,657,1686,4709,35.80%,1122,513,24,5,0,1554
Governor,0852,0,0,0,1,0.00%,0,0,0,0,0,0
Governor,0853,676,620,1296,2882,44.97%,987,287,15,3,0,1292
Governor,0854,15,26,41,172,23.84%,8,31,1,0,0,40
Governor,0855,5,9,14,16,87.50%,4,8,0,1,0,13
Governor,0856,0,1,1,0,0.00%,0,1,0,0,0,1
Governor,0857,0,0,0,1,0.00%,0,0,0,0,0,0
Governor,0858,63,34,97,343,28.28%,5,92,0,0,0,97
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0859,157,106,263,890,29.55%,67,188,2,1,0,258
Governor,0860,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0861,315,199,514,1842,27.90%,84,423,2,0,0,509
Governor,0862,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0863,101,54,155,584,26.54%,7,146,0,0,0,153
Governor,0864,193,299,492,2569,19.15%,132,344,3,3,0,482
Governor,0865,2,3,5,21,23.81,%,0,5,0,0,0,5
Governor,0866,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0867,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0868,236,271,507,2326,21.80%,167,321,4,1,0,493
Governor,0869,53,39,92,470,19.57%,19,69,2,0,0,90
Governor,0870,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0871,1,0,1,3,33.33%,0,1,0,0,0,1
Governor,0872,5,3,8,59,13.56%,4,4,0,0,0,8
Governor,0873,98,75,173,737,23.47%,45,126,0,1,0,172
Governor,0874,764,707,1471,3223,45.64%,1083,355,17,2,2,1459
Governor,0875,905,527,1432,5147,27.82%,684,702,24,3,0,1413
Governor,0876,698,641,1339,3265,41.01%,1010,306,14,4,0,1334
Governor,0877,476,382,858,3032,28.30%,336,497,8,6,0,847
Governor,0878,428,354,782,1666,46.94%,643,124,12,2,0,781
Governor,0879,407,294,701,2667,26.28%,345,329,13,2,0,689
Governor,0880,543,447,990,2352,42.09%,796,175,9,4,0,984
Governor,0881,596,540,1136,4479,25.36%,398,707,10,5,0,1120
Governor,0882,426,291,717,2422,29.60%,431,268,7,4,0,710
Governor,0883,643,702,1345,5408,24.87%,237,1069,11,7,0,1324
Governor,0884,57,25,82,377,21.75%,7,70,0,1,0,78
Governor,0885,562,368,930,2619,35.51%,536,375,14,2,0,927
Governor,0886,128,108,236,675,34.96%,119,109,6,1,0,235
Governor,0887,51,67,118,418,28.23%,56,59,2,0,0,117
Governor,0888,0,3,3,0,0.00%,2,1,0,0,0,3
Governor,0889,14,0,14,57,24.56%,5,9,0,0,0,14
Governor,0890,164,103,267,1095,24.38%,84,179,1,0,0,254
Governor,0891,319,243,562,1331,42.22%,201,350,5,2,0,558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0892,115,86,201,808,24.88%,65,128,7,1,0,201
Governor,0893,0,2,2,6,33.33%,0,2,0,0,0,2
Governor,0894,0,3,3,0,0.00%,1,2,0,0,0,3
Governor,0895,156,286,442,793,55.74%,143,290,4,0,0,437
Governor,0896,370,297,667,1459,45.72%,208,442,7,2,0,659
Governor,0897,253,297,550,1701,32.33%,315,218,10,3,0,546
Governor,0898,0,0,0,3,0.00%,0,0,0,0,0,0
Governor,0899,2,0,2,8,25.00%,0,2,0,0,0,2
Governor,0900,0,2,2,10,20.00%,1,1,0,0,0,2
Governor,0901,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0902,396,486,882,2139,41.23%,453,406,14,4,0,877
Governor,0903,3,7,10,50,20.00%,3,6,0,0,0,9
Governor,0904,1,0,1,7,14.29%,1,0,0,0,0,1
Governor,0905,123,100,223,904,24.67%,108,107,2,0,0,217
Governor,0906,8,6,14,25,56.00%,7,7,0,0,0,14
Governor,0907,12,19,31,181,17.13%,6,25,0,0,0,31
Governor,0908,0,1,1,0,0.00%,1,0,0,0,0,1
Governor,0909,2,1,3,18,16.67%,1,2,0,0,0,3
Governor,0910,25,24,49,217,22.58%,19,25,2,0,0,46
Governor,0911,118,60,178,551,32.30%,114,56,3,0,0,173
Governor,0912,316,201,517,1273,40.61%,337,166,7,2,0,512
Governor,0913,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0914,169,179,348,701,49.64%,271,68,6,1,0,346
Governor,0915,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0916,417,240,657,1491,44.06%,524,113,6,5,0,648
Governor,0917,177,62,239,483,49.48%,159,76,2,1,0,238
Governor,0918,304,168,472,883,53.45%,348,123,1,0,0,472
Governor,0919,0,0,0,3,0.00%,0,0,0,0,0,0
Governor,0920,22,12,34,71,47.89%,25,9,0,0,0,34
Governor,0921,32,15,47,119,39.50%,34,13,0,0,0,47
Governor,0922,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0923,470,137,607,1511,40.17%,460,142,4,0,0,606
Governor,0924,0,0,0,0,0.00%,0,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0925,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0926,171,128,299,796,37.56%,229,69,1,0,0,299
Governor,0927,44,30,74,270,27.41%,31,43,0,0,0,74
Governor,0928,3,0,3,8,37.50%,0,3,0,0,0,3
Governor,0929,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0930,109,54,163,584,27.91%,7,155,1,0,0,163
Governor,0931,30,40,70,130,53.85%,33,34,3,0,0,70
Governor,0932,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0933,115,85,200,627,31.90%,51,140,5,2,0,198
Governor,0934,2,0,2,63,3.17%,1,1,0,0,0,2
Governor,0935,3,2,5,54,9.26%,1,2,0,2,0,5
Governor,0936,8,2,10,81,12.35%,6,4,0,0,0,10
Governor,0937,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0938,30,14,44,231,19.05%,12,30,1,0,0,43
Governor,0939,0,0,0,2,0.00%,0,0,0,0,0,0
Governor,0940,0,0,0,10,0.00%,0,0,0,0,0,0
Governor,0941,9,10,19,25,76.00%,17,2,0,0,0,19
Governor,0942,53,27,80,156,51.28%,61,17,2,0,0,s0
Governor,0943,166,80,246,547,44.97%,166,77,1,0,0,244
Governor,0944,20,4,24,45,53.33%,23,1,0,0,0,24
Governor,0945,1,2,3,17,17.65%,0,2,0,0,0,2
Governor,0946,0,1,1,13,7.69%,0,1,0,0,0,1
Governor,0947,177,246,423,799,52.94%,209,206,4,1,0,420
Governor,0948,0,14,14,1,1400.00%,9,3,0,0,0,12
Governor,0949,34,27,61,193,31.61%,30,28,0,1,0,59
Governor,0950,0,0,0,1,0.00%,0,0,0,0,0,0
Governor,0951,33,30,63,277,22.74%,16,46,0,0,0,62
Governor,0952,18,15,33,71,46.48%,15,18,0,0,0,33
Governor,0953,18,9,27,275,9.82%,4,22,1,0,0,27
Governor,0954,0,0,0,1,0.00%,0,0,0,0,0,0
Governor,0955,3,2,5,19,26.32%,4,1,0,0,0,5
Governor,0956,2,4,6,11,54.55%,1,4,0,0,0,5
Governor,0957,97,95,192,562,34.16%,18,171,0,1,0,190
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0958,51,129,210,1081,19.43%,48,154,3,0,1,205
Governor,0959,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0960,196,157,353,976,36.17%,70,275,5,2,0,352
Governor,0961,15,0,16,56,28.57%,0,16,0,0,0,15
Governor,0962,10,17,27,88,30.68%,3,23,1,0,0,27
Governor,0963,54,41,105,426,24.65%,55,46,1,1,0,103
Governor,0964,568,437,1005,2372,42.37%,607,376,8,2,0,993
Governor,0965,31,21,52,343,15.16%,29,22,1,0,0,52
Governor,0966,129,83,212,1148,18.47%,72,133,4,1,0,210
Governor,0967,15,48,63,165,38.18%,18,45,0,0,0,53
Governor,0968,119,30,149,692,21.53%,32,114,0,2,0,145
Governor,0969,156,73,229,604,37.91%,1,222,2,0,0,225
Governor,0970,53,36,119,731,16.28%,16,101,0,1,0,115
Governor,0971,11,8,19,147,12.93%,1,16,0,0,0,17
Governor,0972,5,8,14,31,45.16%,12,2,0,0,0,14
Governor,0973,24,19,43,111,38.74%,21,22,0,0,0,43
Governor,0974,57,36,93,299,31.10%,59,33,0,1,0,93
Governor,0975,55,30,85,193,44.04%,41,43,0,1,0,55
Governor,0976,55,62,130,683,19.03%,83,42,3,0,0,125
Governor,0977,50,43,93,572,16.26%,38,54,1,0,0,93
Governor,0978,77,79,156,546,28.57%,31,123,0,2,0,155
Governor,0979,2,6,8,27,29.63%,5,3,0,0,0,5
Governor,0980,280,321,601,1389,43.27%,452,142,3,1,0,595
Governor,0981,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0982,312,312,624,1567,39.82%,505,102,10,2,0,519
Governor,0983,12,21,33,161,20.50%,21,12,0,0,0,33
Governor,0954,18,9,27,192,14.06%,4,22,0,0,0,25
Governor,0985,117,63,180,351,51.28%,87,91,2,0,0,150
Governor,0986,43,30,73,463,15.77%,10,61,0,1,0,72
Governor,0987,231,90,321,1155,27.79%,30,281,2,1,0,314
Governor,0988,24,12,36,123,29.27%,32,3,1,0,0,35
Governor,0989,5,6,12,43,27.91%,6,5,1,0,0,12
Governor,0990,16,1,17,140,12.14%,7,9,0,0,0,15
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0991,0,0,0,1,0.00%,0,0,0,0,0,0
Governor,0992,157,107,264,1048,25.19%,149,105,5,2,0,251
Governor,0993,159,101,270,568,47.54%,213,48,6,1,0,258
Governor,0994,e,5,11,25,44.00%,2,9,0,0,0,11
Governor,0995,296,156,452,1393,32.45%,29,417,1,0,0,447
Governor,0996,136,140,276,694,39.77%,156,112,3,1,0,272
Governor,0997,101,163,264,1656,15.94%,54,206,1,1,0,262
Governor,0998,5,1,6,57,10.53%,3,3,0,0,0,e
Governor,0999,17,10,27,68,39.71%,23,4,0,0,0,27
Governor,1000,42,6,48,405,11.85%,13,33,1,0,0,47
Governor,1001,228,136,364,1565,23.26%,87,257,3,2,0,349
Governor,1002,170,139,309,1744,17.72%,51,246,3,3,0,303
Governor,1003,1,0,1,0,0.00%,0,1,0,0,0,1
Governor,1004,111,139,250,654,38.23%,114,125,9,0,0,248
Governor,1005,0,8,8,0,0.00%,3,4,1,0,0,8
Governor,1006,1,0,1,5,20.00%,1,0,0,0,0,1
Governor,1007,208,188,396,1547,25.60%,95,288,7,0,0,390
Governor,1008,32,12,44,151,29.14%,36,8,0,0,0,44
Governor,1009,0,0,0,9,0.00%,0,0,0,0,0,0
Governor,1010,59,35,94,459,20.48%,17,76,0,0,0,93
Governor,1011,8,1,9,26,34.62%,3,5,0,1,0,9
Governor,1012,134,201,335,1365,24.54%,104,224,1,1,0,330
Governor,1013,0,6,6,58,10.34%,2,3,0,1,0,e
Governor,1014,4,6,10,31,32.26%,1,9,0,0,0,10
Governor,1015,5,4,9,25,36.00%,3,6,0,0,0,9
Governor,1016,252,212,464,1691,27.44%,209,237,11,2,0,459
Governor,1017,61,44,105,330,31.82%,31,72,1,0,0,104
Governor,1018,93,64,157,494,31.78%,70,85,0,0,0,155
Governor,1019,130,107,237,1456,16.28%,12,218,3,1,0,234
Governor,1020,0,0,0,1,0.00%,0,0,0,0,0,0
Governor,1021,0,0,0,2,0.00%,0,0,0,0,0,0
Governor,1022,97,79,176,441,39.91%,136,38,0,0,0,174
Governor,1023,430,315,745,2026,36.77%,526,202,8,1,0,737
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,1024,55,61,116,249,46.59%,61,50,3,1,0,115
Governor,1025,0,1,1,14,7.14%,1,0,0,0,0,1
Governor,1026,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1027,1,0,1,8,12.50%,1,0,0,0,0,1
Governor,1028,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1029,538,719,1257,2927,42.94%,983,254,6,6,0,1249
Governor,1030,231,151,382,785,48.66%,333,43,4,1,0,381
Governor,1031,59,71,130,792,16.41%,33,87,2,1,1,124
Governor,1032,31,25,56,244,22.95%,37,17,0,0,0,54
Governor,1033,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1034,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1035,2,4,6,138,4.35%,2,4,0,0,0,5
Governor,1036,65,24,89,449,19.82%,72,16,0,0,0,88
Governor,1037,19,11,30,76,39.47%,17,11,1,0,0,29
Governor,1038,52,6,68,327,20.80%,9,58,0,0,0,67
Governor,1039,2,0,2,25,8.00%,0,2,0,0,0,2
Governor,1040,91,66,157,771,20.36%,66,86,4,1,0,157
Governor,1041,0,2,2,0,0.00%,1,1,0,0,0,2
Governor,1042,105,67,172,521,33.01%,54,110,4,2,0,170
Governor,1043,5,6,12,33,36.36%,4,8,0,0,0,12
Governor,1044,16,6,22,55,40.00%,7,15,0,0,0,22
Governor,1045,197,173,370,1788,20.69%,48,313,2,1,0,364
Governor,1046,11,5,16,62,25.81%,2,14,0,0,0,16
Governor,1047,255,186,441,1568,28.13%,161,268,7,3,1,440
Governor,1048,1,0,1,17,5.88%,1,0,0,0,0,1
Governor,1049,14,45,59,290,20.34%,19,33,1,0,0,53
Governor,1050,60,63,123,537,22.91%,38,82,1,0,0,121
Governor,1051,0,31,31,0,0.00%,17,14,0,0,0,31
Governor,1052,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1053,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1054,0,0,0,1,0.00%,0,0,0,0,0,0
Governor,1055,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1056,4,2,6,8,75.00%,2,4,0,0,0,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,1057,7,9,16,118,13.56%,3,13,0,0,0,16
Governor,1058,241,285,526,1243,42.32%,101,417,3,0,0,521
Governor,1059,3,3,6,28,21.43%,1,5,0,0,0,6
Governor,1060,5,2,7,42,16.67%,5,2,0,0,0,7
Governor,1061,332,184,516,1716,30.07%,268,237,7,2,0,514
Governor,1062,17,6,23,201,11.44%,4,19,0,0,0,23
Governor,1063,66,59,125,857,14.59%,16,104,1,1,0,122
Governor,1064,25,11,36,119,30.25%,26,10,0,0,0,36
Governor,1065,1,0,1,28,3.57%,0,1,0,0,0,1
Governor,1066,72,0,72,229,31.44%,3,67,1,0,0,71
Governor,1067,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,1068,22,8,30,121,24.79%,13,17,0,0,0,30
Governor,1069,434,256,690,2580,26.74%,308,353,9,4,0,674
Governor,Totals:,379077,308736,687813,2044361,349639,320160,7818,2431,28,680076
