Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0261,124,120,244,1417,17.22%,100,134,234
"Judge, County Criminal Court No. 15",0262,758,600,1358,4397,30.88%,854,420,1274
"Judge, County Criminal Court No. 15",0263,858,712,1570,3693,42.51%,1217,293,1510
"Judge, County Criminal Court No. 15",0264,480,457,937,2963,31.62%,576,300,876
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0265,988,759,1747,3584,48.74%,1336,279,1615
"Judge, County Criminal Court No. 15",0266,259,257,516,2104,24.52%,257,228,485
"Judge, County Criminal Court No. 15",0267,146,166,312,1327,23.51%,155,133,288
"Judge, County Criminal Court No. 15",0268,435,717,1152,2493,46.21%,678,343,1021
"Judge, County Criminal Court No. 15",0269,702,453,1155,2030,56.90%,937,148,1085
"Judge, County Criminal Court No. 15",0270,817,672,1489,3605,41.30%,832,567,1399
"Judge, County Criminal Court No. 15",0271,656,382,1038,2518,41.22%,33,988,1021
"Judge, County Criminal Court No. 15",0272,264,292,555,2162,25.72%,220,305,525
"Judge, County Criminal Court No. 15",0273,548,689,1237,2470,50.08%,1016,158,1174
"Judge, County Criminal Court No. 15",0274,588,346,934,2153,43.38%,641,222,863
"Judge, County Criminal Court No. 15",0275,207,236,443,1850,23.95%,105,322,427
"Judge, County Criminal Court No. 15",0276,572,231,803,2536,31.66%,11,772,783
"Judge, County Criminal Court No. 15",0277,170,186,356,1492,23.86%,170,170,340
"Judge, County Criminal Court No. 15",0278,421,320,741,2454,30.20%,411,296,707
"Judge, County Criminal Court No. 15",0279,250,223,473,1941,24.37%,280,171,451
"Judge, County Criminal Court No. 15",0280,130,188,318,1524,20.87%,131,169,300
"Judge, County Criminal Court No. 15",0281,655,742,1397,2633,53.06%,713,538,1251
"Judge, County Criminal Court No. 15",0282,314,455,769,2042,37.66%,493,226,719
"Judge, County Criminal Court No. 15",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0284,574,335,910,3172,28.69%,426,439,865
"Judge, County Criminal Court No. 15",0285,448,378,826,2540,32.52%,66,730,796
"Judge, County Criminal Court No. 15",0286,1255,821,2076,6170,33.65%,187,1808,1995
"Judge, County Criminal Court No. 15",0287,370,477,847,1621,52.25%,420,369,789
"Judge, County Criminal Court No. 15",0288,532,313,845,2210,38.24%,18,810,828
"Judge, County Criminal Court No. 15",0289,186,212,398,1564,25.45%,195,183,378
"Judge, County Criminal Court No. 15",0290,245,298,543,1642,33.07%,403,121,524
"Judge, County Criminal Court No. 15",0291,325,235,560,1225,45.71%,287,233,520
"Judge, County Criminal Court No. 15",0292,207,147,354,1356,26.11%,38,304,342
"Judge, County Criminal Court No. 15",0293,356,447,803,1759,45.65%,378,366,744
"Judge, County Criminal Court No. 15",0294,488,221,709,2097,33.81%,8,683,691
"Judge, County Criminal Court No. 15",0295,148,103,251,885,28.36%,9,236,245
"Judge, County Criminal Court No. 15",0296,327,340,667,1713,38.94%,382,230,612
"Judge, County Criminal Court No. 15",0297,280,249,529,2012,26.29%,241,251,492
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0298,415,358,773,2121,36.45%,457,263,720
"Judge, County Criminal Court No. 15",0299,178,117,295,1353,21.80%,114,157,271
"Judge, County Criminal Court No. 15",0300,1389,1016,2405,5406,44.49%,1922,378,2300
"Judge, County Criminal Court No. 15",0301,210,255,465,2352,19.77%,186,256,442
"Judge, County Criminal Court No. 15",0302,353,343,696,2720,25.59%,407,263,670
"Judge, County Criminal Court No. 15",0303,922,784,1706,3245,52.57%,1387,225,1612
"Judge, County Criminal Court No. 15",0304,606,505,1111,2298,48.35%,649,378,1027
"Judge, County Criminal Court No. 15",0305,524,432,956,4191,22.81%,411,516,927
"Judge, County Criminal Court No. 15",0306,649,342,991,1879,52.74%,729,200,929
"Judge, County Criminal Court No. 15",0307,733,670,1403,3099,45.27%,967,338,1305
"Judge, County Criminal Court No. 15",0308,199,130,329,1296,25.39%,111,202,313
"Judge, County Criminal Court No. 15",0309,708,593,1301,2524,51.55%,1049,165,1214
"Judge, County Criminal Court No. 15",0310,386,279,665,1435,46.34%,460,161,621
"Judge, County Criminal Court No. 15",0311,486,421,907,2986,30.38%,495,348,843
"Judge, County Criminal Court No. 15",0312,742,457,1199,3636,32.98%,795,348,1143
"Judge, County Criminal Court No. 15",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Criminal Court No. 15",0314,1121,913,2034,5647,36.02%,1284,681,1965
"Judge, County Criminal Court No. 15",0315,478,388,866,1608,53.86%,516,286,802
"Judge, County Criminal Court No. 15",0316,412,341,753,1537,48.99%,424,264,688
"Judge, County Criminal Court No. 15",0317,248,209,457,1588,28.78%,152,281,433
"Judge, County Criminal Court No. 15",0318,834,568,1402,3660,38.31%,68,1286,1354
"Judge, County Criminal Court No. 15",0319,512,230,742,2158,34.38%,48,669,717
"Judge, County Criminal Court No. 15",0320,234,168,402,1537,26.15%,200,186,386
"Judge, County Criminal Court No. 15",0321,262,191,453,2346,19.31%,160,268,428
"Judge, County Criminal Court No. 15",0322,181,129,310,1226,25.29%,104,194,298
"Judge, County Criminal Court No. 15",0323,278,211,489,1722,28.40%,237,222,459
"Judge, County Criminal Court No. 15",0324,532,646,1178,2336,50.43%,734,350,1084
"Judge, County Criminal Court No. 15",0325,289,193,482,2112,22.82%,106,353,459
"Judge, County Criminal Court No. 15",0326,87,74,161,698,23.07%,77,75,152
"Judge, County Criminal Court No. 15",0327,380,129,509,1729,29.44%,12,476,488
"Judge, County Criminal Court No. 15",0328,151,140,291,1434,20.29%,123,156,279
"Judge, County Criminal Court No. 15",0329,189,184,373,1397,26.70%,141,215,356
"Judge, County Criminal Court No. 15",0330,334,253,587,1936,30.32%,336,223,559
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0332,18,7,25,138,18.12%,13,9,22
"Judge, County Criminal Court No. 15",0333,524,714,1238,3021,40.98%,873,297,1170
"Judge, County Criminal Court No. 15",0334,83,42,125,742,16.85%,22,98,120
"Judge, County Criminal Court No. 15",0335,121,98,219,1300,16.85%,88,116,204
"Judge, County Criminal Court No. 15",0336,866,624,1490,4051,36.78%,135,1316,1451
"Judge, County Criminal Court No. 15",0337,124,103,227,1029,22.06%,39,177,216
"Judge, County Criminal Court No. 15",0338,730,391,1121,4934,22.72%,389,650,1039
"Judge, County Criminal Court No. 15",0339,202,222,424,1757,24.13%,80,318,398
"Judge, County Criminal Court No. 15",0340,1038,594,1632,3765,43.35%,1236,317,1553
"Judge, County Criminal Court No. 15",0341,91,167,258,1290,20.00%,76,174,250
"Judge, County Criminal Court No. 15",0342,675,605,1280,6526,19.61%,220,1024,1244
"Judge, County Criminal Court No. 15",0343,189,271,460,1964,23.42%,124,315,439
"Judge, County Criminal Court No. 15",0344,154,172,326,1160,28.10%,16,294,310
"Judge, County Criminal Court No. 15",0345,156,165,321,1804,17.79%,97,206,303
"Judge, County Criminal Court No. 15",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Criminal Court No. 15",0347,592,436,1028,3387,30.35%,704,285,989
"Judge, County Criminal Court No. 15",0348,438,208,646,1708,37.82%,502,112,614
"Judge, County Criminal Court No. 15",0349,188,267,455,1349,33.73%,280,149,429
"Judge, County Criminal Court No. 15",0350,524,526,1050,2909,36.09%,439,521,960
"Judge, County Criminal Court No. 15",0351,1491,710,2201,4712,46.71%,1753,365,2118
"Judge, County Criminal Court No. 15",0352,520,339,859,3205,26.80%,628,199,827
"Judge, County Criminal Court No. 15",0353,665,451,1116,3862,28.90%,202,878,1080
"Judge, County Criminal Court No. 15",0354,715,338,1053,3388,31.08%,269,753,1022
"Judge, County Criminal Court No. 15",0355,301,264,565,1560,36.22%,48,499,547
"Judge, County Criminal Court No. 15",0356,594,538,1132,2972,38.09%,749,327,1076
"Judge, County Criminal Court No. 15",0357,837,575,1412,3517,40.15%,1044,314,1358
"Judge, County Criminal Court No. 15",0358,212,254,466,2492,18.70%,53,397,450
"Judge, County Criminal Court No. 15",0359,234,224,458,3061,14.96%,59,388,447
"Judge, County Criminal Court No. 15",0360,522,380,902,2146,42.03%,482,336,818
"Judge, County Criminal Court No. 15",0361,41,295,336,1673,20.08%,51,241,292
"Judge, County Criminal Court No. 15",0362,1138,887,2025,5086,39.82%,1501,414,1915
"Judge, County Criminal Court No. 15",0363,620,412,1032,3677,28.07%,469,530,999
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0364,488,405,893,2658,33.60%,518,327,845
"Judge, County Criminal Court No. 15",0365,478,231,709,1305,54.33%,61,633,694
"Judge, County Criminal Court No. 15",0366,252,270,522,2454,21.27%,132,376,508
"Judge, County Criminal Court No. 15",0367,170,138,308,1130,27.26%,68,232,300
"Judge, County Criminal Court No. 15",0368,178,88,266,958,27.77%,72,183,255
"Judge, County Criminal Court No. 15",0369,32,29,61,559,10.91%,17,42,59
"Judge, County Criminal Court No. 15",0370,1532,1105,2637,6593,40.00%,2000,542,2542
"Judge, County Criminal Court No. 15",0371,122,52,174,502,34.66%,6,161,167
"Judge, County Criminal Court No. 15",0372,221,170,391,1224,31.94%,50,323,373
"Judge, County Criminal Court No. 15",0373,21,12,33,157,21.02%,2,28,30
"Judge, County Criminal Court No. 15",0374,85,93,158,738,21.41%,47,102,149
"Judge, County Criminal Court No. 15",0375,254,220,474,2645,17.92%,234,203,437
"Judge, County Criminal Court No. 15",0376,278,205,483,1910,25.29%,211,250,461
"Judge, County Criminal Court No. 15",0377,525,583,1109,2920,37.98%,824,223,1047
"Judge, County Criminal Court No. 15",0378,232,354,586,1829,32.04%,371,183,554
"Judge, County Criminal Court No. 15",0379,431,289,720,2027,35.52%,67,633,700
"Judge, County Criminal Court No. 15",0380,1299,995,2294,5666,40.49%,1274,945,2219
"Judge, County Criminal Court No. 15",0381,412,248,660,2855,23.12%,309,321,630
"Judge, County Criminal Court No. 15",0382,132,157,289,922,31.34%,216,64,280
"Judge, County Criminal Court No. 15",0383,289,263,552,2173,25.40%,228,300,528
"Judge, County Criminal Court No. 15",0384,573,373,946,2657,35.60%,192,714,906
"Judge, County Criminal Court No. 15",0385,583,670,1253,2207,56.77%,989,188,1177
"Judge, County Criminal Court No. 15",0386,662,469,1131,2922,38.71%,824,257,1081
"Judge, County Criminal Court No. 15",0387,555,672,1227,3935,31.18%,890,299,1189
"Judge, County Criminal Court No. 15",0388,1430,1010,2440,6888,35.42%,1417,945,2362
"Judge, County Criminal Court No. 15",0389,91,208,299,1026,29.14%,46,230,276
"Judge, County Criminal Court No. 15",0390,356,263,619,1480,41.82%,77,517,594
"Judge, County Criminal Court No. 15",0391,508,260,768,1883,40.79%,496,234,730
"Judge, County Criminal Court No. 15",0392,387,155,542,1446,37.48%,6,526,532
"Judge, County Criminal Court No. 15",0393,165,185,350,1292,27.09%,170,167,337
"Judge, County Criminal Court No. 15",0394,69,73,142,834,17.03%,73,62,135
"Judge, County Criminal Court No. 15",0395,469,404,873,1846,47.29%,635,184,819
"Judge, County Criminal Court No. 15",0396,622,216,838,2082,40.25%,23,795,818
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0397,86,78,164,760,21,58%,78,80,158
"Judge, County Criminal Court No. 15",0398,615,521,1136,4022,28.24%,611,491,1102
"Judge, County Criminal Court No. 15",0399,402,366,768,2791,27.52%,429,311,740
"Judge, County Criminal Court No. 15",0400,620,359,979,2411,40.61%,727,201,928
"Judge, County Criminal Court No. 15",0401,330,205,535,1913,27.97%,19,502,521
"Judge, County Criminal Court No. 15",0402,466,266,732,1794,40.80%,40,671,711
"Judge, County Criminal Court No. 15",0403,475,498,973,1715,56.73%,552,320,872
"Judge, County Criminal Court No. 15",0404,419,330,749,2585,28.97%,441,281,722
"Judge, County Criminal Court No. 15",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0406,137,67,204,628,32.48%,4,196,200
"Judge, County Criminal Court No. 15",0407,688,793,1481,3769,39.29%,1002,388,1390
"Judge, County Criminal Court No. 15",0408,146,153,299,1691,17.68%,146,135,281
"Judge, County Criminal Court No. 15",0409,122,149,271,1459,18.57%,109,152,261
"Judge, County Criminal Court No. 15",0410,132,80,212,899,23.58%,46,155,201
"Judge, County Criminal Court No. 15",0411,235,200,435,2339,18.60%,152,264,416
"Judge, County Criminal Court No. 15",0412,74,44,118,468,25.21%,7,103,110
"Judge, County Criminal Court No. 15",0413,767,386,1153,2992,38.54%,465,639,1104
"Judge, County Criminal Court No. 15",0414,654,480,1134,3453,32.84%,889,198,1087
"Judge, County Criminal Court No. 15",0415,539,598,1137,2203,51.61%,778,300,1078
"Judge, County Criminal Court No. 15",0416,538,558,1096,3791,28.91%,617,432,1049
"Judge, County Criminal Court No. 15",0417,353,385,738,2448,30.15%,375,327,702
"Judge, County Criminal Court No. 15",0418,403,469,872,3584,24.33%,361,469,830
"Judge, County Criminal Court No. 15",0419,571,324,895,2658,33.67%,599,252,851
"Judge, County Criminal Court No. 15",0420,1036,874,1910,4762,40.11%,1572,252,1824
"Judge, County Criminal Court No. 15",0421,36,37,73,410,17.80%,26,42,68
"Judge, County Criminal Court No. 15",0422,731,402,1133,3345,33.87%,35,1072,1107
"Judge, County Criminal Court No. 15",0423,108,120,228,1376,16.57%,77,141,218
"Judge, County Criminal Court No. 15",0424,240,111,351,967,36.30%,213,118,331
"Judge, County Criminal Court No. 15",0425,107,123,230,883,26.05%,88,132,220
"Judge, County Criminal Court No. 15",0426,260,183,443,1218,36.37%,268,148,416
"Judge, County Criminal Court No. 15",0427,179,134,313,1092,28.66%,143,148,291
"Judge, County Criminal Court No. 15",0428,619,421,1040,4538,22.92%,326,631,957
"Judge, County Criminal Court No. 15",0429,445,314,759,3197,23.74%,210,505,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0430,161,133,294,1657,17.74%,93,188,281
"Judge, County Criminal Court No. 15",0431,327,84,411,3417,12.03%,156,235,391
"Judge, County Criminal Court No. 15",0432,123,157,280,1455,19.24%,106,164,270
"Judge, County Criminal Court No. 15",0433,50,63,113,581,19.45%,27,80,107
"Judge, County Criminal Court No. 15",0434,370,289,659,1503,43.85%,429,192,621
"Judge, County Criminal Court No. 15",0435,855,636,1491,3252,45.85%,995,410,1405
"Judge, County Criminal Court No. 15",0436,629,531,1160,2933,39.55%,742,341,1083
"Judge, County Criminal Court No. 15",0437,521,512,1033,2033,50.81%,732,231,963
"Judge, County Criminal Court No. 15",0438,517,389,1006,1861,54.06%,775,158,933
"Judge, County Criminal Court No. 15",0439,710,884,1594,3554,44.85%,1176,322,1498
"Judge, County Criminal Court No. 15",0440,664,858,1522,2930,51.95%,1224,197,1421
"Judge, County Criminal Court No. 15",0441,345,420,765,1669,45.84%,585,132,717
"Judge, County Criminal Court No. 15",0442,612,574,1186,2575,46.06%,983,153,1136
"Judge, County Criminal Court No. 15",0443,226,138,364,646,56.35%,263,76,339
"Judge, County Criminal Court No. 15",0444,587,583,1270,3262,38.93%,814,378,1192
"Judge, County Criminal Court No. 15",0445,499,348,847,2026,41.81%,586,216,802
"Judge, County Criminal Court No. 15",0446,31,22,53,291,18.21%,23,26,49
"Judge, County Criminal Court No. 15",0447,93,86,179,637,28.10%,52,116,168
"Judge, County Criminal Court No. 15",0448,590,778,1368,3138,43.59%,771,509,1280
"Judge, County Criminal Court No. 15",0449,12,23,35,198,17.68%,4,31,35
"Judge, County Criminal Court No. 15",0450,435,328,763,2635,28.96%,239,492,731
"Judge, County Criminal Court No. 15",0451,1002,510,1512,2687,56.27%,1247,178,1425
"Judge, County Criminal Court No. 15",0452,554,444,998,3048,32.74%,747,219,966
"Judge, County Criminal Court No. 15",0453,231,262,493,1937,25.45%,199,270,469
"Judge, County Criminal Court No. 15",0454,594,248,842,2561,32.88%,11,811,822
"Judge, County Criminal Court No. 15",0455,367,165,532,1689,31.50%,26,496,522
"Judge, County Criminal Court No. 15",0456,482,362,844,3513,24.03%,500,316,816
"Judge, County Criminal Court No. 15",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0458,471,237,708,1924,36.80%,38,644,682
"Judge, County Criminal Court No. 15",0459,951,474,1425,3021,47.17%,1141,231,1372
"Judge, County Criminal Court No. 15",0460,554,331,885,2837,31.19%,230,633,863
"Judge, County Criminal Court No. 15",0461,1155,735,1900,3871,49.08%,1333,437,1770
"Judge, County Criminal Court No. 15",0462,674,619,1293,3384,38.21%,487,736,1223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0463,480,404,884,3326,26.58%,413,439,852
"Judge, County Criminal Court No. 15",0464,356,430,786,2257,34.82%,566,190,756
"Judge, County Criminal Court No. 15",0465,687,520,1207,3564,33.87%,691,473,1164
"Judge, County Criminal Court No. 15",0466,1058,614,1672,4184,39.96%,982,627,1609
"Judge, County Criminal Court No. 15",0467,213,189,402,1270,31.65%,100,293,393
"Judge, County Criminal Court No. 15",0468,352,443,795,3598,22.10%,252,513,765
"Judge, County Criminal Court No. 15",0469,1294,547,1841,3985,46.20%,1470,284,1754
"Judge, County Criminal Court No. 15",0470,185,176,361,1326,27.22%,270,72,342
"Judge, County Criminal Court No. 15",0471,375,380,755,2387,31.63%,608,123,731
"Judge, County Criminal Court No. 15",0472,198,278,476,1081,44.03%,207,223,430
"Judge, County Criminal Court No. 15",0473,599,391,990,1806,54.82%,698,234,932
"Judge, County Criminal Court No. 15",0474,559,588,1147,3037,37.77%,805,298,1103
"Judge, County Criminal Court No. 15",0475,189,267,456,1809,25.21%,211,222,433
"Judge, County Criminal Court No. 15",0476,404,473,877,2430,36.09%,481,361,842
"Judge, County Criminal Court No. 15",0477,737,567,1304,3505,37.20%,1001,249,1250
"Judge, County Criminal Court No. 15",0478,958,657,1615,4461,36.20%,1109,430,1539
"Judge, County Criminal Court No. 15",0479,638,612,1250,2714,46.06%,941,255,1196
"Judge, County Criminal Court No. 15",0480,493,450,943,2415,39.05%,689,211,900
"Judge, County Criminal Court No. 15",0481,770,623,1393,3482,40.01%,1068,264,1332
"Judge, County Criminal Court No. 15",0482,878,630,1508,4373,34.48%,1094,365,1459
"Judge, County Criminal Court No. 15",0483,1042,478,1520,4308,35.28%,898,555,1453
"Judge, County Criminal Court No. 15",0484,1107,930,2037,4979,40.91%,1485,484,1969
"Judge, County Criminal Court No. 15",0485,1095,911,2006,5388,37.23%,1557,383,1940
"Judge, County Criminal Court No. 15",0486,873,855,1728,3866,44.70%,1362,285,1647
"Judge, County Criminal Court No. 15",0487,570,294,864,3860,22.38%,316,474,790
"Judge, County Criminal Court No. 15",0488,268,254,522,1719,30.37%,199,280,479
"Judge, County Criminal Court No. 15",0489,350,290,640,1893,33.81%,216,392,608
"Judge, County Criminal Court No. 15",0490,444,368,812,1975,41.11%,301,475,776
"Judge, County Criminal Court No. 15",0491,314,372,686,1888,36.33%,414,232,646
"Judge, County Criminal Court No. 15",0492,556,410,966,2335,41.37%,598,318,916
"Judge, County Criminal Court No. 15",0493,479,322,801,1853,43.23%,554,192,746
"Judge, County Criminal Court No. 15",0494,381,247,628,2467,25.46%,77,535,612
"Judge, County Criminal Court No. 15",0495,522,523,1045,2375,44.00%,766,214,980
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0496,190,315,505,2160,23.38%,201,287,488
"Judge, County Criminal Court No. 15",0497,526,243,769,2257,34.07%,28,719,747
"Judge, County Criminal Court No. 15",0498,363,323,686,2297,29.87%,313,354,667
"Judge, County Criminal Court No. 15",0499,750,518,1268,2326,54.51%,947,236,1183
"Judge, County Criminal Court No. 15",0500,729,715,1444,3507,41.17%,1014,370,1384
"Judge, County Criminal Court No. 15",0501,341,417,758,1801,42.09%,275,425,700
"Judge, County Criminal Court No. 15",0502,477,350,827,2501,33.07%,673,124,797
"Judge, County Criminal Court No. 15",0503,174,116,290,1374,21.11%,107,162,269
"Judge, County Criminal Court No. 15",0504,624,527,1151,2288,50.31%,764,316,1080
"Judge, County Criminal Court No. 15",0505,531,562,1193,3773,31.62%,551,557,1108
"Judge, County Criminal Court No. 15",0506,665,670,1335,3502,38.12%,241,1039,1280
"Judge, County Criminal Court No. 15",0507,221,149,370,2452,15.09%,75,227,302
"Judge, County Criminal Court No. 15",0508,492,412,904,3287,27.50%,341,491,832
"Judge, County Criminal Court No. 15",0509,753,596,1349,3732,36.15%,959,317,1276
"Judge, County Criminal Court No. 15",0510,687,514,1201,3590,33.45%,627,518,1145
"Judge, County Criminal Court No. 15",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0512,602,660,1262,5057,24.96%,609,617,1226
"Judge, County Criminal Court No. 15",0513,1019,487,1506,2894,52.04%,1163,262,1425
"Judge, County Criminal Court No. 15",0514,953,720,1673,4275,39.13%,1280,322,1602
"Judge, County Criminal Court No. 15",0515,942,683,1625,3455,47.03%,1319,230,1549
"Judge, County Criminal Court No. 15",0516,1000,800,1800,5356,33.61%,973,741,1714
"Judge, County Criminal Court No. 15",0517,481,256,737,2954,24.95%,421,289,710
"Judge, County Criminal Court No. 15",0518,635,693,1328,3943,33.68%,880,389,1269
"Judge, County Criminal Court No. 15",0519,623,493,1116,2966,37.63%,843,231,1074
"Judge, County Criminal Court No. 15",0520,473,457,930,4580,20.31%,180,727,907
